city,type,value
七台河,AQI,120.04
七台河,CO,0.66
七台河,NO2,9.75
七台河,O3,30.46
七台河,PM10,118.67
七台河,PM2.5,90.67
七台河,SO2,4.21
三亚,AQI,25.12
三亚,CO,0.6
三亚,NO2,8.92
三亚,O3,41.29
三亚,PM10,25.12
三亚,PM2.5,9.67
三亚,SO2,4.0
三明,AQI,19.71
三明,CO,0.78
三明,NO2,21.21
三明,O3,27.75
三明,PM10,19.65
三明,PM2.5,9.5
三明,SO2,12.75
三门峡,AQI,181.21
三门峡,CO,1.4
三门峡,NO2,47.79
三门峡,O3,31.04
三门峡,PM10,198.08
三门峡,PM2.5,137.0
三门峡,SO2,66.71
上海,AQI,76.71
上海,CO,1.0
上海,NO2,81.0
上海,O3,25.58
上海,PM10,73.38
上海,PM2.5,56.17
上海,SO2,14.58
上饶,AQI,45.67
上饶,CO,0.36
上饶,NO2,28.62
上饶,O3,26.0
上饶,PM10,42.67
上饶,PM2.5,31.04
上饶,SO2,20.71
东莞,AQI,68.5
东莞,CO,0.94
东莞,NO2,31.04
东莞,O3,56.21
东莞,PM10,69.25
东莞,PM2.5,49.04
东莞,SO2,13.92
东营,AQI,251.71
东营,CO,2.1
东营,NO2,66.17
东营,O3,40.67
东营,PM10,263.08
东营,PM2.5,201.71
东营,SO2,52.33
中卫,AQI,93.33
中卫,CO,1.43
中卫,NO2,39.92
中卫,O3,38.29
中卫,PM10,90.33
中卫,PM2.5,69.5
中卫,SO2,78.46
中山,AQI,44.17
中山,CO,0.62
中山,NO2,23.38
中山,O3,49.67
中山,PM10,40.83
中山,PM2.5,29.38
中山,SO2,3.75
临夏州,AQI,40.0
临夏州,CO,1.1
临夏州,NO2,30.75
临夏州,O3,33.88
临夏州,PM10,39.42
临夏州,PM2.5,13.17
临夏州,SO2,20.71
临安,AQI,69.21
临安,CO,0.83
临安,NO2,50.92
临安,O3,76.33
临安,PM10,83.0
临安,PM2.5,48.46
临安,SO2,12.17
临汾,AQI,82.04
临汾,CO,1.82
临汾,NO2,33.29
临汾,O3,22.08
临汾,PM10,83.67
临汾,PM2.5,60.54
临汾,SO2,30.21
临沂,AQI,132.92
临沂,CO,1.37
临沂,NO2,49.42
临沂,O3,57.83
临沂,PM10,161.0
临沂,PM2.5,101.08
临沂,SO2,23.25
临沧,AQI,30.29
临沧,CO,1.38
临沧,NO2,13.54
临沧,O3,54.46
临沧,PM10,27.5
临沧,PM2.5,19.38
临沧,SO2,31.46
丹东,AQI,130.75
丹东,CO,2.75
丹东,NO2,51.46
丹东,O3,23.79
丹东,PM10,141.46
丹东,PM2.5,99.12
丹东,SO2,74.71
丽水,AQI,51.21
丽水,CO,0.68
丽水,NO2,41.12
丽水,O3,14.67
丽水,PM10,41.29
丽水,PM2.5,36.17
丽水,SO2,6.58
丽江,AQI,27.38
丽江,CO,0.62
丽江,NO2,14.5
丽江,O3,47.21
丽江,PM10,25.08
丽江,PM2.5,14.96
丽江,SO2,19.46
义乌,AQI,67.67
义乌,CO,1.38
义乌,NO2,50.88
义乌,O3,12.71
义乌,PM10,67.33
义乌,PM2.5,49.0
义乌,SO2,18.96
乌兰察布,AQI,165.88
乌兰察布,CO,1.43
乌兰察布,NO2,54.42
乌兰察布,O3,42.38
乌兰察布,PM10,152.75
乌兰察布,PM2.5,127.62
乌兰察布,SO2,49.5
乌海,AQI,104.17
乌海,CO,1.27
乌海,NO2,32.33
乌海,O3,20.33
乌海,PM10,144.67
乌海,PM2.5,77.46
乌海,SO2,37.29
乌鲁木齐,AQI,172.88
乌鲁木齐,CO,2.18
乌鲁木齐,NO2,62.75
乌鲁木齐,O3,15.67
乌鲁木齐,PM10,208.67
乌鲁木齐,PM2.5,132.08
乌鲁木齐,SO2,18.0
乐山,AQI,22.12
乐山,CO,1.36
乐山,NO2,26.5
乐山,O3,5.25
乐山,PM10,17.54
乐山,PM2.5,13.58
乐山,SO2,10.83
九江,AQI,34.0
九江,CO,0.7
九江,NO2,30.38
九江,O3,20.75
九江,PM10,19.82
九江,PM2.5,22.54
九江,SO2,24.75
乳山,AQI,80.12
乳山,CO,1.06
乳山,NO2,20.38
乳山,O3,63.0
乳山,PM10,87.79
乳山,PM2.5,59.04
乳山,SO2,16.79
云浮,AQI,77.96
云浮,CO,1.3
云浮,NO2,40.96
云浮,O3,8.12
云浮,PM10,86.04
云浮,PM2.5,57.25
云浮,SO2,11.58
五家渠,AQI,177.92
