city,type,value
七台河,AQI,109.4
七台河,CO,1.23
七台河,NO2,8.6
七台河,O3,82.15
七台河,PM10,102.68
七台河,PM2.5,79.15
七台河,SO2,12.5
三亚,AQI,30.0
三亚,CO,0.82
三亚,NO2,18.0
三亚,O3,57.4
三亚,PM10,27.05
三亚,PM2.5,17.25
三亚,SO2,3.35
三明,AQI,24.7
三明,CO,1.47
三明,NO2,27.7
三明,O3,11.65
三明,PM10,23.3
三明,PM2.5,13.9
三明,SO2,13.2
三门峡,AQI,268.25
三门峡,CO,3.14
三门峡,NO2,68.45
三门峡,O3,5.6
三门峡,PM10,300.8
三门峡,PM2.5,218.25
三门峡,SO2,56.9
上海,AQI,56.15
上海,CO,1.3
上海,NO2,62.35
上海,O3,11.4
上海,PM10,40.45
上海,PM2.5,37.6
上海,SO2,13.7
上饶,AQI,44.45
上饶,CO,0.56
上饶,NO2,36.0
上饶,O3,17.5
上饶,PM10,47.35
上饶,PM2.5,24.05
上饶,SO2,14.9
东莞,AQI,33.35
东莞,CO,1.03
东莞,NO2,33.75
东莞,O3,13.85
东莞,PM10,30.9
东莞,PM2.5,21.3
东莞,SO2,17.6
东营,AQI,219.5
东营,CO,1.81
东营,NO2,62.45
东营,O3,18.55
东营,PM10,217.85
东营,PM2.5,178.35
东营,SO2,57.4
中卫,AQI,163.1
中卫,CO,1.46
中卫,NO2,40.95
中卫,O3,36.2
中卫,PM10,180.37
中卫,PM2.5,124.7
中卫,SO2,123.3
中山,AQI,46.4
中山,CO,1.52
中山,NO2,43.5
中山,O3,23.8
中山,PM10,43.4
中山,PM2.5,31.85
中山,SO2,13.0
临夏州,AQI,52.05
临夏州,CO,1.86
临夏州,NO2,56.75
临夏州,O3,40.7
临夏州,PM10,57.0
临夏州,PM2.5,31.7
临夏州,SO2,32.45
临安,AQI,65.6
临安,CO,1.26
临安,NO2,44.1
临安,O3,75.55
临安,PM10,59.25
临安,PM2.5,47.0
临安,SO2,8.8
临汾,AQI,146.35
临汾,CO,3.13
临汾,NO2,43.0
临汾,O3,10.95
临汾,PM10,183.95
临汾,PM2.5,112.1
临汾,SO2,61.65
临沂,AQI,141.1
临沂,CO,1.44
临沂,NO2,53.35
临沂,O3,24.95
临沂,PM10,172.3
临沂,PM2.5,108.25
临沂,SO2,30.1
临沧,AQI,40.95
临沧,CO,0.93
临沧,NO2,16.35
临沧,O3,57.05
临沧,PM10,41.6
临沧,PM2.5,20.1
临沧,SO2,9.95
丹东,AQI,112.05
丹东,CO,2.47
丹东,NO2,42.25
丹东,O3,26.45
丹东,PM10,107.4
丹东,PM2.5,84.3
丹东,SO2,79.0
丽水,AQI,48.1
丽水,CO,1.02
丽水,NO2,45.75
丽水,O3,18.35
丽水,PM10,42.4
丽水,PM2.5,31.8
丽水,SO2,17.35
丽江,AQI,36.7
丽江,CO,0.42
丽江,NO2,14.4
丽江,O3,46.2
丽江,PM10,36.35
丽江,PM2.5,19.5
丽江,SO2,7.8
义乌,AQI,41.2
义乌,CO,1.12
义乌,NO2,58.6
义乌,O3,3.85
义乌,PM10,39.7
义乌,PM2.5,28.4
义乌,SO2,12.9
乌兰察布,AQI,89.9
乌兰察布,CO,1.08
乌兰察布,NO2,46.1
