city,month,type,value
七台河,201501.csv,AQI,133.74
七台河,201501.csv,CO,0.93
七台河,201501.csv,NO2,45.75
七台河,201501.csv,O3,72.74
七台河,201501.csv,PM10,121.99
七台河,201501.csv,PM2.5,96.38
七台河,201501.csv,SO2,15.75
三亚,201501.csv,AQI,50.22
三亚,201501.csv,CO,0.64
三亚,201501.csv,NO2,21.2
三亚,201501.csv,O3,82.23
三亚,201501.csv,PM10,51.28
三亚,201501.csv,PM2.5,30.92
三亚,201501.csv,SO2,2.41
三明,201501.csv,AQI,68.35
三明,201501.csv,CO,1.76
三明,201501.csv,NO2,38.2
三明,201501.csv,O3,22.7
三明,201501.csv,PM10,74.14
三明,201501.csv,PM2.5,48.16
三明,201501.csv,SO2,46.8
三门峡,201501.csv,AQI,154.98
三门峡,201501.csv,CO,1.79
三门峡,201501.csv,NO2,64.26
三门峡,201501.csv,O3,23.08
三门峡,201501.csv,PM10,191.25
三门峡,201501.csv,PM2.5,115.8
三门峡,201501.csv,SO2,87.92
上海,201501.csv,AQI,111.46
上海,201501.csv,CO,1.12
上海,201501.csv,NO2,64.61
上海,201501.csv,O3,38.98
上海,201501.csv,PM10,107.64
上海,201501.csv,PM2.5,82.85
上海,201501.csv,SO2,29.41
上饶,201501.csv,AQI,77.2
上饶,201501.csv,CO,0.98
上饶,201501.csv,NO2,44.69
上饶,201501.csv,O3,40.6
上饶,201501.csv,PM10,83.49
上饶,201501.csv,PM2.5,56.6
上饶,201501.csv,SO2,80.8
东莞,201501.csv,AQI,83.68
东莞,201501.csv,CO,1.04
东莞,201501.csv,NO2,53.86
东莞,201501.csv,O3,57.53
东莞,201501.csv,PM10,85.87
东莞,201501.csv,PM2.5,61.69
东莞,201501.csv,SO2,21.81
东营,201501.csv,AQI,125.56
东营,201501.csv,CO,1.6
东营,201501.csv,NO2,54.71
东营,201501.csv,O3,27.32
东营,201501.csv,PM10,137.98
东营,201501.csv,PM2.5,92.94
东营,201501.csv,SO2,86.9
中卫,201501.csv,AQI,122.04
中卫,201501.csv,CO,0.72
中卫,201501.csv,NO2,28.41
中卫,201501.csv,O3,46.85
中卫,201501.csv,PM10,132.33
中卫,201501.csv,PM2.5,83.88
中卫,201501.csv,SO2,77.4
中山,201501.csv,AQI,75.04
中山,201501.csv,CO,1.47
中山,201501.csv,NO2,44.31
中山,201501.csv,O3,30.42
中山,201501.csv,PM10,83.21
中山,201501.csv,PM2.5,53.89
中山,201501.csv,SO2,19.1
临夏州,201501.csv,AQI,214.67
临夏州,201501.csv,CO,3.07
临夏州,201501.csv,NO2,122.04
临夏州,201501.csv,O3,42.64
临夏州,201501.csv,PM10,258.02
临夏州,201501.csv,PM2.5,169.83
临夏州,201501.csv,SO2,132.63
临安,201501.csv,AQI,119.87
临安,201501.csv,CO,1.15
临安,201501.csv,NO2,47.14
临安,201501.csv,O3,107.92
临安,201501.csv,PM10,136.58
临安,201501.csv,PM2.5,88.7
临安,201501.csv,SO2,22.34
临汾,201501.csv,AQI,155.99
临汾,201501.csv,CO,4.06
临汾,201501.csv,NO2,46.32
