city,type,value
七台河,AQI,42.29
七台河,CO,0.11
七台河,NO2,14.79
七台河,O3,99.25
七台河,PM10,39.88
七台河,PM2.5,13.96
七台河,SO2,21.21
三亚,AQI,22.04
三亚,CO,0.58
三亚,NO2,8.46
三亚,O3,50.54
三亚,PM10,21.92
三亚,PM2.5,11.38
三亚,SO2,3.42
三明,AQI,42.92
三明,CO,1.41
三明,NO2,23.88
三明,O3,25.21
三明,PM10,43.75
三明,PM2.5,25.96
三明,SO2,10.79
三门峡,AQI,133.29
三门峡,CO,1.22
三门峡,NO2,35.33
三门峡,O3,64.21
三门峡,PM10,201.25
三门峡,PM2.5,75.83
三门峡,SO2,27.58
上海,AQI,59.75
上海,CO,0.76
上海,NO2,21.54
上海,O3,107.17
上海,PM10,57.92
上海,PM2.5,42.33
上海,SO2,10.54
上饶,AQI,62.96
上饶,CO,0.39
上饶,NO2,12.71
上饶,O3,80.46
上饶,PM10,50.67
上饶,PM2.5,44.92
上饶,SO2,47.67
东莞,AQI,34.0
东莞,CO,0.69
东莞,NO2,28.88
东莞,O3,34.54
东莞,PM10,33.25
东莞,PM2.5,18.25
东莞,SO2,7.5
东营,AQI,163.17
东营,CO,1.43
东营,NO2,43.79
东营,O3,120.46
东营,PM10,196.62
东营,PM2.5,123.75
东营,SO2,63.38
中卫,AQI,84.04
中卫,CO,0.98
中卫,NO2,16.75
中卫,O3,83.54
中卫,PM10,117.04
中卫,PM2.5,51.0
中卫,SO2,8.38
中山,AQI,23.75
中山,CO,0.91
中山,NO2,11.38
中山,O3,33.71
中山,PM10,23.5
中山,PM2.5,12.08
中山,SO2,5.25
临夏州,AQI,66.67
临夏州,CO,0.71
临夏州,NO2,30.75
临夏州,O3,69.33
临夏州,PM10,82.75
临夏州,PM2.5,18.21
临夏州,SO2,8.54
临安,AQI,71.04
临安,CO,0.74
临安,NO2,19.04
临安,O3,117.71
临安,PM10,87.75
临安,PM2.5,39.75
临安,SO2,9.83
临汾,AQI,60.46
临汾,CO,2.19
临汾,NO2,22.88
临汾,O3,60.38
临汾,PM10,70.38
临汾,PM2.5,33.25
临汾,SO2,26.75
临沂,AQI,113.75
临沂,CO,1.86
临沂,NO2,54.75
临沂,O3,79.46
临沂,PM10,174.17
临沂,PM2.5,77.58
临沂,SO2,26.88
临沧,AQI,30.46
临沧,CO,0.21
临沧,NO2,12.04
临沧,O3,35.12
临沧,PM10,26.0
临沧,PM2.5,20.25
临沧,SO2,38.71
丹东,AQI,73.08
丹东,CO,1.4
丹东,NO2,10.54
丹东,O3,64.5
丹东,PM10,91.29
丹东,PM2.5,51.79
丹东,SO2,8.62
丽水,AQI,44.17
丽水,CO,0.61
丽水,NO2,15.17
丽水,O3,71.21
丽水,PM10,44.71
丽水,PM2.5,25.0
丽水,SO2,6.88
丽江,AQI,34.38
丽江,CO,1.09
丽江,NO2,12.33
丽江,O3,32.29
丽江,PM10,34.04
丽江,PM2.5,16.08
丽江,SO2,10.29
义乌,AQI,54.29
义乌,CO,1.17
义乌,NO2,39.5
义乌,O3,62.71
义乌,PM10,56.75
义乌,PM2.5,35.62
义乌,SO2,17.96
乌兰察布,AQI,144.92
乌兰察布,CO,0.32
乌兰察布,NO2,13.25
乌兰察布,O3,102.54
乌兰察布,PM10,217.5
乌兰察布,PM2.5,71.75
乌兰察布,SO2,18.42
乌海,AQI,103.29
乌海,CO,0.57
乌海,NO2,13.58
乌海,O3,75.5
乌海,PM10,155.92
乌海,PM2.5,55.67
乌海,SO2,39.54
乌鲁木齐,AQI,64.5
乌鲁木齐,CO,0.86
乌鲁木齐,NO2,43.38
乌鲁木齐,O3,50.5
乌鲁木齐,PM10,79.46
乌鲁木齐,PM2.5,28.96
乌鲁木齐,SO2,17.08
乐山,AQI,22.04
乐山,CO,0.66
乐山,NO2,15.71
乐山,O3,66.71
乐山,PM10,15.25
乐山,PM2.5,7.58
乐山,SO2,8.17
九江,AQI,73.92
九江,CO,0.87
九江,NO2,18.38
九江,O3,85.08
九江,PM10,74.12
九江,PM2.5,51.08
九江,SO2,43.92
乳山,AQI,68.79
乳山,CO,1.18
乳山,NO2,10.92
乳山,O3,78.88
乳山,PM10,81.71
乳山,PM2.5,48.04
乳山,SO2,8.33
云浮,AQI,44.75
云浮,CO,0.91
云浮,NO2,16.83
云浮,O3,16.83
云浮,PM10,47.39
云浮,PM2.5,20.17
云浮,SO2,9.5
五家渠,AQI,65.25
五家渠,CO,0.62
五家渠,NO2,28.08
五家渠,O3,51.52
五家渠,PM10,63.23
五家渠,PM2.5,34.17
五家渠,SO2,8.96
亳州,AQI,70.25
亳州,CO,0.59
亳州,NO2,38.75
亳州,O3,76.42
亳州,PM10,71.29
亳州,PM2.5,50.38
亳州,SO2,60.33
伊春,AQI,64.83
伊春,CO,0.53
伊春,NO2,8.75
伊春,O3,64.79
伊春,PM10,61.1
伊春,PM2.5,46.71
伊春,SO2,7.92
伊犁哈萨克州,AQI,59.75
伊犁哈萨克州,CO,1.32
伊犁哈萨克州,NO2,30.12
伊犁哈萨克州,O3,59.42
伊犁哈萨克州,PM10,71.12
伊犁哈萨克州,PM2.5,33.83
伊犁哈萨克州,SO2,8.96
佛山,AQI,43.33
佛山,CO,0.74
佛山,NO2,30.58
佛山,O3,26.46
佛山,PM10,43.75
佛山,PM2.5,25.42
佛山,SO2,15.33
佳木斯,AQI,30.75
佳木斯,CO,0.67
佳木斯,NO2,19.46
佳木斯,O3,55.12
佳木斯,PM10,29.21
佳木斯,PM2.5,15.96
佳木斯,SO2,29.42
保定,AQI,142.79
保定,CO,1.74
保定,NO2,36.42
保定,O3,88.38
保定,PM10,170.75
保定,PM2.5,108.54
保定,SO2,22.08
保山,AQI,34.12
保山,CO,0.77
保山,NO2,12.29
保山,O3,25.5
保山,PM10,34.12
保山,PM2.5,15.12
保山,SO2,8.67
信阳,AQI,74.5
信阳,CO,0.95
信阳,NO2,31.0
信阳,O3,65.25
信阳,PM10,94.96
信阳,PM2.5,52.12
信阳,SO2,18.08
克州,AQI,463.33
克州,CO,1.28
克州,NO2,19.67
克州,O3,40.52
克州,PM10,909.55
克州,PM2.5,209.62
克州,SO2,27.79
克拉玛依,AQI,45.67
