city,type,value
七台河,AQI,11.88
七台河,CO,0.4
七台河,NO2,11.0
七台河,O3,37.5
七台河,PM10,7.29
七台河,PM2.5,5.21
七台河,SO2,8.12
三亚,AQI,21.96
三亚,CO,0.38
三亚,NO2,10.0
三亚,O3,56.88
三亚,PM10,20.04
三亚,PM2.5,8.88
三亚,SO2,2.08
三明,AQI,33.79
三明,CO,0.71
三明,NO2,15.29
三明,O3,63.67
三明,PM10,32.88
三明,PM2.5,21.67
三明,SO2,7.29
三门峡,AQI,48.62
三门峡,CO,0.43
三门峡,NO2,24.62
三门峡,O3,87.75
三门峡,PM10,44.88
三门峡,PM2.5,16.58
三门峡,SO2,8.12
上海,AQI,44.88
上海,CO,0.58
上海,NO2,20.75
上海,O3,94.12
上海,PM10,34.88
上海,PM2.5,20.0
上海,SO2,6.67
上饶,AQI,44.46
上饶,CO,0.64
上饶,NO2,12.42
上饶,O3,86.08
上饶,PM10,44.12
上饶,PM2.5,25.25
上饶,SO2,13.21
东莞,AQI,61.58
东莞,CO,0.75
东莞,NO2,29.83
东莞,O3,116.79
东莞,PM10,50.04
东莞,PM2.5,26.67
东莞,SO2,9.83
东营,AQI,40.62
东营,CO,0.32
东营,NO2,12.25
东营,O3,101.5
东营,PM10,30.17
东营,PM2.5,9.71
东营,SO2,9.0
中卫,AQI,45.29
中卫,CO,0.35
中卫,NO2,26.62
中卫,O3,65.38
中卫,PM10,44.58
中卫,PM2.5,16.08
中卫,SO2,8.54
中山,AQI,63.46
中山,CO,0.49
中山,NO2,16.75
中山,O3,130.38
中山,PM10,43.92
中山,PM2.5,26.29
中山,SO2,7.58
临夏回族自治州,AQI,34.96
临夏回族自治州,CO,0.52
临夏回族自治州,NO2,12.12
临夏回族自治州,O3,69.38
临夏回族自治州,PM10,28.08
临夏回族自治州,PM2.5,14.12
临夏回族自治州,SO2,5.17
临汾,AQI,43.33
临汾,CO,0.7
临汾,NO2,19.75
临汾,O3,101.17
临汾,PM10,39.21
临汾,PM2.5,17.71
临汾,SO2,6.42
临沂,AQI,62.25
临沂,CO,0.57
临沂,NO2,19.33
临沂,O3,129.88
