city,type,value
七台河,AQI,39.83
七台河,CO,0.64
七台河,NO2,29.7
七台河,O3,64.48
七台河,PM10,34.57
七台河,PM2.5,25.87
七台河,SO2,14.83
三亚,AQI,31.61
三亚,CO,0.42
三亚,NO2,8.52
三亚,O3,69.65
三亚,PM10,30.26
三亚,PM2.5,13.17
三亚,SO2,2.78
三明,AQI,47.83
三明,CO,0.74
三明,NO2,24.61
三明,O3,49.57
三明,PM10,45.78
三明,PM2.5,32.0
三明,SO2,5.13
三门峡,AQI,64.13
三门峡,CO,0.42
三门峡,NO2,28.65
三门峡,O3,62.7
三门峡,PM10,77.83
三门峡,PM2.5,22.91
三门峡,SO2,11.74
上海,AQI,113.17
上海,CO,1.04
上海,NO2,37.22
上海,O3,54.57
上海,PM10,88.26
上海,PM2.5,85.0
上海,SO2,7.3
上饶,AQI,63.65
上饶,CO,0.91
上饶,NO2,27.0
上饶,O3,46.96
上饶,PM10,72.65
上饶,PM2.5,44.78
上饶,SO2,18.35
东莞,AQI,55.3
东莞,CO,0.56
东莞,NO2,36.39
东莞,O3,68.61
东莞,PM10,61.48
东莞,PM2.5,31.17
东莞,SO2,9.3
东营,AQI,59.87
东营,CO,0.68
东营,NO2,26.17
东营,O3,63.22
东营,PM10,63.39
东营,PM2.5,26.43
东营,SO2,16.04
中卫,AQI,75.04
中卫,CO,0.55
中卫,NO2,36.04
中卫,O3,43.04
中卫,PM10,99.65
中卫,PM2.5,42.26
中卫,SO2,13.65
中山,AQI,53.04
中山,CO,0.57
中山,NO2,33.78
中山,O3,86.0
中山,PM10,58.7
中山,PM2.5,33.35
中山,SO2,7.87
临夏回族自治州,AQI,50.04
临夏回族自治州,CO,0.94
临夏回族自治州,NO2,15.43
临夏回族自治州,O3,56.04
临夏回族自治州,PM10,50.57
临夏回族自治州,PM2.5,34.39
临夏回族自治州,SO2,8.35
临汾,AQI,51.52
临汾,CO,0.63
临汾,NO2,25.61
临汾,O3,58.96
临汾,PM10,58.96
临汾,PM2.5,25.22
临汾,SO2,7.04
