city,month,type,value
七台河,202301.csv,AQI,77.22
七台河,202301.csv,CO,0.93
七台河,202301.csv,NO2,33.01
七台河,202301.csv,O3,46.17
七台河,202301.csv,PM10,71.69
七台河,202301.csv,PM2.5,56.25
七台河,202301.csv,SO2,15.48
三亚,202301.csv,AQI,29.8
三亚,202301.csv,CO,0.5
三亚,202301.csv,NO2,8.03
三亚,202301.csv,O3,68.7
三亚,202301.csv,PM10,27.13
三亚,202301.csv,PM2.5,14.55
三亚,202301.csv,SO2,3.49
三明,202301.csv,AQI,41.4
三明,202301.csv,CO,0.71
三明,202301.csv,NO2,16.93
三明,202301.csv,O3,36.67
三明,202301.csv,PM10,36.01
三明,202301.csv,PM2.5,27.28
三明,202301.csv,SO2,7.21
三门峡,202301.csv,AQI,120.69
三门峡,202301.csv,CO,1.01
三门峡,202301.csv,NO2,36.86
三门峡,202301.csv,O3,41.46
三门峡,202301.csv,PM10,141.76
三门峡,202301.csv,PM2.5,79.87
三门峡,202301.csv,SO2,14.25
上海,202301.csv,AQI,57.64
上海,202301.csv,CO,0.77
上海,202301.csv,NO2,35.92
上海,202301.csv,O3,54.58
上海,202301.csv,PM10,58.86
上海,202301.csv,PM2.5,37.45
上海,202301.csv,SO2,7.67
上饶,202301.csv,AQI,57.76
上饶,202301.csv,CO,0.62
上饶,202301.csv,NO2,21.95
上饶,202301.csv,O3,43.68
上饶,202301.csv,PM10,64.62
上饶,202301.csv,PM2.5,37.48
上饶,202301.csv,SO2,12.26
东莞,202301.csv,AQI,41.68
东莞,202301.csv,CO,0.62
东莞,202301.csv,NO2,19.64
东莞,202301.csv,O3,53.87
东莞,202301.csv,PM10,41.71
东莞,202301.csv,PM2.5,26.74
东莞,202301.csv,SO2,8.48
东营,202301.csv,AQI,92.13
东营,202301.csv,CO,0.93
东营,202301.csv,NO2,35.09
东营,202301.csv,O3,44.53
东营,202301.csv,PM10,110.36
东营,202301.csv,PM2.5,59.79
东营,202301.csv,SO2,16.14
中卫,202301.csv,AQI,119.05
中卫,202301.csv,CO,0.42
中卫,202301.csv,NO2,26.03
中卫,202301.csv,O3,50.94
中卫,202301.csv,PM10,192.58
中卫,202301.csv,PM2.5,54.48
中卫,202301.csv,SO2,9.92
中山,202301.csv,AQI,43.45
中山,202301.csv,CO,0.57
中山,202301.csv,NO2,25.36
中山,202301.csv,O3,48.6
中山,202301.csv,PM10,41.74
中山,202301.csv,PM2.5,28.53
中山,202301.csv,SO2,4.79
临夏回族自治州,202301.csv,AQI,133.16
临夏回族自治州,202301.csv,CO,1.36
临夏回族自治州,202301.csv,NO2,29.73
临夏回族自治州,202301.csv,O3,45.46
临夏回族自治州,202301.csv,PM10,164.16
临夏回族自治州,202301.csv,PM2.5,89.06
临夏回族自治州,202301.csv,SO2,14.8
临汾,202301.csv,AQI,128.9
临汾,202301.csv,CO,1.48
临汾,202301.csv,NO2,39.54
临汾,202301.csv,O3,36.85
临汾,202301.csv,PM10,160.51
临汾,202301.csv,PM2.5,89.05
临汾,202301.csv,SO2,15.75
临沂,202301.csv,AQI,104.73
