city,type,value
七台河,AQI,24.77
七台河,CO,0.53
七台河,NO2,18.78
七台河,O3,52.82
七台河,PM10,21.79
七台河,PM2.5,8.65
七台河,SO2,9.81
三亚,AQI,17.83
三亚,CO,0.35
三亚,NO2,7.38
三亚,O3,42.26
三亚,PM10,16.39
三亚,PM2.5,6.86
三亚,SO2,2.1
三明,AQI,25.17
三明,CO,0.74
三明,NO2,14.56
三明,O3,43.18
三明,PM10,23.79
三明,PM2.5,14.11
三明,SO2,8.8
三门峡,AQI,48.99
三门峡,CO,0.56
三门峡,NO2,17.3
三门峡,O3,98.84
三门峡,PM10,45.92
三门峡,PM2.5,21.58
三门峡,SO2,6.53
上海,AQI,33.71
上海,CO,0.57
上海,NO2,20.0
上海,O3,67.18
上海,PM10,29.54
上海,PM2.5,18.18
上海,SO2,6.23
上饶,AQI,29.48
上饶,CO,0.58
上饶,NO2,11.34
上饶,O3,50.05
上饶,PM10,28.76
上饶,PM2.5,13.52
上饶,SO2,11.15
东莞,AQI,26.37
东莞,CO,0.66
东莞,NO2,17.64
东莞,O3,57.65
东莞,PM10,21.91
东莞,PM2.5,10.83
东莞,SO2,8.09
东营,AQI,47.72
东营,CO,0.5
东营,NO2,11.99
东营,O3,111.32
东营,PM10,37.4
东营,PM2.5,19.47
东营,SO2,9.91
中卫,AQI,60.68
中卫,CO,0.36
中卫,NO2,15.92
中卫,O3,98.84
中卫,PM10,73.37
中卫,PM2.5,26.29
中卫,SO2,8.68
中山,AQI,22.51
中山,CO,0.38
中山,NO2,8.23
中山,O3,56.96
中山,PM10,18.25
中山,PM2.5,9.77
中山,SO2,5.81
临夏回族自治州,AQI,37.15
临夏回族自治州,CO,0.45
临夏回族自治州,NO2,15.0
临夏回族自治州,O3,87.26
临夏回族自治州,PM10,29.34
临夏回族自治州,PM2.5,15.34
临夏回族自治州,SO2,7.6
临汾,AQI,57.25
临汾,CO,0.93
临汾,NO2,21.64
临汾,O3,103.93
临汾,PM10,55.46
临汾,PM2.5,27.08
临汾,SO2,7.78
临沂,AQI,37.75
临沂,CO,0.54
临沂,NO2,12.74
临沂,O3,89.28
临沂,PM10,30.82
临沂,PM2.5,16.95
临沂,SO2,5.08
临沧,AQI,23.66
临沧,CO,0.49
临沧,NO2,9.96
临沧,O3,38.64
临沧,PM10,20.18
临沧,PM2.5,14.63
临沧,SO2,5.06
丹东,AQI,30.71
丹东,CO,0.66
丹东,NO2,8.68
丹东,O3,79.49
丹东,PM10,25.24
丹东,PM2.5,15.55
丹东,SO2,5.19
丽水,AQI,23.96
丽水,CO,0.43
丽水,NO2,11.76
丽水,O3,47.63
丽水,PM10,23.12
丽水,PM2.5,10.75
丽水,SO2,4.9
丽江,AQI,21.85
丽江,CO,0.62
丽江,NO2,13.71
丽江,O3,59.33
丽江,PM10,17.6
丽江,PM2.5,9.9
丽江,SO2,9.36
乌兰察布,AQI,42.12
乌兰察布,CO,0.49
乌兰察布,NO2,14.8
乌兰察布,O3,103.83
乌兰察布,PM10,35.81
乌兰察布,PM2.5,16.97
乌兰察布,SO2,14.36
乌海,AQI,65.15
乌海,CO,0.56
乌海,NO2,17.18
乌海,O3,107.49
乌海,PM10,78.94
乌海,PM2.5,22.4
乌海,SO2,20.2
乌鲁木齐,AQI,45.51
乌鲁木齐,CO,0.39
乌鲁木齐,NO2,23.77
乌鲁木齐,O3,92.88
乌鲁木齐,PM10,43.81
乌鲁木齐,PM2.5,13.05
乌鲁木齐,SO2,5.97
乐山,AQI,42.61
乐山,CO,0.6
乐山,NO2,17.48
乐山,O3,91.55
乐山,PM10,33.8
乐山,PM2.5,21.41
乐山,SO2,5.69
九江,AQI,27.29
九江,CO,0.66
九江,NO2,16.65
九江,O3,66.02
九江,PM10,24.75
九江,PM2.5,13.34
九江,SO2,9.71
云浮,AQI,23.88
云浮,CO,0.47
云浮,NO2,11.25
云浮,O3,44.81
云浮,PM10,22.3
云浮,PM2.5,10.75
云浮,SO2,12.8
五家渠,AQI,52.63
五家渠,CO,0.41
五家渠,NO2,19.88
五家渠,O3,82.58
五家渠,PM10,55.7
五家渠,PM2.5,18.16
五家渠,SO2,7.73
亳州,AQI,32.38
亳州,CO,0.62
亳州,NO2,6.45
亳州,O3,85.05
亳州,PM10,25.76
亳州,PM2.5,11.92
亳州,SO2,3.61
伊春,AQI,21.55
伊春,CO,0.45
伊春,NO2,8.49
伊春,O3,48.69
伊春,PM10,16.01
伊春,PM2.5,10.74
伊春,SO2,6.75
伊犁哈萨克州,AQI,47.3
伊犁哈萨克州,CO,0.56
伊犁哈萨克州,NO2,21.39
伊犁哈萨克州,O3,87.95
伊犁哈萨克州,PM10,47.62
伊犁哈萨克州,PM2.5,17.91
伊犁哈萨克州,SO2,7.46
佛山,AQI,24.33
佛山,CO,0.54
佛山,NO2,15.85
佛山,O3,54.38
佛山,PM10,20.66
佛山,PM2.5,11.39
佛山,SO2,6.2
佳木斯,AQI,28.76
佳木斯,CO,0.5
佳木斯,NO2,17.5
佳木斯,O3,54.0
佳木斯,PM10,25.5
佳木斯,PM2.5,14.04
佳木斯,SO2,4.3
保定,AQI,49.96
保定,CO,0.34
保定,NO2,13.46
保定,O3,109.71
保定,PM10,41.37
保定,PM2.5,17.35
保定,SO2,7.2
保山,AQI,20.82
保山,CO,0.49
保山,NO2,7.76
保山,O3,46.11
保山,PM10,17.79
保山,PM2.5,9.68
保山,SO2,7.11
信阳,AQI,30.38
信阳,CO,0.57
信阳,NO2,8.0
信阳,O3,79.4
信阳,PM10,26.05
信阳,PM2.5,15.14
信阳,SO2,5.44
儋州,AQI,18.09
儋州,CO,0.54
儋州,NO2,3.88
儋州,O3,42.22
儋州,PM10,16.09
儋州,PM2.5,7.93
儋州,SO2,4.0
克孜勒苏柯尔克孜自治州,AQI,75.56
克孜勒苏柯尔克孜自治州,CO,0.42
克孜勒苏柯尔克孜自治州,NO2,9.23
克孜勒苏柯尔克孜自治州,O3,117.61
克孜勒苏柯尔克孜自治州,PM10,93.11
克孜勒苏柯尔克孜自治州,PM2.5,29.54
克孜勒苏柯尔克孜自治州,SO2,9.73
克拉玛依,AQI,35.1
克拉玛依,CO,0.26
克拉玛依,NO2,10.37
克拉玛依,O3,95.62
克拉玛依,PM10,27.22
克拉玛依,PM2.5,9.03
克拉玛依,SO2,7.02
六安,AQI,26.19
六安,CO,0.3
六安,NO2,6.67
六安,O3,68.62
六安,PM10,22.01
六安,PM2.5,10.47
六安,SO2,5.81
六盘水,AQI,25.13
六盘水,CO,0.54
六盘水,NO2,11.1
六盘水,O3,68.66
六盘水,PM10,19.62
六盘水,PM2.5,11.88
六盘水,SO2,6.28
兰州,AQI,51.31
兰州,CO,0.56
兰州,NO2,29.4
兰州,O3,95.74
兰州,PM10,47.96
兰州,PM2.5,22.21
兰州,SO2,9.2
兰州新区,AQI,52.09
兰州新区,CO,0.37
兰州新区,NO2,17.29
兰州新区,O3,105.39
兰州新区,PM10,53.63
兰州新区,PM2.5,20.18
兰州新区,SO2,14.64
兴安盟,AQI,31.0
兴安盟,CO,0.38
兴安盟,NO2,9.01
兴安盟,O3,78.27
兴安盟,PM10,23.12
兴安盟,PM2.5,15.9
兴安盟,SO2,3.4
内江,AQI,36.96
内江,CO,0.5
内江,NO2,14.98
内江,O3,96.55
内江,PM10,26.82
内江,PM2.5,17.74
内江,SO2,5.66
凉山彝族自治州,AQI,27.32
凉山彝族自治州,CO,0.74
凉山彝族自治州,NO2,11.56
凉山彝族自治州,O3,67.39
凉山彝族自治州,PM10,24.09
凉山彝族自治州,PM2.5,12.69
凉山彝族自治州,SO2,11.0
包头,AQI,47.79
包头,CO,0.69
包头,NO2,24.72
包头,O3,100.59
包头,PM10,42.06
包头,PM2.5,17.17
包头,SO2,13.2
北京,AQI,47.2
北京,CO,0.46
北京,NO2,15.55
北京,O3,103.82
北京,PM10,35.93
北京,PM2.5,19.39
北京,SO2,2.79
北海,AQI,23.44
北海,CO,0.52
北海,NO2,4.68
北海,O3,59.39
北海,PM10,22.01
北海,PM2.5,8.71
北海,SO2,4.1
十堰,AQI,34.01
十堰,CO,0.56
十堰,NO2,5.71
十堰,O3,73.09
十堰,PM10,30.94
十堰,PM2.5,15.88
十堰,SO2,5.33
南京,AQI,28.14
南京,CO,0.6
南京,NO2,14.4
南京,O3,67.22
南京,PM10,24.08
南京,PM2.5,12.34
南京,SO2,5.24
南充,AQI,41.01
南充,CO,0.4
南充,NO2,16.68
南充,O3,81.99
南充,PM10,38.98
南充,PM2.5,20.95
南充,SO2,9.06
南宁,AQI,30.34
南宁,CO,0.67
南宁,NO2,13.31
南宁,O3,61.72
南宁,PM10,29.36
南宁,PM2.5,15.64
南宁,SO2,6.29
南平,AQI,22.4
南平,CO,0.6
南平,NO2,9.1
南平,O3,43.73
南平,PM10,20.24
南平,PM2.5,10.55
南平,SO2,5.64
南昌,AQI,27.93
南昌,CO,0.48
南昌,NO2,13.12
南昌,O3,67.72
南昌,PM10,25.39
南昌,PM2.5,12.66
南昌,SO2,7.18
南通,AQI,30.23
南通,CO,0.61
南通,NO2,20.25
南通,O3,67.26
南通,PM10,24.56
南通,PM2.5,14.04
南通,SO2,7.0
南阳,AQI,36.47
南阳,CO,0.45
南阳,NO2,13.1
南阳,O3,85.89
南阳,PM10,31.25
南阳,PM2.5,17.6
南阳,SO2,6.28
博尔塔拉蒙古自治州,AQI,39.44
博尔塔拉蒙古自治州,CO,0.43
博尔塔拉蒙古自治州,NO2,11.44
博尔塔拉蒙古自治州,O3,93.28
博尔塔拉蒙古自治州,PM10,36.68
博尔塔拉蒙古自治州,PM2.5,12.11
博尔塔拉蒙古自治州,SO2,7.49
厦门,AQI,22.87
厦门,CO,0.31
厦门,NO2,10.17
厦门,O3,42.18
厦门,PM10,21.94
厦门,PM2.5,10.0
厦门,SO2,2.33
双鸭山,AQI,25.71
双鸭山,CO,0.36
双鸭山,NO2,11.45
双鸭山,O3,53.02
双鸭山,PM10,21.29
双鸭山,PM2.5,10.89
双鸭山,SO2,9.03
台州,AQI,27.85
台州,CO,0.47
台州,NO2,10.88
台州,O3,59.57
台州,PM10,27.07
台州,PM2.5,14.04
台州,SO2,2.89
合肥,AQI,31.17
合肥,CO,0.44
合肥,NO2,15.27
合肥,O3,66.53
合肥,PM10,30.29
合肥,PM2.5,16.1
合肥,SO2,5.75
吉安,AQI,30.09
吉安,CO,0.68
吉安,NO2,9.25
吉安,O3,65.72
吉安,PM10,29.71
吉安,PM2.5,16.13
吉安,SO2,9.64
吉林,AQI,28.8
吉林,CO,0.65
吉林,NO2,13.67
吉林,O3,72.47
吉林,PM10,23.64
吉林,PM2.5,13.3
吉林,SO2,5.2
吐鲁番地区,AQI,64.66
吐鲁番地区,CO,0.43
吐鲁番地区,NO2,21.84
吐鲁番地区,O3,94.73
吐鲁番地区,PM10,77.7
吐鲁番地区,PM2.5,24.79
吐鲁番地区,SO2,5.69
吕梁,AQI,57.64
吕梁,CO,0.62
吕梁,NO2,30.95
吕梁,O3,85.34
吕梁,PM10,58.12
吕梁,PM2.5,19.86
吕梁,SO2,7.83
吴忠,AQI,58.98
吴忠,CO,0.43
吴忠,NO2,14.02
吴忠,O3,107.08
吴忠,PM10,63.16
吴忠,PM2.5,20.74
吴忠,SO2,8.51
周口,AQI,39.36
周口,CO,0.53
周口,NO2,9.49
周口,O3,91.83
周口,PM10,34.93
周口,PM2.5,13.83
周口,SO2,3.45
呼伦贝尔,AQI,34.14
呼伦贝尔,CO,0.33
呼伦贝尔,NO2,10.8
呼伦贝尔,O3,71.21
呼伦贝尔,PM10,28.37
呼伦贝尔,PM2.5,19.9
呼伦贝尔,SO2,3.91
呼和浩特,AQI,46.02
呼和浩特,CO,0.51
呼和浩特,NO2,22.96
呼和浩特,O3,98.46
呼和浩特,PM10,40.61
呼和浩特,PM2.5,17.05
呼和浩特,SO2,7.73
和田地区,AQI,184.25
和田地区,CO,0.69
和田地区,NO2,13.72
和田地区,O3,96.75
和田地区,PM10,287.03
和田地区,PM2.5,78.27
和田地区,SO2,7.68
咸宁,AQI,25.56
咸宁,CO,0.55
咸宁,NO2,6.42
咸宁,O3,64.28
咸宁,PM10,21.74
咸宁,PM2.5,13.92
咸宁,SO2,3.33
咸阳,AQI,53.55
咸阳,CO,0.62
咸阳,NO2,25.68
咸阳,O3,92.66
咸阳,PM10,51.17
咸阳,PM2.5,21.96
咸阳,SO2,4.68
哈密地区,AQI,57.52
哈密地区,CO,0.37
哈密地区,NO2,19.85
哈密地区,O3,99.57
哈密地区,PM10,69.63
哈密地区,PM2.5,20.6
哈密地区,SO2,4.93
哈尔滨,AQI,33.7
哈尔滨,CO,0.6
哈尔滨,NO2,21.24
哈尔滨,O3,66.88
哈尔滨,PM10,31.89
哈尔滨,PM2.5,12.34
哈尔滨,SO2,7.07
唐山,AQI,52.03
唐山,CO,0.75
唐山,NO2,15.86
唐山,O3,104.33
唐山,PM10,46.91
唐山,PM2.5,24.62
唐山,SO2,4.25
商丘,AQI,39.69
商丘,CO,0.51
商丘,NO2,10.29
商丘,O3,94.99
商丘,PM10,34.39
商丘,PM2.5,16.38
商丘,SO2,5.66
商洛,AQI,38.94
商洛,CO,0.55
商洛,NO2,17.04
商洛,O3,72.93
商洛,PM10,36.69
商洛,PM2.5,14.48
商洛,SO2,5.82
喀什地区,AQI,86.48
喀什地区,CO,0.41
喀什地区,NO2,19.16
喀什地区,O3,107.47
喀什地区,PM10,113.75
喀什地区,PM2.5,32.12
喀什地区,SO2,3.29
嘉兴,AQI,30.96
嘉兴,CO,0.51
嘉兴,NO2,18.2
嘉兴,O3,66.87
嘉兴,PM10,26.97
嘉兴,PM2.5,15.63
嘉兴,SO2,3.6
嘉峪关,AQI,65.84
嘉峪关,CO,0.39
嘉峪关,NO2,18.64
嘉峪关,O3,107.09
嘉峪关,PM10,81.87
嘉峪关,PM2.5,24.31
嘉峪关,SO2,10.88
四平,AQI,33.41
四平,CO,0.44
四平,NO2,14.28
四平,O3,82.08
四平,PM10,27.22
四平,PM2.5,16.6
四平,SO2,6.29
固原,AQI,38.66
固原,CO,0.41
固原,NO2,12.7
固原,O3,100.16
固原,PM10,33.12
固原,PM2.5,14.0
固原,SO2,5.77
塔城地区,AQI,33.12
塔城地区,CO,0.34
塔城地区,NO2,9.94
塔城地区,O3,73.11
塔城地区,PM10,31.08
塔城地区,PM2.5,10.92
塔城地区,SO2,4.43
大兴安岭地区,AQI,31.71
大兴安岭地区,CO,0.3
大兴安岭地区,NO2,6.98
大兴安岭地区,O3,53.09
大兴安岭地区,PM10,26.87
大兴安岭地区,PM2.5,18.78
大兴安岭地区,SO2,5.73
大同,AQI,47.13
大同,CO,0.58
大同,NO2,18.7
大同,O3,107.26
大同,PM10,39.92
大同,PM2.5,16.91
大同,SO2,10.19
大庆,AQI,32.39
大庆,CO,0.35
大庆,NO2,11.49
大庆,O3,76.71
大庆,PM10,23.86
大庆,PM2.5,16.47
大庆,SO2,4.3
大理州,AQI,20.03
大理州,CO,0.58
大理州,NO2,9.6
大理州,O3,48.69
大理州,PM10,16.36
大理州,PM2.5,9.29
大理州,SO2,6.64
大连,AQI,36.28
大连,CO,0.53
大连,NO2,14.35
大连,O3,95.38
大连,PM10,26.89
大连,PM2.5,18.28
大连,SO2,5.67
天水,AQI,37.1
天水,CO,0.56
天水,NO2,15.73
天水,O3,89.66
天水,PM10,32.03
天水,PM2.5,14.85
天水,SO2,7.53
天津,AQI,55.07
天津,CO,0.64
天津,NO2,18.22
天津,O3,114.66
天津,PM10,42.88
天津,PM2.5,24.46
天津,SO2,6.31
太原,AQI,56.35
太原,CO,0.67
太原,NO2,26.52
太原,O3,111.84
太原,PM10,50.41
太原,PM2.5,22.96
太原,SO2,7.77
威海,AQI,32.7
威海,CO,0.35
威海,NO2,9.55
威海,O3,93.36
威海,PM10,23.08
威海,PM2.5,15.54
威海,SO2,5.82
娄底,AQI,32.12
娄底,CO,0.61
娄底,NO2,10.16
娄底,O3,62.03
娄底,PM10,31.77
娄底,PM2.5,17.79
娄底,SO2,10.84
孝感,AQI,29.39
孝感,CO,0.66
孝感,NO2,10.55
孝感,O3,76.77
孝感,PM10,22.78
孝感,PM2.5,13.83
孝感,SO2,7.2
宁德,AQI,26.02
宁德,CO,0.68
宁德,NO2,7.66
宁德,O3,53.56
宁德,PM10,24.35
宁德,PM2.5,10.88
宁德,SO2,8.01
宁波,AQI,25.56
宁波,CO,0.52
宁波,NO2,14.5
宁波,O3,59.28
宁波,PM10,23.31
宁波,PM2.5,12.7
宁波,SO2,4.65
安庆,AQI,24.96
安庆,CO,0.52
安庆,NO2,15.99
安庆,O3,61.04
安庆,PM10,21.1
安庆,PM2.5,13.25
安庆,SO2,6.09
安康,AQI,33.5
安康,CO,0.5
安康,NO2,8.6
安康,O3,66.64
安康,PM10,30.03
