city,type,value
七台河,AQI,41.92
七台河,CO,0.85
七台河,NO2,26.79
七台河,O3,72.71
七台河,PM10,41.33
七台河,PM2.5,25.17
七台河,SO2,16.67
三亚,AQI,29.42
三亚,CO,0.48
三亚,NO2,8.33
三亚,O3,54.21
三亚,PM10,29.38
三亚,PM2.5,12.88
三亚,SO2,5.71
三明,AQI,46.12
三明,CO,1.65
三明,NO2,37.29
三明,O3,5.71
三明,PM10,35.46
三明,PM2.5,32.54
三明,SO2,5.79
三门峡,AQI,110.5
三门峡,CO,0.62
三门峡,NO2,32.67
三门峡,O3,66.79
三门峡,PM10,170.42
三门峡,PM2.5,33.25
三门峡,SO2,6.79
上海,AQI,68.92
上海,CO,0.53
上海,NO2,37.71
上海,O3,73.79
上海,PM10,75.88
上海,PM2.5,34.58
上海,SO2,10.12
上饶,AQI,53.04
上饶,CO,0.87
上饶,NO2,25.46
上饶,O3,61.25
上饶,PM10,57.21
上饶,PM2.5,31.0
上饶,SO2,39.75
东莞,AQI,43.21
东莞,CO,0.68
东莞,NO2,35.29
东莞,O3,36.25
东莞,PM10,34.83
东莞,PM2.5,29.75
东莞,SO2,8.92
东营,AQI,57.96
东营,CO,0.28
东营,NO2,23.29
东营,O3,70.25
东营,PM10,69.0
东营,PM2.5,14.46
东营,SO2,8.88
中卫,AQI,91.33
中卫,CO,0.58
中卫,NO2,31.96
中卫,O3,56.79
中卫,PM10,131.96
中卫,PM2.5,52.62
中卫,SO2,20.58
中山,AQI,31.47
中山,CO,0.75
中山,NO2,41.93
中山,O3,27.47
中山,PM10,27.47
中山,PM2.5,17.13
中山,SO2,3.27
临夏州,AQI,75.04
临夏州,CO,0.9
临夏州,NO2,27.67
临夏州,O3,73.92
临夏州,PM10,95.5
临夏州,PM2.5,47.17
临夏州,SO2,12.17
临安,AQI,78.43
临安,CO,0.93
临安,NO2,27.78
临安,O3,41.91
临安,PM10,106.3
临安,PM2.5,33.78
临安,SO2,2.96
临汾,AQI,90.58
临汾,CO,0.71
临汾,NO2,27.54
临汾,O3,68.42
临汾,PM10,130.58
临汾,PM2.5,21.33
临汾,SO2,9.04
临沂,AQI,89.42
临沂,CO,0.54
临沂,NO2,24.79
临沂,O3,77.58
临沂,PM10,121.75
临沂,PM2.5,15.17
临沂,SO2,6.21
临沧,AQI,71.96
临沧,CO,0.81
临沧,NO2,15.08
临沧,O3,106.58
临沧,PM10,67.29
临沧,PM2.5,51.62
临沧,SO2,8.58
丹东,AQI,39.75
丹东,CO,0.51
丹东,NO2,12.0
丹东,O3,75.83
丹东,PM10,42.29
丹东,PM2.5,18.25
丹东,SO2,12.33
丽水,AQI,49.42
