city,type,value
七台河,AQI,28.88
七台河,CO,0.67
七台河,NO2,18.57
七台河,O3,56.48
七台河,PM10,26.96
七台河,PM2.5,14.43
七台河,SO2,8.71
三亚,AQI,20.29
三亚,CO,0.31
三亚,NO2,4.71
三亚,O3,50.96
三亚,PM10,19.71
三亚,PM2.5,7.62
三亚,SO2,3.83
三明,AQI,44.38
三明,CO,0.8
三明,NO2,20.62
三明,O3,21.92
三明,PM10,45.42
三明,PM2.5,18.33
三明,SO2,8.79
三门峡,AQI,77.75
三门峡,CO,0.57
三门峡,NO2,46.58
三门峡,O3,92.12
三门峡,PM10,94.29
三门峡,PM2.5,27.96
三门峡,SO2,8.62
上海,AQI,57.12
上海,CO,0.85
上海,NO2,51.04
上海,O3,71.79
上海,PM10,47.46
上海,PM2.5,40.25
上海,SO2,6.33
上饶,AQI,25.0
上饶,CO,0.55
上饶,NO2,11.5
上饶,O3,40.04
上饶,PM10,24.54
上饶,PM2.5,13.29
上饶,SO2,9.46
东莞,AQI,18.58
东莞,CO,0.48
东莞,NO2,13.38
东莞,O3,41.04
东莞,PM10,16.71
东莞,PM2.5,8.83
东莞,SO2,5.75
东营,AQI,94.88
东营,CO,0.69
东营,NO2,22.54
东营,O3,117.04
东营,PM10,136.42
东营,PM2.5,45.54
东营,SO2,9.75
中卫,AQI,66.67
中卫,CO,0.39
中卫,NO2,33.46
中卫,O3,77.5
中卫,PM10,82.0
中卫,PM2.5,30.5
中卫,SO2,23.33
中山,AQI,18.0
中山,CO,0.56
中山,NO2,6.04
中山,O3,38.75
中山,PM10,17.62
中山,PM2.5,5.42
中山,SO2,3.62
临夏州,AQI,39.21
临夏州,CO,0.46
临夏州,NO2,27.25
临夏州,O3,73.71
临夏州,PM10,30.58
临夏州,PM2.5,13.83
临夏州,SO2,8.25
临安,AQI,22.33
临安,CO,0.69
临安,NO2,12.0
临安,O3,36.67
临安,PM10,22.33
临安,PM2.5,5.88
临安,SO2,6.71
