city,type,value
七台河,AQI,36.1
七台河,CO,0.6
七台河,NO2,19.24
七台河,O3,59.76
七台河,PM10,35.81
七台河,PM2.5,17.76
七台河,SO2,14.05
三亚,AQI,31.21
三亚,CO,0.48
三亚,NO2,8.08
三亚,O3,82.38
三亚,PM10,29.92
三亚,PM2.5,14.88
三亚,SO2,4.25
三明,AQI,27.92
三明,CO,0.41
三明,NO2,12.08
三明,O3,76.25
三明,PM10,15.21
三明,PM2.5,8.5
三明,SO2,3.5
三门峡,AQI,68.12
三门峡,CO,0.63
三门峡,NO2,47.5
三门峡,O3,80.04
三门峡,PM10,84.71
三门峡,PM2.5,30.0
三门峡,SO2,6.17
上海,AQI,40.83
上海,CO,0.57
上海,NO2,22.54
上海,O3,117.21
上海,PM10,38.04
上海,PM2.5,19.29
上海,SO2,6.62
上饶,AQI,36.17
上饶,CO,0.56
上饶,NO2,11.29
上饶,O3,88.38
上饶,PM10,32.54
上饶,PM2.5,17.96
上饶,SO2,11.04
东莞,AQI,28.29
东莞,CO,0.82
东莞,NO2,23.42
东莞,O3,56.04
东莞,PM10,25.42
东莞,PM2.5,11.21
东莞,SO2,6.04
东营,AQI,59.83
东营,CO,0.5
东营,NO2,16.33
东营,O3,129.46
东营,PM10,68.83
东营,PM2.5,28.29
东营,SO2,14.21
中卫,AQI,133.92
中卫,CO,0.39
中卫,NO2,24.71
中卫,O3,66.67
中卫,PM10,165.62
中卫,PM2.5,42.75
中卫,SO2,13.58
中山,AQI,33.17
中山,CO,0.64
中山,NO2,19.88
中山,O3,62.54
中山,PM10,31.67
中山,PM2.5,13.71
中山,SO2,3.92
临夏州,AQI,43.54
临夏州,CO,0.46
临夏州,NO2,26.62
临夏州,O3,97.04
临夏州,PM10,31.75
临夏州,PM2.5,15.88
临夏州,SO2,9.46
临安,AQI,36.71
临安,CO,0.72
临安,NO2,14.62
临安,O3,63.62
临安,PM10,32.75
临安,PM2.5,19.29
临安,SO2,8.12
临汾,AQI,58.46
临汾,CO,1.06
临汾,NO2,39.04
临汾,O3,87.17
临汾,PM10,59.79
临汾,PM2.5,19.25
临汾,SO2,16.08
临沂,AQI,79.38
临沂,CO,0.74
临沂,NO2,23.83
临沂,O3,138.21
临沂,PM10,87.08
临沂,PM2.5,32.04
临沂,SO2,10.12
临沧,AQI,32.29
临沧,CO,0.62
临沧,NO2,14.25
临沧,O3,53.29
临沧,PM10,28.46
临沧,PM2.5,20.21
临沧,SO2,8.38
丹东,AQI,29.96
丹东,CO,0.47
丹东,NO2,6.12
丹东,O3,95.5
丹东,PM10,20.62
丹东,PM2.5,11.92
丹东,SO2,9.17
丽水,AQI,23.46
丽水,CO,0.42
丽水,NO2,12.33
丽水,O3,73.25
丽水,PM10,18.79
丽水,PM2.5,8.88
丽水,SO2,4.17
丽江,AQI,27.08
丽江,CO,0.49
丽江,NO2,7.75
丽江,O3,84.25
丽江,PM10,18.95
丽江,PM2.5,10.29
丽江,SO2,8.79
义乌,AQI,27.33
义乌,CO,0.44
义乌,NO2,21.58
义乌,O3,70.46
义乌,PM10,24.0
义乌,PM2.5,13.42
义乌,SO2,3.54
乌兰察布,AQI,28.12
乌兰察布,CO,0.18
乌兰察布,NO2,7.17
乌兰察布,O3,83.17
乌兰察布,PM10,23.77
乌兰察布,PM2.5,14.04
乌兰察布,SO2,15.88
乌海,AQI,75.46
乌海,CO,0.89
乌海,NO2,30.04
乌海,O3,75.67
乌海,PM10,101.21
乌海,PM2.5,23.67
乌海,SO2,38.83
乌鲁木齐,AQI,31.83
乌鲁木齐,CO,0.5
乌鲁木齐,NO2,26.67
乌鲁木齐,O3,61.83
乌鲁木齐,PM10,27.29
乌鲁木齐,PM2.5,11.62
乌鲁木齐,SO2,6.88
乐山,AQI,28.58
乐山,CO,0.53
乐山,NO2,21.58
乐山,O3,49.83
乐山,PM10,27.04
乐山,PM2.5,18.46
乐山,SO2,3.54
九江,AQI,37.54
九江,CO,0.6
九江,NO2,20.96
九江,O3,91.38
九江,PM10,33.79
九江,PM2.5,17.92
九江,SO2,11.5
乳山,AQI,33.08
乳山,CO,0.72
乳山,NO2,9.74
乳山,O3,101.88
乳山,PM10,26.46
乳山,PM2.5,10.21
乳山,SO2,3.71
云浮,AQI,31.88
云浮,CO,0.68
云浮,NO2,23.17
云浮,O3,40.17
云浮,PM10,30.75
云浮,PM2.5,12.79
云浮,SO2,15.46
五家渠,AQI,43.71
五家渠,CO,0.46
五家渠,NO2,21.54
五家渠,O3,56.12
五家渠,PM10,43.12
五家渠,PM2.5,7.92
五家渠,SO2,8.42
亳州,AQI,76.17
亳州,CO,0.46
亳州,NO2,13.79
亳州,O3,152.83
亳州,PM10,70.42
亳州,PM2.5,31.0
亳州,SO2,7.33
伊春,AQI,28.17
伊春,CO,0.56
伊春,NO2,12.33
伊春,O3,71.25
伊春,PM10,19.54
伊春,PM2.5,12.67
伊春,SO2,8.79
伊犁哈萨克州,AQI,35.12
伊犁哈萨克州,CO,0.63
伊犁哈萨克州,NO2,20.46
伊犁哈萨克州,O3,64.17
伊犁哈萨克州,PM10,29.33
伊犁哈萨克州,PM2.5,12.54
伊犁哈萨克州,SO2,7.88
佛山,AQI,23.08
佛山,CO,0.74
佛山,NO2,26.12
佛山,O3,41.58
佛山,PM10,22.21
佛山,PM2.5,10.79
佛山,SO2,5.62
佳木斯,AQI,44.54
佳木斯,CO,0.42
佳木斯,NO2,18.75
佳木斯,O3,62.75
佳木斯,PM10,46.08
佳木斯,PM2.5,18.25
佳木斯,SO2,8.21
保定,AQI,79.92
保定,CO,0.92
保定,NO2,29.75
保定,O3,86.96
保定,PM10,85.79
保定,PM2.5,53.71
保定,SO2,8.04
保山,AQI,32.75
保山,CO,0.56
保山,NO2,9.62
保山,O3,77.92
保山,PM10,30.95
保山,PM2.5,19.08
保山,SO2,5.92
信阳,AQI,46.96
信阳,CO,0.58
信阳,NO2,10.42
信阳,O3,123.62
信阳,PM10,39.83
信阳,PM2.5,24.38
信阳,SO2,6.17
克州,AQI,31.33
克州,CO,0.36
克州,NO2,11.25
克州,O3,79.79
克州,PM10,23.7
克州,PM2.5,9.09
克州,SO2,3.75
克拉玛依,AQI,25.83
克拉玛依,CO,0.46
克拉玛依,NO2,9.62
克拉玛依,O3,79.67
克拉玛依,PM10,18.29
克拉玛依,PM2.5,8.46
克拉玛依,SO2,5.71
六安,AQI,69.0
六安,CO,0.71
六安,NO2,23.17
六安,O3,147.42
六安,PM10,53.79
六安,PM2.5,29.5
六安,SO2,5.67
六盘水,AQI,26.0
六盘水,CO,0.31
六盘水,NO2,13.92
六盘水,O3,78.71
六盘水,PM10,19.12
六盘水,PM2.5,9.46
六盘水,SO2,9.42
兰州,AQI,77.46
兰州,CO,0.69
兰州,NO2,49.46
兰州,O3,73.67
兰州,PM10,104.38
兰州,PM2.5,32.54
兰州,SO2,17.71
兴安盟,AQI,50.54
兴安盟,CO,0.56
兴安盟,NO2,15.96
兴安盟,O3,69.62
兴安盟,PM10,51.21
兴安盟,PM2.5,34.12
兴安盟,SO2,7.46
内江,AQI,37.96
内江,CO,0.58
内江,NO2,14.96
内江,O3,67.08
内江,PM10,36.88
内江,PM2.5,24.58
内江,SO2,6.21
凉山州,AQI,31.88
凉山州,CO,0.42
凉山州,NO2,8.29
凉山州,O3,95.33
凉山州,PM10,19.92
凉山州,PM2.5,10.75
凉山州,SO2,5.71
包头,AQI,48.58
包头,CO,0.7
包头,NO2,25.79
包头,O3,61.29
包头,PM10,52.25
包头,PM2.5,19.46
包头,SO2,14.58
北京,AQI,67.0
北京,CO,0.81
北京,NO2,19.67
北京,O3,87.88
北京,PM10,38.2
北京,PM2.5,45.25
北京,SO2,2.12
北海,AQI,29.67
北海,CO,0.67
北海,NO2,9.75
北海,O3,72.46
北海,PM10,29.38
北海,PM2.5,11.42
北海,SO2,7.17
十堰,AQI,50.67
十堰,CO,0.64
十堰,NO2,16.88
十堰,O3,91.38
十堰,PM10,48.88
十堰,PM2.5,25.33
十堰,SO2,6.75
南京,AQI,51.17
南京,CO,0.65
南京,NO2,19.88
南京,O3,127.46
南京,PM10,39.92
南京,PM2.5,19.96
南京,SO2,9.08
南充,AQI,56.62
南充,CO,0.6
南充,NO2,25.29
南充,O3,77.71
南充,PM10,61.08
南充,PM2.5,36.92
南充,SO2,4.29
南宁,AQI,28.5
南宁,CO,0.86
南宁,NO2,19.92
南宁,O3,60.0
南宁,PM10,27.09
南宁,PM2.5,15.92
南宁,SO2,6.58
南平,AQI,25.33
南平,CO,0.38
南平,NO2,8.04
南平,O3,72.21
南平,PM10,17.0
南平,PM2.5,8.29
南平,SO2,6.0
南昌,AQI,26.04
南昌,CO,0.38
南昌,NO2,13.58
南昌,O3,75.79
南昌,PM10,16.04
南昌,PM2.5,6.92
南昌,SO2,4.5
南通,AQI,42.0
南通,CO,0.52
南通,NO2,24.75
南通,O3,112.12
南通,PM10,41.25
南通,PM2.5,21.33
南通,SO2,12.5
南阳,AQI,67.33
南阳,CO,0.71
南阳,NO2,30.33
南阳,O3,107.62
南阳,PM10,76.21
南阳,PM2.5,27.12
南阳,SO2,10.58
博州,AQI,26.33
博州,CO,0.24
博州,NO2,14.25
博州,O3,76.65
博州,PM10,22.78
博州,PM2.5,9.7
博州,SO2,6.91
即墨,AQI,48.58
即墨,CO,0.95
即墨,NO2,15.33
即墨,O3,118.58
即墨,PM10,50.92
即墨,PM2.5,22.08
即墨,SO2,5.29
厦门,AQI,25.88
厦门,CO,0.46
厦门,NO2,15.12
厦门,O3,82.79
厦门,PM10,9.21
厦门,PM2.5,4.67
厦门,SO2,3.29
双鸭山,AQI,38.17
双鸭山,CO,0.49
双鸭山,NO2,6.67
双鸭山,O3,71.67
双鸭山,PM10,38.92
双鸭山,PM2.5,14.42
双鸭山,SO2,6.42
句容,AQI,54.21
句容,CO,0.65
句容,NO2,16.46
句容,O3,130.38
句容,PM10,40.71
句容,PM2.5,23.71
句容,SO2,5.92
台州,AQI,30.75
台州,CO,0.44
台州,NO2,14.33
台州,O3,97.96
台州,PM10,19.96
台州,PM2.5,13.21
台州,SO2,2.29
合肥,AQI,51.25
合肥,CO,0.54
