city,type,value
七台河,AQI,40.07
七台河,CO,0.57
七台河,NO2,17.18
七台河,O3,53.92
七台河,PM10,43.08
七台河,PM2.5,10.23
七台河,SO2,13.49
三亚,AQI,19.07
三亚,CO,0.35
三亚,NO2,6.73
三亚,O3,38.42
三亚,PM10,18.23
三亚,PM2.5,7.29
三亚,SO2,3.41
三明,AQI,41.36
三明,CO,0.77
三明,NO2,21.21
三明,O3,40.91
三明,PM10,42.44
三明,PM2.5,19.63
三明,SO2,11.17
三门峡,AQI,52.13
三门峡,CO,0.68
三门峡,NO2,15.98
三门峡,O3,102.52
三门峡,PM10,52.8
三门峡,PM2.5,27.46
三门峡,SO2,4.11
上海,AQI,42.96
上海,CO,0.61
上海,NO2,32.44
上海,O3,69.86
上海,PM10,32.47
上海,PM2.5,27.47
上海,SO2,5.24
上饶,AQI,35.13
上饶,CO,0.54
上饶,NO2,13.79
上饶,O3,52.01
上饶,PM10,34.25
上饶,PM2.5,19.6
上饶,SO2,9.95
东莞,AQI,25.62
东莞,CO,0.52
东莞,NO2,17.99
东莞,O3,51.2
东莞,PM10,21.2
东莞,PM2.5,9.75
东莞,SO2,6.59
东营,AQI,60.99
东营,CO,0.63
东营,NO2,18.21
东营,O3,115.07
东营,PM10,55.07
东营,PM2.5,35.06
东营,SO2,11.48
中卫,AQI,47.3
中卫,CO,0.45
中卫,NO2,20.02
中卫,O3,88.04
中卫,PM10,50.22
中卫,PM2.5,18.98
中卫,SO2,9.28
中山,AQI,18.58
中山,CO,0.5
中山,NO2,9.28
中山,O3,42.4
中山,PM10,17.87
中山,PM2.5,6.69
中山,SO2,3.98
临夏州,AQI,31.77
临夏州,CO,0.46
临夏州,NO2,17.49
临夏州,O3,77.05
临夏州,PM10,20.59
临夏州,PM2.5,10.49
临夏州,SO2,7.28
临安,AQI,44.39
临安,CO,0.67
临安,NO2,18.58
临安,O3,49.7
临安,PM10,46.24
临安,PM2.5,15.37
临安,SO2,7.98
临汾,AQI,58.52
临汾,CO,1.05
临汾,NO2,23.13
临汾,O3,113.23
临汾,PM10,50.2
临汾,PM2.5,30.31
临汾,SO2,6.8
临沂,AQI,52.31
临沂,CO,0.74
临沂,NO2,22.14
