city,month,type,value
七台河,202001.csv,AQI,105.48
七台河,202001.csv,CO,1.2
七台河,202001.csv,NO2,54.54
七台河,202001.csv,O3,43.86
七台河,202001.csv,PM10,103.64
七台河,202001.csv,PM2.5,79.03
七台河,202001.csv,SO2,17.39
三亚,202001.csv,AQI,26.79
三亚,202001.csv,CO,0.52
三亚,202001.csv,NO2,6.78
三亚,202001.csv,O3,65.71
三亚,202001.csv,PM10,24.88
三亚,202001.csv,PM2.5,11.56
三亚,202001.csv,SO2,4.29
三明,202001.csv,AQI,39.35
三明,202001.csv,CO,0.97
三明,202001.csv,NO2,21.84
三明,202001.csv,O3,35.69
三明,202001.csv,PM10,37.1
三明,202001.csv,PM2.5,24.57
三明,202001.csv,SO2,9.9
三门峡,202001.csv,AQI,150.82
三门峡,202001.csv,CO,1.41
三门峡,202001.csv,NO2,37.71
三门峡,202001.csv,O3,39.69
三门峡,202001.csv,PM10,116.5
三门峡,202001.csv,PM2.5,115.73
三门峡,202001.csv,SO2,10.31
上海,202001.csv,AQI,73.33
上海,202001.csv,CO,0.86
上海,202001.csv,NO2,43.71
上海,202001.csv,O3,49.89
上海,202001.csv,PM10,44.48
上海,202001.csv,PM2.5,53.58
上海,202001.csv,SO2,6.75
上饶,202001.csv,AQI,49.93
上饶,202001.csv,CO,0.87
上饶,202001.csv,NO2,24.86
上饶,202001.csv,O3,33.92
上饶,202001.csv,PM10,51.47
上饶,202001.csv,PM2.5,33.1
上饶,202001.csv,SO2,11.03
东莞,202001.csv,AQI,53.12
东莞,202001.csv,CO,0.79
东莞,202001.csv,NO2,32.83
东莞,202001.csv,O3,57.43
东莞,202001.csv,PM10,45.35
东莞,202001.csv,PM2.5,36.83
东莞,202001.csv,SO2,8.59
东营,202001.csv,AQI,113.92
东营,202001.csv,CO,1.08
东营,202001.csv,NO2,41.85
东营,202001.csv,O3,42.12
东营,202001.csv,PM10,117.03
东营,202001.csv,PM2.5,85.53
东营,202001.csv,SO2,17.94
中卫,202001.csv,AQI,83.37
中卫,202001.csv,CO,0.91
中卫,202001.csv,NO2,32.18
中卫,202001.csv,O3,57.05
中卫,202001.csv,PM10,81.22
中卫,202001.csv,PM2.5,59.62
中卫,202001.csv,SO2,15.52
中山,202001.csv,AQI,43.71
中山,202001.csv,CO,0.82
中山,202001.csv,NO2,31.66
中山,202001.csv,O3,53.5
中山,202001.csv,PM10,40.49
中山,202001.csv,PM2.5,27.26
