city,type,value
七台河,AQI,46.71
七台河,CO,0.54
七台河,NO2,20.21
七台河,O3,81.0
七台河,PM10,47.33
七台河,PM2.5,20.5
七台河,SO2,12.83
三亚,AQI,19.67
三亚,CO,0.4
三亚,NO2,10.08
三亚,O3,27.29
三亚,PM10,19.33
三亚,PM2.5,9.29
三亚,SO2,3.83
三明,AQI,52.33
三明,CO,0.98
三明,NO2,26.25
三明,O3,51.12
三明,PM10,53.33
三明,PM2.5,31.96
三明,SO2,7.29
三门峡,AQI,71.29
三门峡,CO,0.75
三门峡,NO2,16.54
三门峡,O3,113.5
三门峡,PM10,92.17
三门峡,PM2.5,32.17
三门峡,SO2,5.29
上海,AQI,32.04
上海,CO,0.66
上海,NO2,29.08
上海,O3,66.88
上海,PM10,26.33
上海,PM2.5,22.29
上海,SO2,5.5
上饶,AQI,39.0
上饶,CO,0.73
上饶,NO2,12.54
上饶,O3,81.21
上饶,PM10,38.17
上饶,PM2.5,22.21
上饶,SO2,8.96
东莞,AQI,25.54
东莞,CO,0.5
东莞,NO2,13.12
东莞,O3,42.5
东莞,PM10,24.04
东莞,PM2.5,12.71
东莞,SO2,6.75
东营,AQI,61.42
东营,CO,0.64
东营,NO2,25.0
东营,O3,112.33
东营,PM10,70.38
东营,PM2.5,34.46
东营,SO2,9.88
中卫,AQI,66.33
中卫,CO,0.43
中卫,NO2,10.42
中卫,O3,116.54
中卫,PM10,80.83
中卫,PM2.5,22.17
中卫,SO2,7.46
中山,AQI,20.62
中山,CO,0.47
中山,NO2,6.71
中山,O3,36.75
中山,PM10,20.46
中山,PM2.5,8.46
中山,SO2,3.96
临夏州,AQI,49.46
临夏州,CO,0.39
临夏州,NO2,15.12
临夏州,O3,107.42
临夏州,PM10,47.54
临夏州,PM2.5,21.08
临夏州,SO2,10.42
临安,AQI,43.38
临安,CO,1.14
临安,NO2,42.58
临安,O3,42.96
临安,PM10,42.46
临安,PM2.5,21.79
临安,SO2,15.08
临汾,AQI,54.38
临汾,CO,0.74
临汾,NO2,18.17
临汾,O3,112.04
临汾,PM10,55.04
临汾,PM2.5,30.79
临汾,SO2,5.67
临沂,AQI,54.67
临沂,CO,0.63
临沂,NO2,28.0
临沂,O3,86.79
临沂,PM10,59.21
临沂,PM2.5,25.17
临沂,SO2,7.42
临沧,AQI,40.75
临沧,CO,0.67
临沧,NO2,13.88
临沧,O3,68.17
临沧,PM10,38.88
临沧,PM2.5,22.75
临沧,SO2,9.96
丹东,AQI,46.17
丹东,CO,0.64
丹东,NO2,19.58
丹东,O3,70.29
丹东,PM10,47.71
丹东,PM2.5,23.42
丹东,SO2,12.12
丽水,AQI,35.92
丽水,CO,0.55
丽水,NO2,12.46
丽水,O3,86.38
丽水,PM10,33.88
丽水,PM2.5,19.79
丽水,SO2,4.75
丽江,AQI,28.58
丽江,CO,0.36
丽江,NO2,5.58
丽江,O3,91.08
丽江,PM10,16.29
丽江,PM2.5,6.33
丽江,SO2,8.58
义乌,AQI,32.5
义乌,CO,0.68
义乌,NO2,19.0
义乌,O3,58.58
义乌,PM10,32.17
义乌,PM2.5,18.42
义乌,SO2,5.04
乌兰察布,AQI,61.25
乌兰察布,CO,0.45
乌兰察布,NO2,25.83
乌兰察布,O3,94.46
乌兰察布,PM10,72.67
乌兰察布,PM2.5,20.25
乌兰察布,SO2,20.75
乌海,AQI,102.38
乌海,CO,0.76
乌海,NO2,18.92
乌海,O3,98.38
乌海,PM10,148.0
乌海,PM2.5,32.08
乌海,SO2,15.75
乌鲁木齐,AQI,31.75
乌鲁木齐,CO,0.53
乌鲁木齐,NO2,16.67
乌鲁木齐,O3,70.0
乌鲁木齐,PM10,29.5
乌鲁木齐,PM2.5,17.17
乌鲁木齐,SO2,6.79
乐山,AQI,67.08
乐山,CO,0.85
乐山,NO2,22.33
乐山,O3,117.17
乐山,PM10,51.33
乐山,PM2.5,40.92
乐山,SO2,4.17
九江,AQI,38.67
九江,CO,0.65
九江,NO2,14.12
九江,O3,66.33
九江,PM10,34.38
九江,PM2.5,26.92
九江,SO2,9.54
乳山,AQI,35.88
乳山,CO,0.88
乳山,NO2,21.17
乳山,O3,97.46
乳山,PM10,31.54
乳山,PM2.5,14.46
乳山,SO2,6.75
云浮,AQI,29.12
云浮,CO,0.48
云浮,NO2,11.88
云浮,O3,39.25
云浮,PM10,26.92
云浮,PM2.5,17.21
云浮,SO2,14.0
五家渠,AQI,32.46
五家渠,CO,0.34
五家渠,NO2,7.25
五家渠,O3,72.71
五家渠,PM10,29.71
五家渠,PM2.5,10.25
五家渠,SO2,8.25
亳州,AQI,48.5
亳州,CO,0.46
亳州,NO2,11.92
亳州,O3,86.46
亳州,PM10,46.42
亳州,PM2.5,31.83
亳州,SO2,5.71
伊春,AQI,26.79
伊春,CO,0.26
伊春,NO2,13.46
伊春,O3,65.33
伊春,PM10,19.62
伊春,PM2.5,12.5
伊春,SO2,5.0
伊犁哈萨克州,AQI,37.71
伊犁哈萨克州,CO,0.35
伊犁哈萨克州,NO2,11.67
伊犁哈萨克州,O3,88.58
伊犁哈萨克州,PM10,32.96
伊犁哈萨克州,PM2.5,11.04
伊犁哈萨克州,SO2,9.33
佛山,AQI,24.79
佛山,CO,0.5
佛山,NO2,14.92
佛山,O3,35.71
佛山,PM10,24.79
