date,hour,type,city,value
20200104,0,AQI,北京,103.0
20200104,0,PM2.5,北京,77.0
20200104,0,PM2.5_24h,北京,50.0
20200104,0,PM10,北京,108.0
20200104,0,PM10_24h,北京,72.0
20200104,0,SO2,北京,8.0
20200104,0,SO2_24h,北京,8.0
20200104,0,NO2,北京,80.0
20200104,0,NO2_24h,北京,65.0
20200104,0,O3,北京,9.0
20200104,0,O3_24h,北京,36.0
20200104,0,O3_8h,北京,9.0
20200104,0,O3_8h_24h,北京,26.0
20200104,0,CO,北京,1.78
20200104,0,CO_24h,北京,1.22
20200104,1,AQI,北京,98.0
20200104,1,PM2.5,北京,73.0
20200104,1,PM2.5_24h,北京,51.0
20200104,1,PM10,北京,103.0
20200104,1,PM10_24h,北京,72.0
20200104,1,SO2,北京,9.0
20200104,1,SO2_24h,北京,8.0
20200104,1,NO2,北京,79.0
20200104,1,NO2_24h,北京,65.0
20200104,1,O3,北京,6.0
20200104,1,O3_24h,北京,36.0
20200104,1,O3_8h,北京,6.0
20200104,1,O3_8h_24h,北京,6.0
20200104,1,CO,北京,1.74
20200104,1,CO_24h,北京,1.24
20200104,2,AQI,北京,99.0
20200104,2,PM2.5,北京,74.0
20200104,2,PM2.5_24h,北京,51.0
20200104,2,PM10,北京,109.0
20200104,2,PM10_24h,北京,73.0
20200104,2,SO2,北京,11.0
20200104,2,SO2_24h,北京,8.0
20200104,2,NO2,北京,80.0
20200104,2,NO2_24h,北京,65.0
20200104,2,O3,北京,5.0
20200104,2,O3_24h,北京,36.0
20200104,2,O3_8h,北京,6.0
20200104,2,O3_8h_24h,北京,6.0
20200104,2,CO,北京,1.89
20200104,2,CO_24h,北京,1.23
20200104,3,AQI,北京,90.0
20200104,3,PM2.5,北京,67.0
20200104,3,PM2.5_24h,北京,52.0
20200104,3,PM10,北京,99.0
20200104,3,PM10_24h,北京,73.0
20200104,3,SO2,北京,9.0
20200104,3,SO2_24h,北京,8.0
20200104,3,NO2,北京,77.0
20200104,3,NO2_24h,北京,66.0
20200104,3,O3,北京,7.0
20200104,3,O3_24h,北京,36.0
20200104,3,O3_8h,北京,6.0
20200104,3,O3_8h_24h,北京,6.0
20200104,3,CO,北京,1.76
20200104,3,CO_24h,北京,1.25
20200104,4,AQI,北京,79.0
20200104,4,PM2.5,北京,58.0
20200104,4,PM2.5_24h,北京,52.0
20200104,4,PM10,北京,94.0
20200104,4,PM10_24h,北京,74.0
20200104,4,SO2,北京,7.0
20200104,4,SO2_24h,北京,8.0
20200104,4,NO2,北京,75.0
20200104,4,NO2_24h,北京,66.0
20200104,4,O3,北京,7.0
20200104,4,O3_24h,北京,36.0
20200104,4,O3_8h,北京,6.0
20200104,4,O3_8h_24h,北京,6.0
20200104,4,CO,北京,1.61
20200104,4,CO_24h,北京,1.25
20200104,5,AQI,北京,66.0
20200104,5,PM2.5,北京,48.0
20200104,5,PM2.5_24h,北京,52.0
20200104,5,PM10,北京,71.0
20200104,5,PM10_24h,北京,74.0
20200104,5,SO2,北京,5.0
20200104,5,SO2_24h,北京,8.0
20200104,5,NO2,北京,66.0
20200104,5,NO2_24h,北京,66.0
20200104,5,O3,北京,6.0
20200104,5,O3_24h,北京,36.0
20200104,5,O3_8h,北京,6.0
20200104,5,O3_8h_24h,北京,6.0
20200104,5,CO,北京,1.32
20200104,5,CO_24h,北京,1.27
20200104,6,AQI,北京,59.0
20200104,6,PM2.5,北京,42.0
20200104,6,PM2.5_24h,北京,52.0
20200104,6,PM10,北京,57.0
20200104,6,PM10_24h,北京,74.0
20200104,6,SO2,北京,5.0
20200104,6,SO2_24h,北京,8.0
20200104,6,NO2,北京,65.0
20200104,6,NO2_24h,北京,66.0
20200104,6,O3,北京,8.0
20200104,6,O3_24h,北京,36.0
20200104,6,O3_8h,北京,6.0
20200104,6,O3_8h_24h,北京,6.0
20200104,6,CO,北京,1.17
20200104,6,CO_24h,北京,1.27
20200104,7,AQI,北京,51.0
20200104,7,PM2.5,北京,36.0
20200104,7,PM2.5_24h,北京,52.0
20200104,7,PM10,北京,49.0
20200104,7,PM10_24h,北京,73.0
20200104,7,SO2,北京,6.0
20200104,7,SO2_24h,北京,8.0
20200104,7,NO2,北京,60.0
20200104,7,NO2_24h,北京,66.0
20200104,7,O3,北京,9.0
20200104,7,O3_24h,北京,36.0
20200104,7,O3_8h,北京,6.0
20200104,7,O3_8h_24h,北京,7.0
20200104,7,CO,北京,1.02
20200104,7,CO_24h,北京,1.27
20200104,8,AQI,北京,51.0
20200104,8,PM2.5,北京,35.0
20200104,8,PM2.5_24h,北京,52.0
20200104,8,PM10,北京,51.0
20200104,8,PM10_24h,北京,73.0
20200104,8,SO2,北京,9.0
20200104,8,SO2_24h,北京,9.0
20200104,8,NO2,北京,57.0
20200104,8,NO2_24h,北京,66.0
20200104,8,O3,北京,10.0
20200104,8,O3_24h,北京,37.0
20200104,8,O3_8h,北京,7.0
20200104,8,O3_8h_24h,北京,7.0
20200104,8,CO,北京,1.1
20200104,8,CO_24h,北京,1.26
20200104,9,AQI,北京,55.0
20200104,9,PM2.5,北京,36.0
20200104,9,PM2.5_24h,北京,52.0
20200104,9,PM10,北京,59.0
20200104,9,PM10_24h,北京,73.0
20200104,9,SO2,北京,10.0
20200104,9,SO2_24h,北京,9.0
20200104,9,NO2,北京,55.0
20200104,9,NO2_24h,北京,66.0
20200104,9,O3,北京,14.0
20200104,9,O3_24h,北京,37.0
20200104,9,O3_8h,北京,8.0
20200104,9,O3_8h_24h,北京,8.0
20200104,9,CO,北京,1.11
20200104,9,CO_24h,北京,1.25
20200104,10,AQI,北京,53.0
20200104,10,PM2.5,北京,33.0
20200104,10,PM2.5_24h,北京,54.0
20200104,10,PM10,北京,56.0
20200104,10,PM10_24h,北京,74.0
20200104,10,SO2,北京,9.0
20200104,10,SO2_24h,北京,9.0
20200104,10,NO2,北京,51.0
20200104,10,NO2_24h,北京,68.0
20200104,10,O3,北京,21.0
20200104,10,O3_24h,北京,35.0
20200104,10,O3_8h,北京,7.0
20200104,10,O3_8h_24h,北京,7.0
20200104,10,CO,北京,1.02
20200104,10,CO_24h,北京,1.33
