city,type,value
七台河,AQI,68.25
七台河,CO,0.45
七台河,NO2,31.33
七台河,O3,39.7
七台河,PM10,65.92
七台河,PM2.5,45.33
七台河,SO2,7.54
三亚,AQI,34.83
三亚,CO,0.5
三亚,NO2,9.79
三亚,O3,95.75
三亚,PM10,34.5
三亚,PM2.5,20.96
三亚,SO2,5.46
三明,AQI,32.71
三明,CO,0.37
三明,NO2,16.67
三明,O3,51.04
三明,PM10,29.04
三明,PM2.5,22.0
三明,SO2,4.79
三门峡,AQI,47.83
三门峡,CO,0.77
三门峡,NO2,31.88
三门峡,O3,33.29
三门峡,PM10,48.25
三门峡,PM2.5,30.83
三门峡,SO2,11.79
上海,AQI,69.71
上海,CO,0.78
上海,NO2,34.38
上海,O3,44.67
上海,PM10,51.58
上海,PM2.5,50.96
上海,SO2,6.71
上饶,AQI,39.12
上饶,CO,0.64
上饶,NO2,31.0
上饶,O3,17.46
上饶,PM10,41.04
上饶,PM2.5,25.21
上饶,SO2,20.71
东莞,AQI,34.62
东莞,CO,0.65
东莞,NO2,19.12
东莞,O3,51.75
东莞,PM10,33.29
东莞,PM2.5,23.79
东莞,SO2,7.83
东营,AQI,43.08
东营,CO,0.64
东营,NO2,37.46
东营,O3,38.08
东营,PM10,42.5
东营,PM2.5,22.04
东营,SO2,17.79
中卫,AQI,83.88
中卫,CO,0.4
中卫,NO2,28.71
中卫,O3,31.54
中卫,PM10,73.62
中卫,PM2.5,61.88
中卫,SO2,9.62
中山,AQI,45.54
中山,CO,0.59
中山,NO2,32.38
中山,O3,40.88
中山,PM10,43.92
中山,PM2.5,26.08
中山,SO2,5.67
临夏州,AQI,43.5
临夏州,CO,0.67
临夏州,NO2,21.29
临夏州,O3,53.0
临夏州,PM10,44.21
临夏州,PM2.5,20.04
临夏州,SO2,6.88
临安,AQI,20.75
临安,CO,1.25
临安,NO2,39.75
临安,O3,19.5
临安,PM10,17.38
临安,PM2.5,10.75
临安,SO2,3.38
临汾,AQI,37.54
临汾,CO,0.63
临汾,NO2,29.46
临汾,O3,39.08
临汾,PM10,37.75
临汾,PM2.5,23.62
临汾,SO2,12.38
临沂,AQI,79.29
临沂,CO,0.83
临沂,NO2,45.42
临沂,O3,33.96
临沂,PM10,80.83
临沂,PM2.5,50.21
临沂,SO2,9.71
临沧,AQI,37.71
临沧,CO,0.71
临沧,NO2,17.79
临沧,O3,32.5
临沧,PM10,35.04
临沧,PM2.5,21.62
临沧,SO2,9.58
丹东,AQI,32.62
丹东,CO,0.81
丹东,NO2,19.92
丹东,O3,51.17
丹东,PM10,32.58
丹东,PM2.5,17.12
丹东,SO2,18.38
丽水,AQI,41.62
丽水,CO,0.71
丽水,NO2,33.17
丽水,O3,32.33
丽水,PM10,41.67
丽水,PM2.5,25.46
丽水,SO2,5.29
丽江,AQI,26.33
丽江,CO,0.56
丽江,NO2,14.42
丽江,O3,65.54
丽江,PM10,23.5
丽江,PM2.5,12.42
丽江,SO2,7.12
义乌,AQI,66.21
义乌,CO,0.7
义乌,NO2,40.75
义乌,O3,19.33
义乌,PM10,67.71
义乌,PM2.5,47.62
义乌,SO2,4.08
乌兰察布,AQI,27.38
乌兰察布,CO,0.52
乌兰察布,NO2,36.38
乌兰察布,O3,38.08
乌兰察布,PM10,24.75
乌兰察布,PM2.5,15.83
乌兰察布,SO2,19.33
乌海,AQI,61.0
乌海,CO,0.96
乌海,NO2,29.33
乌海,O3,34.5
乌海,PM10,65.25
乌海,PM2.5,42.62
乌海,SO2,16.12
乌鲁木齐,AQI,108.96
乌鲁木齐,CO,1.35
乌鲁木齐,NO2,51.33
乌鲁木齐,O3,18.25
乌鲁木齐,PM10,81.46
乌鲁木齐,PM2.5,82.04
乌鲁木齐,SO2,6.92
乐山,AQI,41.04
乐山,CO,0.88
乐山,NO2,34.46
乐山,O3,10.79
乐山,PM10,37.5
乐山,PM2.5,28.62
乐山,SO2,4.08
九江,AQI,106.58
九江,CO,0.64
九江,NO2,21.25
九江,O3,50.75
九江,PM10,91.08
九江,PM2.5,80.62
九江,SO2,8.0
乳山,AQI,37.62
乳山,CO,1.2
乳山,NO2,25.75
乳山,O3,41.04
乳山,PM10,35.79
乳山,PM2.5,23.79
乳山,SO2,7.71
云浮,AQI,27.92
云浮,CO,0.86
云浮,NO2,18.29
云浮,O3,50.04
云浮,PM10,23.21
云浮,PM2.5,18.83
云浮,SO2,8.67
五家渠,AQI,110.08
五家渠,CO,1.64
五家渠,NO2,48.68
五家渠,O3,19.33
五家渠,PM10,123.33
五家渠,PM2.5,82.75
五家渠,SO2,7.88
亳州,AQI,115.83
亳州,CO,0.88
亳州,NO2,29.38
亳州,O3,43.54
亳州,PM10,116.0
亳州,PM2.5,87.5
亳州,SO2,8.33
伊春,AQI,57.42
伊春,CO,0.59
伊春,NO2,24.58
伊春,O3,32.33
伊春,PM10,54.75
伊春,PM2.5,39.96
伊春,SO2,10.25
伊犁哈萨克州,AQI,110.42
伊犁哈萨克州,CO,2.97
伊犁哈萨克州,NO2,65.83
伊犁哈萨克州,O3,19.58
伊犁哈萨克州,PM10,97.42
伊犁哈萨克州,PM2.5,83.17
伊犁哈萨克州,SO2,31.88
佛山,AQI,43.08
佛山,CO,0.68
佛山,NO2,25.62
佛山,O3,42.38
佛山,PM10,42.96
佛山,PM2.5,22.25
佛山,SO2,7.0
佳木斯,AQI,54.88
佳木斯,CO,0.54
佳木斯,NO2,22.46
佳木斯,O3,45.88
佳木斯,PM10,47.88
佳木斯,PM2.5,38.83
佳木斯,SO2,6.92
保定,AQI,78.88
保定,CO,0.67
保定,NO2,51.71
