city,type,value
七台河,AQI,109.67
七台河,CO,1.06
七台河,NO2,45.83
七台河,O3,45.21
七台河,PM10,109.42
七台河,PM2.5,81.71
七台河,SO2,20.21
三亚,AQI,34.33
三亚,CO,0.43
三亚,NO2,12.08
三亚,O3,70.0
三亚,PM10,34.33
三亚,PM2.5,17.62
三亚,SO2,3.58
三明,AQI,51.21
三明,CO,0.86
三明,NO2,33.62
三明,O3,27.12
三明,PM10,51.08
三明,PM2.5,34.75
三明,SO2,10.21
三门峡,AQI,97.58
三门峡,CO,1.22
三门峡,NO2,45.29
三门峡,O3,29.04
三门峡,PM10,132.58
三门峡,PM2.5,66.75
三门峡,SO2,10.79
上海,AQI,41.92
上海,CO,1.17
上海,NO2,51.75
上海,O3,11.88
上海,PM10,25.71
上海,PM2.5,28.42
上海,SO2,4.25
上饶,AQI,49.29
上饶,CO,1.24
上饶,NO2,26.42
上饶,O3,23.54
上饶,PM10,44.25
上饶,PM2.5,35.04
上饶,SO2,11.96
东莞,AQI,75.12
东莞,CO,0.88
东莞,NO2,66.62
东莞,O3,75.25
东莞,PM10,86.71
东莞,PM2.5,53.08
东莞,SO2,11.33
东营,AQI,168.21
东营,CO,1.88
东营,NO2,65.96
东营,O3,26.0
东营,PM10,175.0
东营,PM2.5,127.21
东营,SO2,15.83
中卫,AQI,170.71
中卫,CO,0.69
中卫,NO2,50.5
中卫,O3,28.88
中卫,PM10,290.83
中卫,PM2.5,69.29
中卫,SO2,15.92
中山,AQI,70.04
中山,CO,0.89
中山,NO2,42.67
中山,O3,87.88
中山,PM10,74.25
中山,PM2.5,47.58
中山,SO2,3.71
临夏回族自治州,AQI,51.42
临夏回族自治州,CO,0.91
临夏回族自治州,NO2,24.25
临夏回族自治州,O3,45.12
临夏回族自治州,PM10,56.96
临夏回族自治州,PM2.5,17.21
临夏回族自治州,SO2,8.04
临安,AQI,33.96
临安,CO,1.25
临安,NO2,27.46
临安,O3,34.46
临安,PM10,34.62
临安,PM2.5,15.12
临安,SO2,2.88
临汾,AQI,79.21
临汾,CO,0.99
临汾,NO2,43.88
临汾,O3,27.5
临汾,PM10,100.08
临汾,PM2.5,55.62
临汾,SO2,13.79
临沂,AQI,120.58
临沂,CO,1.39
临沂,NO2,45.62
临沂,O3,42.12
临沂,PM10,110.25
临沂,PM2.5,90.71
临沂,SO2,9.67
临沧,AQI,57.0
临沧,CO,0.78
临沧,NO2,20.67
临沧,O3,53.75
临沧,PM10,53.58
临沧,PM2.5,39.25
临沧,SO2,7.0
丹东,AQI,66.92
丹东,CO,1.38
丹东,NO2,29.46
丹东,O3,45.42
丹东,PM10,63.58
丹东,PM2.5,44.62
丹东,SO2,19.58
丽水,AQI,37.21
丽水,CO,0.68
丽水,NO2,27.0
丽水,O3,18.38
丽水,PM10,35.67
丽水,PM2.5,24.5
丽水,SO2,6.5
丽江,AQI,27.79
丽江,CO,0.46
丽江,NO2,8.42
丽江,O3,82.67
丽江,PM10,21.58
丽江,PM2.5,15.67
丽江,SO2,6.12
义乌,AQI,34.04
义乌,CO,0.96
义乌,NO2,40.29
义乌,O3,9.67
义乌,PM10,33.29
义乌,PM2.5,21.33
义乌,SO2,6.71
乌兰察布,AQI,46.75
乌兰察布,CO,0.54
乌兰察布,NO2,21.42
乌兰察布,O3,55.88
乌兰察布,PM10,48.29
乌兰察布,PM2.5,16.0
乌兰察布,SO2,18.5
乌海,AQI,92.04
乌海,CO,1.0
乌海,NO2,30.88
乌海,O3,42.54
乌海,PM10,133.38
乌海,PM2.5,31.12
乌海,SO2,18.54
乌鲁木齐,AQI,87.46
乌鲁木齐,CO,1.17
乌鲁木齐,NO2,55.0
乌鲁木齐,O3,34.5
乌鲁木齐,PM10,57.21
乌鲁木齐,PM2.5,64.92
乌鲁木齐,SO2,5.29
乐山,AQI,82.42
乐山,CO,0.96
乐山,NO2,41.29
乐山,O3,15.54
乐山,PM10,100.62
乐山,PM2.5,60.75
乐山,SO2,7.33
九江,AQI,163.88
九江,CO,1.25
九江,NO2,32.08
九江,O3,34.38
九江,PM10,136.58
九江,PM2.5,124.0
九江,SO2,5.96
乳山,AQI,77.33
乳山,CO,1.93
乳山,NO2,34.71
乳山,O3,53.71
乳山,PM10,69.12
乳山,PM2.5,56.96
乳山,SO2,7.58
云浮,AQI,67.0
云浮,CO,0.86
云浮,NO2,41.08
云浮,O3,47.71
云浮,PM10,77.88
云浮,PM2.5,46.54
云浮,SO2,11.08
五家渠,AQI,94.5
五家渠,CO,1.13
五家渠,NO2,35.75
五家渠,O3,49.75
五家渠,PM10,98.54
五家渠,PM2.5,70.46
五家渠,SO2,9.0
亳州,AQI,147.92
亳州,CO,1.31
亳州,NO2,26.38
亳州,O3,67.29
亳州,PM10,148.83
亳州,PM2.5,112.75
亳州,SO2,11.25
伊春,AQI,68.04
伊春,CO,0.73
伊春,NO2,18.42
伊春,O3,51.0
伊春,PM10,60.75
伊春,PM2.5,49.38
伊春,SO2,14.38
伊犁哈萨克州,AQI,114.75
伊犁哈萨克州,CO,2.82
伊犁哈萨克州,NO2,67.04
伊犁哈萨克州,O3,33.38
伊犁哈萨克州,PM10,95.96
伊犁哈萨克州,PM2.5,86.21
伊犁哈萨克州,SO2,24.38
佛山,AQI,60.04
佛山,CO,0.87
佛山,NO2,44.17
佛山,O3,62.62
佛山,PM10,67.88
佛山,PM2.5,39.38
佛山,SO2,6.0
佳木斯,AQI,52.67
佳木斯,CO,0.76
佳木斯,NO2,21.5
佳木斯,O3,36.96
佳木斯,PM10,50.46
佳木斯,PM2.5,35.96
佳木斯,SO2,9.75
保定,AQI,154.33
保定,CO,1.61
保定,NO2,51.29
保定,O3,18.46
保定,PM10,142.04
保定,PM2.5,117.04
保定,SO2,6.29
保山,AQI,48.92
保山,CO,0.48
保山,NO2,12.79
保山,O3,63.92
保山,PM10,36.5
保山,PM2.5,34.21
保山,SO2,5.29
信阳,AQI,152.08
信阳,CO,1.45
信阳,NO2,34.75
信阳,O3,53.21
信阳,PM10,159.96
信阳,PM2.5,115.83
信阳,SO2,5.04
儋州,AQI,32.33
儋州,CO,0.51
儋州,NO2,7.83
儋州,O3,74.83
儋州,PM10,31.88
儋州,PM2.5,16.12
儋州,SO2,3.29
克孜勒苏柯尔克孜自治州,AQI,111.08
克孜勒苏柯尔克孜自治州,CO,1.26
克孜勒苏柯尔克孜自治州,NO2,17.29
克孜勒苏柯尔克孜自治州,O3,66.12
克孜勒苏柯尔克孜自治州,PM10,171.62
克孜勒苏柯尔克孜自治州,PM2.5,41.17
克孜勒苏柯尔克孜自治州,SO2,4.75
克拉玛依,AQI,26.38
克拉玛依,CO,0.41
克拉玛依,NO2,19.71
克拉玛依,O3,53.83
克拉玛依,PM10,24.38
克拉玛依,PM2.5,17.17
克拉玛依,SO2,3.58
六安,AQI,172.25
六安,CO,1.35
六安,NO2,30.0
六安,O3,58.58
六安,PM10,167.75
六安,PM2.5,130.58
六安,SO2,5.46
六盘水,AQI,37.0
六盘水,CO,1.0
六盘水,NO2,14.12
六盘水,O3,45.08
六盘水,PM10,33.71
六盘水,PM2.5,25.54
六盘水,SO2,5.83
兰州,AQI,104.12
兰州,CO,1.14
兰州,NO2,58.0
兰州,O3,29.96
兰州,PM10,157.62
兰州,PM2.5,51.67
兰州,SO2,15.71
兰州新区,AQI,95.83
兰州新区,CO,0.56
兰州新区,NO2,19.33
兰州新区,O3,63.62
兰州新区,PM10,141.12
兰州新区,PM2.5,39.46
兰州新区,SO2,15.0
兴安盟,AQI,40.79
兴安盟,CO,0.4
兴安盟,NO2,11.79
兴安盟,O3,55.5
兴安盟,PM10,42.62
兴安盟,PM2.5,20.92
兴安盟,SO2,5.29
内江,AQI,83.29
内江,CO,1.26
内江,NO2,45.04
内江,O3,20.46
内江,PM10,94.33
内江,PM2.5,61.42
内江,SO2,9.5
凉山彝族自治州,AQI,52.29
凉山彝族自治州,CO,0.67
凉山彝族自治州,NO2,22.12
凉山彝族自治州,O3,58.21
凉山彝族自治州,PM10,53.58
凉山彝族自治州,PM2.5,32.21
凉山彝族自治州,SO2,10.33
包头,AQI,68.17
包头,CO,1.44
包头,NO2,46.96
包头,O3,31.33
包头,PM10,85.96
包头,PM2.5,32.25
包头,SO2,31.75
北京,AQI,110.54
北京,CO,1.07
北京,NO2,40.04
北京,O3,31.12
北京,PM10,78.54
北京,PM2.5,82.46
北京,SO2,2.46
北海,AQI,80.88
北海,CO,0.99
北海,NO2,22.96
北海,O3,79.75
北海,PM10,77.0
北海,PM2.5,59.58
北海,SO2,12.21
十堰,AQI,65.5
十堰,CO,0.99
十堰,NO2,28.21
十堰,O3,37.04
十堰,PM10,74.46
十堰,PM2.5,46.08
十堰,SO2,4.5
南京,AQI,87.54
南京,CO,1.56
南京,NO2,43.38
南京,O3,7.96
南京,PM10,73.75
南京,PM2.5,65.5
南京,SO2,3.71
南充,AQI,80.25
南充,CO,1.28
南充,NO2,34.33
南充,O3,32.12
南充,PM10,82.42
南充,PM2.5,59.17
南充,SO2,6.12
南宁,AQI,54.04
南宁,CO,1.02
南宁,NO2,33.33
南宁,O3,40.83
南宁,PM10,61.0
南宁,PM2.5,34.12
南宁,SO2,7.71
南平,AQI,42.96
南平,CO,0.79
南平,NO2,24.92
南平,O3,27.46
南平,PM10,38.04
