city,month,type,value
乌海,202101.csv,SO2,21.45
乌鲁木齐,202101.csv,AQI,141.28
乌鲁木齐,202101.csv,CO,1.57
乌鲁木齐,202101.csv,NO2,62.05
乌鲁木齐,202101.csv,O3,32.58
乌鲁木齐,202101.csv,PM10,111.9
乌鲁木齐,202101.csv,PM2.5,108.64
乌鲁木齐,202101.csv,SO2,6.67
乐山,202101.csv,AQI,104.57
乐山,202101.csv,CO,0.88
乐山,202101.csv,NO2,39.04
乐山,202101.csv,O3,23.41
乐山,202101.csv,PM10,108.73
乐山,202101.csv,PM2.5,77.49
乐山,202101.csv,SO2,7.39
九江,202101.csv,AQI,87.59
九江,202101.csv,CO,0.73
九江,202101.csv,NO2,42.59
九江,202101.csv,O3,28.13
九江,202101.csv,PM10,97.35
九江,202101.csv,PM2.5,58.19
九江,202101.csv,SO2,9.66
乳山,202101.csv,AQI,70.02
乳山,202101.csv,CO,1.16
乳山,202101.csv,NO2,32.13
乳山,202101.csv,O3,45.96
乳山,202101.csv,PM10,76.75
乳山,202101.csv,PM2.5,42.64
乳山,202101.csv,SO2,9.38
云浮,202101.csv,AQI,72.38
云浮,202101.csv,CO,0.88
云浮,202101.csv,NO2,47.61
云浮,202101.csv,O3,48.31
云浮,202101.csv,PM10,83.39
云浮,202101.csv,PM2.5,49.71
云浮,202101.csv,SO2,17.09
五家渠,202101.csv,AQI,231.13
五家渠,202101.csv,CO,2.2
五家渠,202101.csv,NO2,64.06
五家渠,202101.csv,O3,26.04
五家渠,202101.csv,PM10,250.05
五家渠,202101.csv,PM2.5,188.16
五家渠,202101.csv,SO2,12.13
亳州,202101.csv,AQI,121.46
亳州,202101.csv,CO,0.83
亳州,202101.csv,NO2,35.07
亳州,202101.csv,O3,43.54
亳州,202101.csv,PM10,151.25
亳州,202101.csv,PM2.5,76.24
亳州,202101.csv,SO2,8.77
伊春,202101.csv,AQI,68.36
伊春,202101.csv,CO,0.84
伊春,202101.csv,NO2,20.84
伊春,202101.csv,O3,37.89
伊春,202101.csv,PM10,58.2
伊春,202101.csv,PM2.5,49.82
伊春,202101.csv,SO2,12.97
伊犁哈萨克州,202101.csv,AQI,134.79
伊犁哈萨克州,202101.csv,CO,3.13
伊犁哈萨克州,202101.csv,NO2,61.35
伊犁哈萨克州,202101.csv,O3,33.61
伊犁哈萨克州,202101.csv,PM10,124.58
伊犁哈萨克州,202101.csv,PM2.5,103.65
伊犁哈萨克州,202101.csv,SO2,28.02
佛山,202101.csv,AQI,73.53
佛山,202101.csv,CO,0.87
佛山,202101.csv,NO2,60.71
佛山,202101.csv,O3,49.67
佛山,202101.csv,PM10,89.55
佛山,202101.csv,PM2.5,48.37
佛山,202101.csv,SO2,10.89
佳木斯,202101.csv,AQI,72.51
佳木斯,202101.csv,CO,0.8
佳木斯,202101.csv,NO2,25.98
佳木斯,202101.csv,O3,45.61
佳木斯,202101.csv,PM10,64.3
佳木斯,202101.csv,PM2.5,52.92
佳木斯,202101.csv,SO2,10.53
保定,202101.csv,AQI,92.93
保定,202101.csv,CO,0.9
保定,202101.csv,NO2,47.72
保定,202101.csv,O3,25.46
保定,202101.csv,PM10,116.2
保定,202101.csv,PM2.5,55.51
保定,202101.csv,SO2,11.09
保山,202101.csv,AQI,45.65
保山,202101.csv,CO,0.61
保山,202101.csv,NO2,14.72
保山,202101.csv,O3,58.19
保山,202101.csv,PM10,34.43
保山,202101.csv,PM2.5,31.21
保山,202101.csv,SO2,6.49
信阳,202101.csv,AQI,118.25
信阳,202101.csv,CO,0.98
信阳,202101.csv,NO2,36.54
信阳,202101.csv,O3,42.89
信阳,202101.csv,PM10,141.13
信阳,202101.csv,PM2.5,80.64
信阳,202101.csv,SO2,7.51
儋州,202101.csv,AQI,47.51
儋州,202101.csv,CO,0.59
儋州,202101.csv,NO2,12.84
儋州,202101.csv,O3,75.9
儋州,202101.csv,PM10,49.81
儋州,202101.csv,PM2.5,28.33
儋州,202101.csv,SO2,6.38
克孜勒苏柯尔克孜自治州,202101.csv,AQI,87.45
克孜勒苏柯尔克孜自治州,202101.csv,CO,1.45
克孜勒苏柯尔克孜自治州,202101.csv,NO2,18.52
克孜勒苏柯尔克孜自治州,202101.csv,O3,64.44
克孜勒苏柯尔克孜自治州,202101.csv,PM10,116.39
克孜勒苏柯尔克孜自治州,202101.csv,PM2.5,43.86
克孜勒苏柯尔克孜自治州,202101.csv,SO2,4.93
克拉玛依,202101.csv,AQI,77.21
克拉玛依,202101.csv,CO,0.8
克拉玛依,202101.csv,NO2,36.34
克拉玛依,202101.csv,O3,40.87
克拉玛依,202101.csv,PM10,77.67
克拉玛依,202101.csv,PM2.5,55.16
克拉玛依,202101.csv,SO2,4.43
六安,202101.csv,AQI,95.43
六安,202101.csv,CO,0.8
六安,202101.csv,NO2,36.43
六安,202101.csv,O3,46.56
六安,202101.csv,PM10,117.75
六安,202101.csv,PM2.5,57.96
六安,202101.csv,SO2,6.42
六盘水,202101.csv,AQI,48.68
六盘水,202101.csv,CO,1.04
六盘水,202101.csv,NO2,18.87
六盘水,202101.csv,O3,54.68
六盘水,202101.csv,PM10,48.26
六盘水,202101.csv,PM2.5,33.56
六盘水,202101.csv,SO2,12.63
兰州,202101.csv,AQI,83.2
兰州,202101.csv,CO,1.75
兰州,202101.csv,NO2,64.09
兰州,202101.csv,O3,25.75
兰州,202101.csv,PM10,114.35
兰州,202101.csv,PM2.5,48.99
兰州,202101.csv,SO2,28.18
兰州新区,202101.csv,AQI,67.45
兰州新区,202101.csv,CO,0.75
兰州新区,202101.csv,NO2,26.27
兰州新区,202101.csv,O3,45.27
兰州新区,202101.csv,PM10,84.37
兰州新区,202101.csv,PM2.5,34.54
兰州新区,202101.csv,SO2,22.54
兴安盟,202101.csv,AQI,39.49
兴安盟,202101.csv,CO,0.51
兴安盟,202101.csv,NO2,16.01
兴安盟,202101.csv,O3,50.41
兴安盟,202101.csv,PM10,37.5
兴安盟,202101.csv,PM2.5,26.15
兴安盟,202101.csv,SO2,6.89
内江,202101.csv,AQI,97.54
内江,202101.csv,CO,1.01
内江,202101.csv,NO2,39.97
内江,202101.csv,O3,28.71
内江,202101.csv,PM10,95.84
内江,202101.csv,PM2.5,72.38
内江,202101.csv,SO2,7.81
凉山彝族自治州,202101.csv,AQI,58.08
