city,type,value
七台河,AQI,85.5
七台河,CO,0.85
七台河,NO2,41.25
七台河,O3,66.75
七台河,PM10,94.29
七台河,PM2.5,61.79
七台河,SO2,18.58
三亚,AQI,19.62
三亚,CO,0.46
三亚,NO2,6.75
三亚,O3,43.58
三亚,PM10,18.75
三亚,PM2.5,11.12
三亚,SO2,3.29
三明,AQI,33.62
三明,CO,0.54
三明,NO2,16.46
三明,O3,23.5
三明,PM10,28.71
三明,PM2.5,23.12
三明,SO2,7.38
三门峡,AQI,119.75
三门峡,CO,0.77
三门峡,NO2,31.42
三门峡,O3,46.25
三门峡,PM10,89.42
三门峡,PM2.5,90.67
三门峡,SO2,5.62
上海,AQI,38.08
上海,CO,0.51
上海,NO2,30.75
上海,O3,64.33
上海,PM10,36.5
上海,PM2.5,25.46
上海,SO2,4.04
上饶,AQI,36.12
上饶,CO,0.85
上饶,NO2,28.29
上饶,O3,15.04
上饶,PM10,32.58
上饶,PM2.5,24.88
上饶,SO2,10.17
东莞,AQI,42.67
东莞,CO,0.78
东莞,NO2,34.83
东莞,O3,35.42
东莞,PM10,45.17
东莞,PM2.5,24.12
东莞,SO2,9.21
东营,AQI,128.54
东营,CO,1.12
东营,NO2,47.21
东营,O3,61.25
东营,PM10,135.21
东营,PM2.5,96.67
东营,SO2,23.29
中卫,AQI,69.96
中卫,CO,0.5
中卫,NO2,30.88
中卫,O3,72.5
中卫,PM10,77.83
中卫,PM2.5,46.88
中卫,SO2,11.33
中山,AQI,31.25
中山,CO,0.73
中山,NO2,32.75
中山,O3,36.29
中山,PM10,31.5
中山,PM2.5,13.92
中山,SO2,4.0
临夏回族自治州,AQI,44.33
临夏回族自治州,CO,0.65
临夏回族自治州,NO2,33.58
临夏回族自治州,O3,57.71
临夏回族自治州,PM10,43.71
临夏回族自治州,PM2.5,19.33
临夏回族自治州,SO2,8.29
临安,AQI,47.08
临安,CO,0.95
临安,NO2,46.42
临安,O3,32.54
临安,PM10,46.04
临安,PM2.5,29.0
临安,SO2,5.33
临汾,AQI,77.12
临汾,CO,1.25
临汾,NO2,32.42
临汾,O3,44.17
临汾,PM10,61.29
临汾,PM2.5,56.5
临汾,SO2,9.5
临沂,AQI,95.38
临沂,CO,0.89
临沂,NO2,49.71
临沂,O3,43.5
临沂,PM10,110.54
临沂,PM2.5,68.21
临沂,SO2,20.5
临沧,AQI,76.54
临沧,CO,0.93
临沧,NO2,19.46
临沧,O3,89.71
临沧,PM10,77.75
临沧,PM2.5,54.96
临沧,SO2,13.38
丹东,AQI,80.62
丹东,CO,1.22
丹东,NO2,28.08
丹东,O3,55.83
丹东,PM10,78.67
丹东,PM2.5,59.17
丹东,SO2,19.38
丽水,AQI,35.17
丽水,CO,0.49
丽水,NO2,23.88
丽水,O3,37.42
丽水,PM10,34.62
丽水,PM2.5,18.08
丽水,SO2,5.25
丽江,AQI,33.67
丽江,CO,0.7
丽江,NO2,10.42
丽江,O3,97.0
丽江,PM10,31.0
丽江,PM2.5,18.08
丽江,SO2,6.88
义乌,AQI,29.17
义乌,CO,0.82
义乌,NO2,42.79
义乌,O3,14.67
义乌,PM10,28.33
义乌,PM2.5,17.71
义乌,SO2,6.12
乌兰察布,AQI,67.62
乌兰察布,CO,0.85
乌兰察布,NO2,45.96
乌兰察布,O3,46.12
乌兰察布,PM10,74.38
乌兰察布,PM2.5,47.21
乌兰察布,SO2,22.54
乌海,AQI,92.08
乌海,CO,1.4
乌海,NO2,43.25
乌海,O3,60.29
乌海,PM10,127.21
乌海,PM2.5,62.83
乌海,SO2,30.88
乌鲁木齐,AQI,110.96
乌鲁木齐,CO,1.27
乌鲁木齐,NO2,40.75
乌鲁木齐,O3,41.12
乌鲁木齐,PM10,89.5
乌鲁木齐,PM2.5,83.75
乌鲁木齐,SO2,4.79
乐山,AQI,59.46
乐山,CO,0.71
乐山,NO2,28.62
乐山,O3,24.17
乐山,PM10,65.88
乐山,PM2.5,40.58
乐山,SO2,7.88
九江,AQI,58.62
九江,CO,0.87
九江,NO2,29.04
九江,O3,19.79
九江,PM10,53.0
九江,PM2.5,41.88
九江,SO2,7.75
乳山,AQI,54.83
乳山,CO,0.71
乳山,NO2,31.96
乳山,O3,61.83
乳山,PM10,52.17
乳山,PM2.5,37.62
乳山,SO2,7.79
云浮,AQI,48.88
云浮,CO,0.91
云浮,NO2,38.04
云浮,O3,20.79
云浮,PM10,53.17
云浮,PM2.5,32.0
云浮,SO2,8.88
五家渠,AQI,94.42
五家渠,CO,1.01
五家渠,NO2,19.0
五家渠,O3,69.0
五家渠,PM10,102.17
五家渠,PM2.5,70.29
五家渠,SO2,5.08
亳州,AQI,90.58
亳州,CO,0.58
亳州,NO2,25.96
亳州,O3,56.92
亳州,PM10,112.29
亳州,PM2.5,67.17
亳州,SO2,6.46
伊春,AQI,47.71
伊春,CO,0.82
伊春,NO2,17.75
伊春,O3,73.33
伊春,PM10,42.62
伊春,PM2.5,33.54
伊春,SO2,12.62
伊犁哈萨克州,AQI,63.62
伊犁哈萨克州,CO,1.56
伊犁哈萨克州,NO2,38.88
伊犁哈萨克州,O3,51.04
伊犁哈萨克州,PM10,74.42
伊犁哈萨克州,PM2.5,41.62
伊犁哈萨克州,SO2,15.29
佛山,AQI,48.92
佛山,CO,0.93
佛山,NO2,47.0
佛山,O3,13.29
佛山,PM10,53.25
佛山,PM2.5,25.96
佛山,SO2,7.25
佳木斯,AQI,81.08
佳木斯,CO,0.8
佳木斯,NO2,36.71
佳木斯,O3,75.58
佳木斯,PM10,73.04
佳木斯,PM2.5,59.75
佳木斯,SO2,8.54
保定,AQI,99.21
保定,CO,0.8
保定,NO2,56.58
保定,O3,41.88
保定,PM10,114.04
保定,PM2.5,74.21
保定,SO2,10.38
保山,AQI,65.12
保山,CO,0.53
保山,NO2,15.29
保山,O3,102.38
保山,PM10,60.62
保山,PM2.5,46.04
保山,SO2,6.62
信阳,AQI,85.67
信阳,CO,0.69
信阳,NO2,30.42
信阳,O3,36.58
信阳,PM10,94.17
信阳,PM2.5,63.46
信阳,SO2,4.21
儋州,AQI,21.5
儋州,CO,0.39
儋州,NO2,7.79
儋州,O3,46.5
儋州,PM10,21.38
儋州,PM2.5,8.58
儋州,SO2,3.92
克孜勒苏柯尔克孜自治州,AQI,133.25
克孜勒苏柯尔克孜自治州,CO,0.56
克孜勒苏柯尔克孜自治州,NO2,8.04
克孜勒苏柯尔克孜自治州,O3,66.92
克孜勒苏柯尔克孜自治州,PM10,216.04
克孜勒苏柯尔克孜自治州,PM2.5,48.92
克孜勒苏柯尔克孜自治州,SO2,3.08
克拉玛依,AQI,31.25
克拉玛依,CO,0.39
克拉玛依,NO2,19.67
克拉玛依,O3,62.42
克拉玛依,PM10,29.54
克拉玛依,PM2.5,21.21
克拉玛依,SO2,4.0
六安,AQI,75.29
六安,CO,0.69
六安,NO2,37.54
六安,O3,33.5
六安,PM10,86.42
六安,PM2.5,55.12
六安,SO2,5.5
六盘水,AQI,50.96
六盘水,CO,0.81
六盘水,NO2,12.25
六盘水,O3,56.92
六盘水,PM10,47.42
六盘水,PM2.5,36.54
六盘水,SO2,4.83
兰州,AQI,57.5
兰州,CO,1.12
兰州,NO2,53.46
兰州,O3,43.42
兰州,PM10,65.79
兰州,PM2.5,31.71
兰州,SO2,15.04
兰州新区,AQI,57.71
兰州新区,CO,0.67
兰州新区,NO2,30.33
兰州新区,O3,65.21
兰州新区,PM10,66.38
兰州新区,PM2.5,31.46
兰州新区,SO2,17.5
兴安盟,AQI,65.25
兴安盟,CO,0.76
兴安盟,NO2,21.21
兴安盟,O3,55.25
兴安盟,PM10,66.88
兴安盟,PM2.5,43.83
兴安盟,SO2,8.67
内江,AQI,71.5
内江,CO,0.81
内江,NO2,23.62
内江,O3,23.29
内江,PM10,61.0
内江,PM2.5,52.17
内江,SO2,5.33
凉山彝族自治州,AQI,45.92
凉山彝族自治州,CO,0.77
凉山彝族自治州,NO2,21.42
凉山彝族自治州,O3,77.33
凉山彝族自治州,PM10,46.5
凉山彝族自治州,PM2.5,28.21
凉山彝族自治州,SO2,11.79
包头,AQI,103.92
包头,CO,1.19
包头,NO2,44.08
包头,O3,58.5
包头,PM10,101.79
包头,PM2.5,78.0
包头,SO2,24.46
北京,AQI,115.79
北京,CO,0.8
北京,NO2,48.12
北京,O3,30.46
北京,PM10,83.17
北京,PM2.5,87.54
北京,SO2,3.62
北海,AQI,43.12
北海,CO,0.79
北海,NO2,12.08
北海,O3,69.04
北海,PM10,42.54
北海,PM2.5,25.79
北海,SO2,6.29
十堰,AQI,60.5
十堰,CO,0.67
十堰,NO2,25.62
十堰,O3,43.33
十堰,PM10,54.62
十堰,PM2.5,43.29
十堰,SO2,4.83
南京,AQI,62.04
南京,CO,0.72
南京,NO2,35.83
南京,O3,38.12
南京,PM10,68.88
南京,PM2.5,43.62
南京,SO2,3.67
南充,AQI,37.29
南充,CO,0.63
南充,NO2,18.42
南充,O3,44.42
南充,PM10,36.17
南充,PM2.5,24.83
南充,SO2,4.75
南宁,AQI,82.67
南宁,CO,1.01
南宁,NO2,31.08
南宁,O3,32.21
南宁,PM10,89.75
南宁,PM2.5,60.96
南宁,SO2,7.71
南平,AQI,28.79
南平,CO,0.49
南平,NO2,12.71
南平,O3,36.38
南平,PM10,25.08
南平,PM2.5,18.79
南平,SO2,5.88
南昌,AQI,49.08
南昌,CO,0.95
南昌,NO2,31.21
南昌,O3,14.25
南昌,PM10,48.92
南昌,PM2.5,34.92
南昌,SO2,5.25
南通,AQI,36.08
南通,CO,0.52
南通,NO2,11.96
南通,O3,71.38
南通,PM10,31.0
南通,PM2.5,24.88
南通,SO2,3.92
南阳,AQI,102.29
南阳,CO,0.9
南阳,NO2,26.12
南阳,O3,59.08
南阳,PM10,108.29
南阳,PM2.5,76.83
南阳,SO2,8.25
博尔塔拉蒙古自治州,AQI,50.21
博尔塔拉蒙古自治州,CO,0.5
博尔塔拉蒙古自治州,NO2,18.21
博尔塔拉蒙古自治州,O3,43.62
博尔塔拉蒙古自治州,PM10,52.29
博尔塔拉蒙古自治州,PM2.5,30.67
博尔塔拉蒙古自治州,SO2,7.58
即墨,AQI,90.12
即墨,CO,1.26
即墨,NO2,47.18
即墨,O3,41.71
即墨,PM10,117.32
即墨,PM2.5,67.95
即墨,SO2,15.61
厦门,AQI,39.96
厦门,CO,0.4
厦门,NO2,15.42
厦门,O3,79.21
厦门,PM10,40.21
厦门,PM2.5,22.67
厦门,SO2,5.79
双鸭山,AQI,70.71
双鸭山,CO,0.76
双鸭山,NO2,23.88
双鸭山,O3,78.29
双鸭山,PM10,78.0
双鸭山,PM2.5,50.08
双鸭山,SO2,16.25
句容,AQI,80.08
句容,CO,0.84
句容,NO2,32.92
句容,O3,41.96
句容,PM10,93.25
句容,PM2.5,59.0
句容,SO2,10.25
台州,AQI,40.88
台州,CO,0.35
台州,NO2,21.04
台州,O3,70.33
台州,PM10,40.62
台州,PM2.5,20.25
台州,SO2,4.21
合肥,AQI,66.71
合肥,CO,0.87
合肥,NO2,48.21
合肥,O3,13.46
合肥,PM10,52.17
合肥,PM2.5,48.29
合肥,SO2,5.62
吉安,AQI,38.42
吉安,CO,0.8
吉安,NO2,21.92
吉安,O3,21.58
吉安,PM10,38.42
吉安,PM2.5,23.62
吉安,SO2,10.92
吉林,AQI,50.5
吉林,CO,0.83
吉林,NO2,29.38
吉林,O3,67.25
吉林,PM10,47.25
吉林,PM2.5,33.71
吉林,SO2,17.12
吐鲁番地区,AQI,102.5
吐鲁番地区,CO,1.07
吐鲁番地区,NO2,38.29
吐鲁番地区,O3,66.75
吐鲁番地区,PM10,154.58
吐鲁番地区,PM2.5,46.92
吐鲁番地区,SO2,8.0
吕梁,AQI,89.96
吕梁,CO,0.82
吕梁,NO2,53.67
吕梁,O3,27.29
吕梁,PM10,123.42
吕梁,PM2.5,59.04
吕梁,SO2,17.92
吴忠,AQI,67.54
吴忠,CO,0.62
吴忠,NO2,22.46
吴忠,O3,77.92
吴忠,PM10,66.12
吴忠,PM2.5,48.42
吴忠,SO2,10.92
吴江,AQI,49.71
吴江,CO,0.53
吴江,NO2,34.5
吴江,O3,51.38
吴江,PM10,52.75
吴江,PM2.5,24.79
吴江,SO2,4.62
周口,AQI,97.08
周口,CO,0.87
周口,NO2,31.92
周口,O3,48.08
周口,PM10,79.38
周口,PM2.5,72.54
周口,SO2,8.0
呼伦贝尔,AQI,24.92
呼伦贝尔,CO,0.27
呼伦贝尔,NO2,9.42
呼伦贝尔,O3,70.58
呼伦贝尔,PM10,22.17
呼伦贝尔,PM2.5,12.71
呼伦贝尔,SO2,4.25
呼和浩特,AQI,89.17
呼和浩特,CO,1.1
呼和浩特,NO2,45.67
呼和浩特,O3,45.88
呼和浩特,PM10,94.92
呼和浩特,PM2.5,64.88
呼和浩特,SO2,16.08
和田地区,AQI,167.5
和田地区,CO,1.09
和田地区,NO2,37.38
和田地区,O3,62.58
和田地区,PM10,265.17
和田地区,PM2.5,65.22
和田地区,SO2,12.17
咸宁,AQI,42.5
咸宁,CO,0.84
咸宁,NO2,15.58
咸宁,O3,35.25
咸宁,PM10,30.54
咸宁,PM2.5,29.96
咸宁,SO2,6.88
咸阳,AQI,80.96
咸阳,CO,0.69
咸阳,NO2,42.42
咸阳,O3,30.79
咸阳,PM10,79.71
咸阳,PM2.5,59.25
咸阳,SO2,8.83
哈密地区,AQI,80.83
哈密地区,CO,0.59
哈密地区,NO2,32.17
哈密地区,O3,57.92
哈密地区,PM10,111.17
哈密地区,PM2.5,31.75
哈密地区,SO2,10.62
哈尔滨,AQI,100.67
哈尔滨,CO,0.82
哈尔滨,NO2,39.38
哈尔滨,O3,87.88
哈尔滨,PM10,85.17
哈尔滨,PM2.5,75.38
哈尔滨,SO2,30.0
唐山,AQI,110.38
唐山,CO,1.47
唐山,NO2,70.96
唐山,O3,35.0
唐山,PM10,120.12
唐山,PM2.5,82.83
唐山,SO2,15.67
商丘,AQI,121.58
商丘,CO,0.82
商丘,NO2,32.88
商丘,O3,54.04
商丘,PM10,103.17
商丘,PM2.5,92.17
商丘,SO2,6.62
商洛,AQI,56.92
商洛,CO,0.48
商洛,NO2,21.62
商洛,O3,58.12
商洛,PM10,44.04
商洛,PM2.5,40.79
商洛,SO2,8.54
喀什地区,AQI,171.25
喀什地区,CO,1.18
喀什地区,NO2,37.75
喀什地区,O3,46.33
喀什地区,PM10,283.83
喀什地区,PM2.5,90.88
喀什地区,SO2,7.92
嘉兴,AQI,40.25
嘉兴,CO,0.62
嘉兴,NO2,32.21
嘉兴,O3,56.17
嘉兴,PM10,40.46
嘉兴,PM2.5,22.88
嘉兴,SO2,6.46
嘉峪关,AQI,58.21
嘉峪关,CO,0.52
嘉峪关,NO2,28.12
嘉峪关,O3,70.08
嘉峪关,PM10,65.92
嘉峪关,PM2.5,25.92
嘉峪关,SO2,15.92
四平,AQI,125.25
四平,CO,1.06
四平,NO2,42.67
四平,O3,66.5
四平,PM10,138.08
四平,PM2.5,95.08
四平,SO2,22.21
固原,AQI,60.46
固原,CO,0.61
固原,NO2,20.67
固原,O3,58.12
固原,PM10,42.04
固原,PM2.5,42.42
固原,SO2,3.75
塔城地区,AQI,24.92
塔城地区,CO,0.66
塔城地区,NO2,10.33
塔城地区,O3,37.88
塔城地区,PM10,24.04
塔城地区,PM2.5,9.17
塔城地区,SO2,7.17
大兴安岭地区,AQI,27.04
大兴安岭地区,CO,0.73
大兴安岭地区,NO2,17.0
大兴安岭地区,O3,56.62
大兴安岭地区,PM10,24.38
大兴安岭地区,PM2.5,10.25
大兴安岭地区,SO2,18.75
大同,AQI,111.38
大同,CO,1.35
大同,NO2,43.54
大同,O3,48.42
大同,PM10,129.0
大同,PM2.5,83.92
大同,SO2,33.58
大庆,AQI,65.38
大庆,CO,0.73
大庆,NO2,22.96
大庆,O3,73.58
大庆,PM10,74.04
大庆,PM2.5,43.88
大庆,SO2,11.62
大理州,AQI,50.42
大理州,CO,0.63
大理州,NO2,13.25
大理州,O3,100.54
大理州,PM10,48.67
大理州,PM2.5,33.5
大理州,SO2,7.08
大连,AQI,63.62
大连,CO,0.88
大连,NO2,39.67
大连,O3,48.46
大连,PM10,67.25
大连,PM2.5,45.21
大连,SO2,14.08
天水,AQI,55.54
天水,CO,0.52
天水,NO2,32.42
天水,O3,59.96
天水,PM10,54.29
天水,PM2.5,37.21
天水,SO2,9.42
天津,AQI,125.33
天津,CO,1.22
天津,NO2,65.04
天津,O3,38.25
天津,PM10,122.62
天津,PM2.5,94.88
天津,SO2,13.88
太仓,AQI,40.04
太仓,CO,0.47
太仓,NO2,22.52
太仓,O3,65.91
太仓,PM10,40.04
太仓,PM2.5,24.83
太仓,SO2,4.87
太原,AQI,115.88
太原,CO,1.05
太原,NO2,48.75
太原,O3,44.75
太原,PM10,126.42
太原,PM2.5,87.54
太原,SO2,19.58
威海,AQI,51.17
威海,CO,0.61
威海,NO2,30.83
威海,O3,61.62
威海,PM10,54.29
威海,PM2.5,33.38
威海,SO2,4.88
娄底,AQI,33.04
娄底,CO,0.64
娄底,NO2,19.25
娄底,O3,19.12
娄底,PM10,25.5
娄底,PM2.5,22.83
娄底,SO2,3.08
孝感,AQI,66.92
孝感,CO,0.91
孝感,NO2,20.17
孝感,O3,34.42
孝感,PM10,71.33
孝感,PM2.5,48.08
孝感,SO2,4.21
宁德,AQI,42.88
宁德,CO,0.55
宁德,NO2,16.08
宁德,O3,60.67
宁德,PM10,42.79
宁德,PM2.5,22.92
宁德,SO2,3.92
宁波,AQI,31.46
宁波,CO,0.75
宁波,NO2,45.38
宁波,O3,42.92
宁波,PM10,29.79
宁波,PM2.5,18.29
宁波,SO2,8.42
安庆,AQI,69.04
安庆,CO,0.88
安庆,NO2,25.71
安庆,O3,24.54
安庆,PM10,50.5
安庆,PM2.5,50.08
安庆,SO2,6.54
安康,AQI,40.92
安康,CO,0.51
安康,NO2,17.79
安康,O3,55.17
安康,PM10,27.17
安康,PM2.5,28.29
安康,SO2,10.08
安阳,AQI,127.54
安阳,CO,0.76
安阳,NO2,39.62
安阳,O3,46.71
安阳,PM10,115.71
安阳,PM2.5,96.83
安阳,SO2,6.17
安顺,AQI,26.46
安顺,CO,0.8
安顺,NO2,15.96
安顺,O3,29.38
安顺,PM10,20.62
安顺,PM2.5,17.21
安顺,SO2,11.42
定西,AQI,38.83
定西,CO,0.45
定西,NO2,24.0
定西,O3,54.25
定西,PM10,37.79
定西,PM2.5,20.42
定西,SO2,9.12
宜兴,AQI,67.17
宜兴,CO,0.99
宜兴,NO2,32.58
宜兴,O3,40.46
宜兴,PM10,83.92
宜兴,PM2.5,42.92
宜兴,SO2,8.38
宜宾,AQI,91.33
宜宾,CO,0.71
宜宾,NO2,30.08
宜宾,O3,22.62
宜宾,PM10,78.38
宜宾,PM2.5,67.96
宜宾,SO2,5.79
宜昌,AQI,95.33
宜昌,CO,0.75
宜昌,NO2,23.04
宜昌,O3,33.46
宜昌,PM10,84.42
宜昌,PM2.5,71.12
宜昌,SO2,6.42
宜春,AQI,45.54
宜春,CO,0.92
宜春,NO2,29.33
宜春,O3,16.29
宜春,PM10,43.25
宜春,PM2.5,32.38
宜春,SO2,14.04
宝鸡,AQI,126.5
宝鸡,CO,0.85
宝鸡,NO2,32.42
宝鸡,O3,21.67
宝鸡,PM10,110.04
宝鸡,PM2.5,96.08
宝鸡,SO2,6.25
宣城,AQI,57.29
宣城,CO,0.59
宣城,NO2,32.33
宣城,O3,38.67
宣城,PM10,36.88
宣城,PM2.5,41.25
宣城,SO2,4.67
宿州,AQI,74.04
宿州,CO,0.46
宿州,NO2,35.04
宿州,O3,49.25
宿州,PM10,82.96
宿州,PM2.5,52.67
宿州,SO2,5.96
宿迁,AQI,62.0
宿迁,CO,0.57
宿迁,NO2,27.5
宿迁,O3,53.67
宿迁,PM10,71.88
宿迁,PM2.5,41.25
宿迁,SO2,4.25
富阳,AQI,47.33
富阳,CO,0.8
富阳,NO2,33.33
富阳,O3,14.37
富阳,PM10,48.5
富阳,PM2.5,27.83
富阳,SO2,4.33
寿光,AQI,105.5
寿光,CO,1.47
寿光,NO2,46.42
寿光,O3,41.62
寿光,PM10,131.42
寿光,PM2.5,78.38
寿光,SO2,16.46
山南,AQI,29.75
山南,CO,0.54
山南,NO2,14.96
山南,O3,86.88
山南,PM10,23.88
山南,PM2.5,9.21
山南,SO2,6.83
岳阳,AQI,56.75
岳阳,CO,0.75
岳阳,NO2,26.83
岳阳,O3,24.08
岳阳,PM10,56.67
岳阳,PM2.5,40.62
岳阳,SO2,6.88
崇左,AQI,78.12
崇左,CO,0.95
崇左,NO2,19.5
崇左,O3,65.25
崇左,PM10,78.08
崇左,PM2.5,57.46
崇左,SO2,10.58
巴中,AQI,20.5
巴中,CO,0.55
巴中,NO2,22.0
巴中,O3,26.54
巴中,PM10,19.58
巴中,PM2.5,13.04
巴中,SO2,3.38
巴彦淖尔,AQI,88.04
巴彦淖尔,CO,0.96
巴彦淖尔,NO2,30.46
巴彦淖尔,O3,66.83
巴彦淖尔,PM10,107.75
巴彦淖尔,PM2.5,65.12
巴彦淖尔,SO2,19.17
巴音郭楞州,AQI,142.88
巴音郭楞州,CO,0.33
巴音郭楞州,NO2,17.42
巴音郭楞州,O3,79.12
巴音郭楞州,PM10,213.88
巴音郭楞州,PM2.5,57.42
巴音郭楞州,SO2,3.88
常州,AQI,78.96
常州,CO,0.9
常州,NO2,39.88
常州,O3,42.83
常州,PM10,91.71
常州,PM2.5,58.0
常州,SO2,5.88
常德,AQI,83.75
常德,CO,0.79
常德,NO2,20.25
常德,O3,31.67
常德,PM10,50.5
常德,PM2.5,61.92
常德,SO2,8.62
常熟,AQI,45.17
常熟,CO,0.62
常熟,NO2,23.71
常熟,O3,66.71
常熟,PM10,45.04
常熟,PM2.5,30.96
常熟,SO2,6.33
平凉,AQI,78.83
平凉,CO,0.85
平凉,NO2,34.21
平凉,O3,44.38
平凉,PM10,87.54
平凉,PM2.5,56.62
平凉,SO2,9.12
平度,AQI,80.71
平度,CO,1.09
平度,NO2,42.33
平度,O3,52.17
平度,PM10,85.25
平度,PM2.5,59.46
平度,SO2,15.0
平顶山,AQI,99.38
平顶山,CO,0.73
平顶山,NO2,36.42
平顶山,O3,49.54
平顶山,PM10,110.0
平顶山,PM2.5,74.42
平顶山,SO2,9.92
广元,AQI,24.71
广元,CO,0.77
广元,NO2,28.96
广元,O3,29.71
广元,PM10,22.29
广元,PM2.5,14.79
广元,SO2,9.08
广安,AQI,28.88
广安,CO,0.51
广安,NO2,15.83
广安,O3,43.75
广安,PM10,28.75
广安,PM2.5,16.33
广安,SO2,7.54
广州,AQI,43.29
广州,CO,0.91
广州,NO2,41.0
广州,O3,27.79
广州,PM10,46.33
广州,PM2.5,24.88
广州,SO2,8.42
庆阳,AQI,60.71
庆阳,CO,0.79
庆阳,NO2,20.04
庆阳,O3,51.54
庆阳,PM10,51.46
庆阳,PM2.5,43.71
庆阳,SO2,8.88
廊坊,AQI,104.42
廊坊,CO,0.93
廊坊,NO2,57.58
廊坊,O3,43.88
廊坊,PM10,121.54
廊坊,PM2.5,78.42
廊坊,SO2,15.62
延安,AQI,74.08
延安,CO,1.22
延安,NO2,40.29
延安,O3,30.75
延安,PM10,70.38
延安,PM2.5,54.54
延安,SO2,7.46
延边朝鲜族自治州,AQI,35.58
延边朝鲜族自治州,CO,0.74
延边朝鲜族自治州,NO2,16.5
延边朝鲜族自治州,O3,56.38
延边朝鲜族自治州,PM10,33.25
延边朝鲜族自治州,PM2.5,19.29
延边朝鲜族自治州,SO2,11.71
开封,AQI,119.21
开封,CO,0.65
开封,NO2,28.12
开封,O3,64.83
开封,PM10,99.54
开封,PM2.5,90.29
开封,SO2,8.67
张家口,AQI,91.42
张家口,CO,0.98
张家口,NO2,37.17
张家口,O3,60.83
张家口,PM10,104.96
张家口,PM2.5,67.5
张家口,SO2,16.46
张家港,AQI,48.83
张家港,CO,0.69
张家港,NO2,27.71
张家港,O3,54.5
张家港,PM10,50.54
张家港,PM2.5,30.83
张家港,SO2,4.29
张家界,AQI,45.67
张家界,CO,0.56
张家界,NO2,11.04
张家界,O3,36.71
张家界,PM10,40.46
张家界,PM2.5,31.62
张家界,SO2,2.0
张掖,AQI,51.58
张掖,CO,0.46
张掖,NO2,25.88
张掖,O3,57.71
张掖,PM10,55.29
张掖,PM2.5,28.54
张掖,SO2,11.79
徐州,AQI,82.25
徐州,CO,0.81
徐州,NO2,44.46
徐州,O3,44.54
徐州,PM10,102.54
徐州,PM2.5,58.54
徐州,SO2,10.92
德宏州,AQI,68.62
德宏州,CO,0.78
德宏州,NO2,32.29
德宏州,O3,81.92
德宏州,PM10,85.96
德宏州,PM2.5,43.33
德宏州,SO2,7.62
德州,AQI,140.17
德州,CO,1.03
德州,NO2,46.96
德州,O3,55.46
德州,PM10,157.83
德州,PM2.5,106.5
德州,SO2,15.83
德阳,AQI,37.62
德阳,CO,0.6
德阳,NO2,22.71
德阳,O3,29.0
德阳,PM10,36.17
