city,type,value
三亚,AQI,26.92
三亚,CO,0.52
三亚,NO2,14.96
三亚,O3,32.71
三亚,PM10,26.96
三亚,PM2.5,9.04
三亚,SO2,3.29
三门峡,AQI,93.75
三门峡,CO,0.76
三门峡,NO2,21.46
三门峡,O3,128.33
三门峡,PM10,131.96
三门峡,PM2.5,60.0
三门峡,SO2,29.88
上海,AQI,100.58
上海,CO,0.93
上海,NO2,37.71
上海,O3,129.38
上海,PM10,102.42
上海,PM2.5,72.83
上海,SO2,16.21
东莞,AQI,53.92
东莞,CO,0.76
东莞,NO2,36.79
东莞,O3,83.17
东莞,PM10,44.21
东莞,PM2.5,30.42
东莞,SO2,12.17
东营,AQI,83.29
东营,CO,1.09
东营,NO2,27.71
东营,O3,105.88
东营,PM10,102.17
东营,PM2.5,48.5
东营,SO2,59.46
中山,AQI,27.62
中山,CO,0.93
中山,NO2,14.67
中山,O3,47.54
中山,PM10,26.92
中山,PM2.5,16.71
中山,SO2,9.46
临安,AQI,69.58
临安,CO,0.83
临安,NO2,21.38
临安,O3,84.17
临安,PM10,79.46
临安,PM2.5,49.29
临安,SO2,13.08
临汾,AQI,78.08
临汾,CO,2.04
临汾,NO2,25.88
临汾,O3,61.88
临汾,PM10,78.29
临汾,PM2.5,56.92
临汾,SO2,36.96
临沂,AQI,115.71
临沂,CO,1.63
临沂,NO2,57.92
临沂,O3,109.79
临沂,PM10,168.79
临沂,PM2.5,75.46
临沂,SO2,76.29
丹东,AQI,50.62
丹东,CO,1.66
丹东,NO2,21.88
丹东,O3,83.71
丹东,PM10,53.79
丹东,PM2.5,28.67
丹东,SO2,19.17
丽水,AQI,52.46
丽水,CO,0.65
丽水,NO2,25.83
丽水,O3,81.96
丽水,PM10,53.71
丽水,PM2.5,35.29
丽水,SO2,14.54
义乌,AQI,63.92
义乌,CO,0.9
义乌,NO2,30.71
义乌,O3,79.67
义乌,PM10,68.21
义乌,PM2.5,41.0
义乌,SO2,24.5
乌鲁木齐,AQI,92.17
乌鲁木齐,CO,0.84
乌鲁木齐,NO2,56.25
乌鲁木齐,O3,48.04
乌鲁木齐,PM10,133.79
乌鲁木齐,PM2.5,30.58
乌鲁木齐,SO2,21.46
九江,AQI,69.04
九江,CO,0.62
九江,NO2,27.04
九江,O3,36.38
九江,PM10,87.58
九江,PM2.5,34.79
九江,SO2,26.67
乳山,AQI,51.92
乳山,CO,0.59
乳山,NO2,9.0
乳山,O3,104.17
乳山,PM10,49.75
乳山,PM2.5,32.33
乳山,SO2,15.67
云浮,AQI,62.58
云浮,CO,1.05
云浮,NO2,21.42
云浮,O3,67.29
云浮,PM10,67.58
云浮,PM2.5,42.83
云浮,SO2,38.0
佛山,AQI,48.62
佛山,CO,0.94
佛山,NO2,24.12
佛山,O3,80.46
佛山,PM10,48.88
佛山,PM2.5,30.21
佛山,SO2,29.46
保定,AQI,73.5
保定,CO,1.06
保定,NO2,30.54
保定,O3,54.83
保定,PM10,92.39
保定,PM2.5,47.75
保定,SO2,19.67
克拉玛依,AQI,60.0
克拉玛依,CO,1.42
克拉玛依,NO2,30.5
克拉玛依,O3,59.67
克拉玛依,PM10,64.38
克拉玛依,PM2.5,34.75
