city,month,type,value
三亚,201405.csv,AQI,23.76
三亚,201405.csv,CO,0.49
三亚,201405.csv,NO2,9.92
三亚,201405.csv,O3,46.87
三亚,201405.csv,PM10,22.96
三亚,201405.csv,PM2.5,12.62
三亚,201405.csv,SO2,2.13
三门峡,201405.csv,AQI,99.05
三门峡,201405.csv,CO,1.24
三门峡,201405.csv,NO2,29.3
三门峡,201405.csv,O3,62.14
三门峡,201405.csv,PM10,137.56
三门峡,201405.csv,PM2.5,60.79
三门峡,201405.csv,SO2,37.22
上海,201405.csv,AQI,97.13
上海,201405.csv,CO,0.75
上海,201405.csv,NO2,43.61
上海,201405.csv,O3,102.2
上海,201405.csv,PM10,110.07
上海,201405.csv,PM2.5,68.92
上海,201405.csv,SO2,17.24
东莞,201405.csv,AQI,42.22
东莞,201405.csv,CO,0.7
东莞,201405.csv,NO2,37.48
东莞,201405.csv,O3,42.14
东莞,201405.csv,PM10,40.78
东莞,201405.csv,PM2.5,26.46
东莞,201405.csv,SO2,16.8
东营,201405.csv,AQI,128.47
东营,201405.csv,CO,1.1
东营,201405.csv,NO2,45.75
东营,201405.csv,O3,111.33
东营,201405.csv,PM10,194.6
东营,201405.csv,PM2.5,74.86
东营,201405.csv,SO2,82.73
中山,201405.csv,AQI,25.71
中山,201405.csv,CO,0.87
中山,201405.csv,NO2,12.34
中山,201405.csv,O3,30.55
中山,201405.csv,PM10,25.07
中山,201405.csv,PM2.5,14.91
中山,201405.csv,SO2,8.92
临安,201405.csv,AQI,97.74
临安,201405.csv,CO,0.81
临安,201405.csv,NO2,30.72
临安,201405.csv,O3,81.71
临安,201405.csv,PM10,123.69
临安,201405.csv,PM2.5,64.76
临安,201405.csv,SO2,12.49
临汾,201405.csv,AQI,110.37
临汾,201405.csv,CO,2.29
临汾,201405.csv,NO2,38.56
临汾,201405.csv,O3,54.84
临汾,201405.csv,PM10,144.12
临汾,201405.csv,PM2.5,77.25
临汾,201405.csv,SO2,63.14
临沂,201405.csv,AQI,145.79
临沂,201405.csv,CO,1.66
临沂,201405.csv,NO2,69.33
临沂,201405.csv,O3,58.81
临沂,201405.csv,PM10,212.43
临沂,201405.csv,PM2.5,101.76
临沂,201405.csv,SO2,75.66
丹东,201405.csv,AQI,73.05
丹东,201405.csv,CO,1.06
丹东,201405.csv,NO2,27.45
丹东,201405.csv,O3,93.08
丹东,201405.csv,PM10,92.82
丹东,201405.csv,PM2.5,47.3
丹东,201405.csv,SO2,17.55
丽水,201405.csv,AQI,61.05
丽水,201405.csv,CO,0.78
丽水,201405.csv,NO2,32.02
丽水,201405.csv,O3,67.25
丽水,201405.csv,PM10,60.2
丽水,201405.csv,PM2.5,42.56
丽水,201405.csv,SO2,13.72
义乌,201405.csv,AQI,76.0
义乌,201405.csv,CO,1.03
义乌,201405.csv,NO2,41.47
义乌,201405.csv,O3,67.42
义乌,201405.csv,PM10,88.37
义乌,201405.csv,PM2.5,53.77
义乌,201405.csv,SO2,21.35
乌鲁木齐,201405.csv,AQI,88.84
乌鲁木齐,201405.csv,CO,0.61
