city,type,value
三亚,AQI,47.91
三亚,CO,0.49
三亚,NO2,7.13
三亚,O3,95.65
三亚,PM10,49.7
三亚,PM2.5,30.91
三亚,SO2,2.09
三门峡,AQI,87.74
三门峡,CO,1.36
三门峡,NO2,35.65
三门峡,O3,39.96
三门峡,PM10,114.09
三门峡,PM2.5,60.43
三门峡,SO2,32.57
上海,AQI,39.74
上海,CO,0.64
上海,NO2,34.3
上海,O3,77.83
上海,PM10,40.3
上海,PM2.5,16.13
上海,SO2,9.52
东莞,AQI,92.38
东莞,CO,0.82
东莞,NO2,32.08
东莞,O3,141.17
东莞,PM10,87.79
东莞,PM2.5,61.33
东莞,SO2,22.62
东营,AQI,211.83
东营,CO,1.92
东营,NO2,81.78
东营,O3,91.43
东营,PM10,289.87
东营,PM2.5,160.65
东营,SO2,94.7
中山,AQI,74.83
中山,CO,1.37
中山,NO2,33.76
中山,O3,101.38
中山,PM10,82.04
中山,PM2.5,54.57
中山,SO2,15.82
临安,AQI,114.91
临安,CO,1.07
临安,NO2,23.74
临安,O3,148.83
临安,PM10,163.22
临安,PM2.5,76.13
临安,SO2,22.48
临汾,AQI,111.26
临汾,CO,3.11
临汾,NO2,65.09
临汾,O3,39.43
临汾,PM10,132.22
临汾,PM2.5,83.3
临汾,SO2,75.17
临沂,AQI,234.25
临沂,CO,2.2
临沂,NO2,85.96
临沂,O3,53.5
临沂,PM10,332.17
临沂,PM2.5,175.08
临沂,SO2,85.08
丹东,AQI,56.91
丹东,CO,1.07
丹东,NO2,15.0
丹东,O3,68.7
丹东,PM10,63.39
丹东,PM2.5,24.96
丹东,SO2,17.3
丽水,AQI,93.12
丽水,CO,0.68
丽水,NO2,35.17
丽水,O3,86.21
丽水,PM10,105.38
丽水,PM2.5,62.29
丽水,SO2,14.25
义乌,AQI,99.46
义乌,CO,1.1
义乌,NO2,54.58
义乌,O3,114.42
义乌,PM10,131.5
义乌,PM2.5,71.04
义乌,SO2,31.33
乌鲁木齐,AQI,129.0
乌鲁木齐,CO,1.56
乌鲁木齐,NO2,86.13
乌鲁木齐,O3,16.96
乌鲁木齐,PM10,195.3
乌鲁木齐,PM2.5,91.87
乌鲁木齐,SO2,37.43
九江,AQI,130.22
九江,CO,0.88
九江,NO2,59.13
九江,O3,66.91
九江,PM10,200.26
九江,PM2.5,95.35
九江,SO2,66.48
乳山,AQI,68.67
乳山,CO,1.59
乳山,NO2,15.62
乳山,O3,74.83
乳山,PM10,74.38
乳山,PM2.5,43.58
乳山,SO2,18.17
云浮,AQI,116.48
云浮,CO,1.32
云浮,NO2,35.78
云浮,O3,113.96
云浮,PM10,117.22
云浮,PM2.5,85.48
云浮,SO2,23.04
佛山,AQI,129.75
佛山,CO,0.98
佛山,NO2,60.67
佛山,O3,132.17
佛山,PM10,122.79
佛山,PM2.5,96.08
佛山,SO2,30.96
保定,AQI,270.22
保定,CO,2.25
保定,NO2,112.26
保定,O3,52.91
保定,PM10,377.96
保定,PM2.5,202.04
保定,SO2,69.61
克拉玛依,AQI,64.26
克拉玛依,CO,1.04
克拉玛依,NO2,76.35
克拉玛依,O3,53.87
克拉玛依,PM10,77.04
克拉玛依,PM2.5,35.83
克拉玛依,SO2,7.52
兰州,AQI,133.61
兰州,CO,1.34
兰州,NO2,53.17
兰州,O3,28.83
兰州,PM10,137.7
兰州,PM2.5,101.04
兰州,SO2,27.09
包头,AQI,122.57
包头,CO,1.57
包头,NO2,67.26
包头,O3,29.39
包头,PM10,194.7
包头,PM2.5,58.43
包头,SO2,51.26
北京,AQI,200.57
北京,CO,2.11
北京,NO2,121.83
北京,O3,43.43
北京,PM10,239.35
北京,PM2.5,158.04
北京,SO2,18.26
北海,AQI,70.48
北海,CO,1.21
北海,NO2,14.22
北海,O3,150.52
北海,PM10,78.43
北海,PM2.5,44.91
北海,SO2,11.96
南京,AQI,87.83
南京,CO,0.55
南京,NO2,42.17
南京,O3,74.3
南京,PM10,125.0
南京,PM2.5,52.7
南京,SO2,19.91
南充,AQI,61.39
南充,CO,0.76
南充,NO2,30.91
南充,O3,32.83
南充,PM10,64.48
南充,PM2.5,43.0
南充,SO2,25.22
南宁,AQI,107.48
南宁,CO,1.1
南宁,NO2,57.04
南宁,O3,83.61
南宁,PM10,145.52
南宁,PM2.5,80.26
南宁,SO2,15.96
南昌,AQI,108.35
南昌,CO,1.08
南昌,NO2,54.83
南昌,O3,98.61
南昌,PM10,127.61
南昌,PM2.5,81.57
南昌,SO2,47.74
南通,AQI,55.65
南通,CO,0.42
南通,NO2,39.83
南通,O3,66.0
南通,PM10,61.09
南通,PM2.5,26.83
南通,SO2,26.57
即墨,AQI,98.13
即墨,CO,0.91
即墨,NO2,37.35
即墨,O3,110.52
即墨,PM10,140.3
即墨,PM2.5,63.17
即墨,SO2,27.57
厦门,AQI,68.96
厦门,CO,0.81
厦门,NO2,25.52
厦门,O3,85.22
厦门,PM10,77.87
厦门,PM2.5,47.61
厦门,SO2,11.0
句容,AQI,65.43
句容,CO,0.61
句容,NO2,29.13
句容,O3,64.87
句容,PM10,65.43
句容,PM2.5,37.3
句容,SO2,26.87
台州,AQI,58.25
台州,CO,0.64
台州,NO2,28.08
台州,O3,58.96
台州,PM10,69.83
台州,PM2.5,32.88
台州,SO2,7.17
合肥,AQI,183.17
合肥,CO,1.49
合肥,NO2,42.65
合肥,O3,30.87
合肥,PM10,232.26
合肥,PM2.5,140.3
合肥,SO2,26.57
吉林,AQI,172.26
吉林,CO,1.26
吉林,NO2,58.61
吉林,O3,71.87
吉林,PM10,198.83
吉林,PM2.5,133.87
吉林,SO2,19.09
吴江,AQI,48.87
吴江,CO,0.34
吴江,NO2,31.26
吴江,O3,58.83
吴江,PM10,50.0
吴江,PM2.5,16.0
吴江,SO2,8.22
呼和浩特,AQI,114.57
呼和浩特,CO,1.57
呼和浩特,NO2,66.91
呼和浩特,O3,23.7
呼和浩特,PM10,178.0
呼和浩特,PM2.5,52.57
