city,type,value
三亚,AQI,23.86
三亚,CO,0.56
三亚,NO2,12.33
三亚,O3,43.24
三亚,PM10,23.86
三亚,PM2.5,11.95
三亚,SO2,2.0
三门峡,AQI,72.04
三门峡,CO,1.23
三门峡,NO2,19.67
三门峡,O3,98.21
三门峡,PM10,85.12
三门峡,PM2.5,44.54
三门峡,SO2,39.04
上海,AQI,64.95
上海,CO,0.75
上海,NO2,37.76
上海,O3,93.05
上海,PM10,62.2
上海,PM2.5,46.52
上海,SO2,14.62
东莞,AQI,29.71
东莞,CO,0.53
东莞,NO2,20.42
东莞,O3,49.33
东莞,PM10,28.38
东莞,PM2.5,14.88
东莞,SO2,12.17
东营,AQI,91.14
东营,CO,1.39
东营,NO2,43.48
东营,O3,95.9
东营,PM10,131.14
东营,PM2.5,60.24
东营,SO2,56.19
中山,AQI,22.38
中山,CO,0.62
中山,NO2,10.14
中山,O3,48.41
中山,PM10,22.04
中山,PM2.5,11.42
中山,SO2,8.77
临安,AQI,113.55
临安,CO,0.97
临安,NO2,25.23
临安,O3,73.5
临安,PM10,125.68
临安,PM2.5,76.82
临安,SO2,8.27
临汾,AQI,57.46
临汾,CO,1.28
临汾,NO2,27.92
临汾,O3,64.33
临汾,PM10,52.44
临汾,PM2.5,40.88
临汾,SO2,31.62
临沂,AQI,83.08
临沂,CO,1.33
临沂,NO2,41.17
临沂,O3,91.62
临沂,PM10,114.54
临沂,PM2.5,55.21
临沂,SO2,28.58
丹东,AQI,46.0
丹东,CO,1.5
丹东,NO2,21.81
丹东,O3,68.57
丹东,PM10,45.38
丹东,PM2.5,27.95
丹东,SO2,16.9
丽水,AQI,43.58
丽水,CO,0.68
丽水,NO2,30.0
丽水,O3,47.58
丽水,PM10,45.75
丽水,PM2.5,23.58
丽水,SO2,13.75
义乌,AQI,88.46
义乌,CO,1.2
义乌,NO2,35.79
义乌,O3,69.08
义乌,PM10,97.83
义乌,PM2.5,65.67
义乌,SO2,16.17
乌鲁木齐,AQI,86.17
乌鲁木齐,CO,0.54
乌鲁木齐,NO2,40.83
乌鲁木齐,O3,65.96
乌鲁木齐,PM10,121.71
乌鲁木齐,PM2.5,28.96
乌鲁木齐,SO2,13.92
九江,AQI,43.38
九江,CO,0.6
九江,NO2,19.08
九江,O3,18.88
九江,PM10,43.17
九江,PM2.5,24.96
九江,SO2,17.29
乳山,AQI,51.58
乳山,CO,0.76
乳山,NO2,8.21
乳山,O3,75.5
乳山,PM10,47.0
乳山,PM2.5,34.29
乳山,SO2,11.92
云浮,AQI,17.42
云浮,CO,0.77
云浮,NO2,6.75
云浮,O3,44.08
云浮,PM10,14.92
云浮,PM2.5,6.46
云浮,SO2,7.38
佛山,AQI,40.38
佛山,CO,0.58
佛山,NO2,20.75
佛山,O3,56.79
佛山,PM10,40.46
佛山,PM2.5,22.62
佛山,SO2,18.12
保定,AQI,164.42
保定,CO,1.56
保定,NO2,29.08
保定,O3,72.04
保定,PM10,164.83
保定,PM2.5,126.79
保定,SO2,30.54
克拉玛依,AQI,44.42
克拉玛依,CO,1.97
克拉玛依,NO2,14.17
克拉玛依,O3,95.42
克拉玛依,PM10,44.46
克拉玛依,PM2.5,12.67
克拉玛依,SO2,4.08
兰州,AQI,90.0
兰州,CO,1.43
兰州,NO2,63.0
兰州,O3,60.83
兰州,PM10,124.12
兰州,PM2.5,59.12
兰州,SO2,25.21
包头,AQI,72.04
包头,CO,0.79
包头,NO2,48.08
包头,O3,85.71
包头,PM10,92.46
包头,PM2.5,32.38
包头,SO2,25.88
北京,AQI,240.37
北京,CO,1.28
北京,NO2,41.74
北京,O3,106.37
北京,PM10,217.5
北京,PM2.5,190.63
北京,SO2,4.84
北海,AQI,37.0
北海,CO,1.04
北海,NO2,5.32
北海,O3,62.55
北海,PM10,35.55
北海,PM2.5,12.27
北海,SO2,11.23
南京,AQI,154.29
南京,CO,1.1
南京,NO2,54.12
南京,O3,63.29
南京,PM10,146.62
南京,PM2.5,116.33
南京,SO2,18.5
南充,AQI,68.61
南充,CO,0.95
南充,NO2,27.43
南充,O3,33.43
南充,PM10,70.13
南充,PM2.5,49.61
南充,SO2,22.48
南宁,AQI,39.95
南宁,CO,0.81
南宁,NO2,18.91
南宁,O3,39.55
南宁,PM10,40.5
南宁,PM2.5,17.18
南宁,SO2,9.05
南昌,AQI,56.92
南昌,CO,1.15
南昌,NO2,31.96
南昌,O3,37.96
南昌,PM10,63.79
南昌,PM2.5,29.79
南昌,SO2,20.71
南通,AQI,55.54
南通,CO,0.69
南通,NO2,25.08
南通,O3,81.42
南通,PM10,54.0
南通,PM2.5,39.12
南通,SO2,22.79
即墨,AQI,53.52
即墨,CO,0.63
即墨,NO2,33.35
即墨,O3,106.74
即墨,PM10,59.26
即墨,PM2.5,32.3
即墨,SO2,20.96
厦门,AQI,48.29
厦门,CO,0.55
厦门,NO2,34.14
厦门,O3,59.1
厦门,PM10,50.81
厦门,PM2.5,26.71
厦门,SO2,18.67
句容,AQI,123.58
句容,CO,1.05
句容,NO2,43.96
句容,O3,52.62
句容,PM10,91.29
句容,PM2.5,93.46
句容,SO2,20.58
台州,AQI,80.88
台州,CO,1.08
台州,NO2,18.25
台州,O3,82.33
台州,PM10,80.88
台州,PM2.5,59.58
台州,SO2,5.92
合肥,AQI,136.76
合肥,CO,1.31
合肥,NO2,21.81
合肥,O3,36.1
合肥,PM10,127.62
合肥,PM2.5,102.0
合肥,SO2,12.33
吉林,AQI,90.62
吉林,CO,1.34
吉林,NO2,32.1
吉林,O3,81.05
吉林,PM10,91.67
吉林,PM2.5,67.33
吉林,SO2,5.95
吴江,AQI,97.38
吴江,CO,0.69
吴江,NO2,27.14
吴江,O3,98.86
吴江,PM10,97.14
吴江,PM2.5,72.95
吴江,SO2,9.62
呼和浩特,AQI,61.25
呼和浩特,CO,0.48
呼和浩特,NO2,35.17
呼和浩特,O3,90.88
呼和浩特,PM10,69.67
呼和浩特,PM2.5,15.25
呼和浩特,SO2,15.08
咸阳,AQI,60.48
咸阳,CO,0.83
咸阳,NO2,37.57
咸阳,O3,36.89
咸阳,PM10,73.26
咸阳,PM2.5,21.17
咸阳,SO2,10.61
