city,month,type,value
七台河,201901.csv,AQI,73.81
七台河,201901.csv,CO,0.8
七台河,201901.csv,NO2,48.25
七台河,201901.csv,O3,41.34
七台河,201901.csv,PM10,99.52
七台河,201901.csv,PM2.5,41.41
七台河,201901.csv,SO2,15.12
三亚,201901.csv,AQI,28.61
三亚,201901.csv,CO,0.65
三亚,201901.csv,NO2,8.2
三亚,201901.csv,O3,74.98
三亚,201901.csv,PM10,25.77
三亚,201901.csv,PM2.5,15.14
三亚,201901.csv,SO2,4.58
三明,201901.csv,AQI,41.93
三明,201901.csv,CO,1.09
三明,201901.csv,NO2,25.35
三明,201901.csv,O3,23.6
三明,201901.csv,PM10,41.78
三明,201901.csv,PM2.5,27.45
三明,201901.csv,SO2,8.62
三门峡,201901.csv,AQI,169.94
三门峡,201901.csv,CO,1.61
三门峡,201901.csv,NO2,56.08
三门峡,201901.csv,O3,21.35
三门峡,201901.csv,PM10,172.89
三门峡,201901.csv,PM2.5,130.31
三门峡,201901.csv,SO2,20.11
上海,201901.csv,AQI,69.76
上海,201901.csv,CO,0.78
上海,201901.csv,NO2,56.91
上海,201901.csv,O3,41.3
上海,201901.csv,PM10,61.51
上海,201901.csv,PM2.5,48.86
上海,201901.csv,SO2,8.81
上饶,201901.csv,AQI,63.01
上饶,201901.csv,CO,1.15
上饶,201901.csv,NO2,36.36
上饶,201901.csv,O3,24.86
上饶,201901.csv,PM10,76.27
上饶,201901.csv,PM2.5,43.16
上饶,201901.csv,SO2,15.06
东莞,201901.csv,AQI,69.07
东莞,201901.csv,CO,1.12
东莞,201901.csv,NO2,46.49
东莞,201901.csv,O3,39.5
东莞,201901.csv,PM10,64.61
东莞,201901.csv,PM2.5,50.43
东莞,201901.csv,SO2,10.17
东营,201901.csv,AQI,123.64
东营,201901.csv,CO,1.11
东营,201901.csv,NO2,53.41
东营,201901.csv,O3,28.1
东营,201901.csv,PM10,140.41
东营,201901.csv,PM2.5,89.32
东营,201901.csv,SO2,26.05
中卫,201901.csv,AQI,73.3
中卫,201901.csv,CO,0.94
中卫,201901.csv,NO2,30.67
中卫,201901.csv,O3,46.83
中卫,201901.csv,PM10,81.07
中卫,201901.csv,PM2.5,45.81
中卫,201901.csv,SO2,18.7
中山,201901.csv,AQI,76.29
中山,201901.csv,CO,1.12
中山,201901.csv,NO2,58.35
中山,201901.csv,O3,33.53
中山,201901.csv,PM10,72.49
中山,201901.csv,PM2.5,55.47
中山,201901.csv,SO2,8.5
临夏州,201901.csv,AQI,77.78
临夏州,201901.csv,CO,1.6
临夏州,201901.csv,NO2,31.29
临夏州,201901.csv,O3,43.18
临夏州,201901.csv,PM10,91.79
临夏州,201901.csv,PM2.5,52.8
临夏州,201901.csv,SO2,34.76
临安,201901.csv,AQI,83.88
临安,201901.csv,CO,1.3
临安,201901.csv,NO2,21.41
临安,201901.csv,O3,9.04
临安,201901.csv,PM10,94.7
临安,201901.csv,PM2.5,60.16
临安,201901.csv,SO2,2.73
临汾,201901.csv,AQI,207.65
临汾,201901.csv,CO,3.12
临汾,201901.csv,NO2,69.54
临汾,201901.csv,O3,18.73
临汾,201901.csv,PM10,231.2
临汾,201901.csv,PM2.5,166.99
临汾,201901.csv,SO2,110.8
临沂,201901.csv,AQI,156.95
临沂,201901.csv,CO,1.54
临沂,201901.csv,NO2,62.07
临沂,201901.csv,O3,27.21
临沂,201901.csv,PM10,195.43
临沂,201901.csv,PM2.5,115.22
临沂,201901.csv,SO2,39.81
临沧,201901.csv,AQI,54.49
临沧,201901.csv,CO,0.9
临沧,201901.csv,NO2,16.41
临沧,201901.csv,O3,40.77
临沧,201901.csv,PM10,52.72
临沧,201901.csv,PM2.5,36.61
临沧,201901.csv,SO2,12.12
丹东,201901.csv,AQI,82.6
丹东,201901.csv,CO,1.37
丹东,201901.csv,NO2,32.6
丹东,201901.csv,O3,35.17
丹东,201901.csv,PM10,88.29
丹东,201901.csv,PM2.5,56.16
丹东,201901.csv,SO2,34.53
丽水,201901.csv,AQI,56.41
丽水,201901.csv,CO,0.91
丽水,201901.csv,NO2,30.29
丽水,201901.csv,O3,30.07
丽水,201901.csv,PM10,55.88
丽水,201901.csv,PM2.5,38.84
丽水,201901.csv,SO2,6.88
丽江,201901.csv,AQI,31.21
丽江,201901.csv,CO,0.63
丽江,201901.csv,NO2,11.4
丽江,201901.csv,O3,63.23
丽江,201901.csv,PM10,29.84
丽江,201901.csv,PM2.5,12.79
丽江,201901.csv,SO2,6.03
义乌,201901.csv,AQI,49.34
义乌,201901.csv,CO,0.99
义乌,201901.csv,NO2,51.85
义乌,201901.csv,O3,27.98
义乌,201901.csv,PM10,297.83
义乌,201901.csv,PM2.5,127.8
义乌,201901.csv,SO2,8.01
乌兰察布,201901.csv,AQI,54.45
乌兰察布,201901.csv,CO,0.76
乌兰察布,201901.csv,NO2,36.45
乌兰察布,201901.csv,O3,36.4
乌兰察布,201901.csv,PM10,54.87
乌兰察布,201901.csv,PM2.5,35.7
乌兰察布,201901.csv,SO2,29.31
乌海,201901.csv,AQI,74.04
乌海,201901.csv,CO,1.07
乌海,201901.csv,NO2,37.02
乌海,201901.csv,O3,38.13
乌海,201901.csv,PM10,96.98
乌海,201901.csv,PM2.5,40.92
乌海,201901.csv,SO2,35.5
乌鲁木齐,201901.csv,AQI,165.1
乌鲁木齐,201901.csv,CO,2.1
乌鲁木齐,201901.csv,NO2,64.3
乌鲁木齐,201901.csv,O3,25.39
乌鲁木齐,201901.csv,PM10,151.49
乌鲁木齐,201901.csv,PM2.5,126.95
乌鲁木齐,201901.csv,SO2,9.95
乐山,201901.csv,AQI,131.27
乐山,201901.csv,CO,1.24
乐山,201901.csv,NO2,41.43
乐山,201901.csv,O3,19.7
乐山,201901.csv,PM10,123.92
乐山,201901.csv,PM2.5,99.28
乐山,201901.csv,SO2,8.03
九江,201901.csv,AQI,112.14
九江,201901.csv,CO,0.81
九江,201901.csv,NO2,35.71
九江,201901.csv,O3,28.13
九江,201901.csv,PM10,97.78
九江,201901.csv,PM2.5,83.98
九江,201901.csv,SO2,11.28
乳山,201901.csv,AQI,74.8
乳山,201901.csv,CO,1.54
乳山,201901.csv,NO2,38.27
乳山,201901.csv,O3,47.66
乳山,201901.csv,PM10,94.55
乳山,201901.csv,PM2.5,45.06
乳山,201901.csv,SO2,12.62
云浮,201901.csv,AQI,59.74
云浮,201901.csv,CO,1.02
云浮,201901.csv,NO2,39.36
云浮,201901.csv,O3,26.8
云浮,201901.csv,PM10,62.68
云浮,201901.csv,PM2.5,41.4
云浮,201901.csv,SO2,17.86
五家渠,201901.csv,AQI,222.91
五家渠,201901.csv,CO,2.32
