city,month,type,value
七台河,202501.csv,AQI,94.67
七台河,202501.csv,CO,0.91
七台河,202501.csv,NO2,40.6
七台河,202501.csv,O3,40.38
七台河,202501.csv,PM10,94.85
七台河,202501.csv,PM2.5,70.14
七台河,202501.csv,SO2,10.47
三亚,202501.csv,AQI,41.35
三亚,202501.csv,CO,0.51
三亚,202501.csv,NO2,9.21
三亚,202501.csv,O3,104.07
三亚,202501.csv,PM10,40.71
三亚,202501.csv,PM2.5,21.64
三亚,202501.csv,SO2,3.63
三明,202501.csv,AQI,46.53
三明,202501.csv,CO,0.71
三明,202501.csv,NO2,22.45
三明,202501.csv,O3,56.35
三明,202501.csv,PM10,44.86
三明,202501.csv,PM2.5,30.69
三明,202501.csv,SO2,5.04
三门峡,202501.csv,AQI,91.78
三门峡,202501.csv,CO,0.93
三门峡,202501.csv,NO2,37.17
三门峡,202501.csv,O3,43.1
三门峡,202501.csv,PM10,98.21
三门峡,202501.csv,PM2.5,62.92
三门峡,202501.csv,SO2,11.45
上海,202501.csv,AQI,62.32
上海,202501.csv,CO,0.74
上海,202501.csv,NO2,45.17
上海,202501.csv,O3,55.3
上海,202501.csv,PM10,67.1
上海,202501.csv,PM2.5,41.38
上海,202501.csv,SO2,8.5
上饶,202501.csv,AQI,65.0
上饶,202501.csv,CO,0.84
上饶,202501.csv,NO2,28.99
上饶,202501.csv,O3,56.85
上饶,202501.csv,PM10,74.42
上饶,202501.csv,PM2.5,42.69
上饶,202501.csv,SO2,13.36
东莞,202501.csv,AQI,52.71
东莞,202501.csv,CO,0.67
东莞,202501.csv,NO2,33.5
东莞,202501.csv,O3,78.4
东莞,202501.csv,PM10,58.06
东莞,202501.csv,PM2.5,32.88
东莞,202501.csv,SO2,7.69
东营,202501.csv,AQI,67.32
东营,202501.csv,CO,0.75
东营,202501.csv,NO2,38.48
东营,202501.csv,O3,42.44
东营,202501.csv,PM10,74.5
东营,202501.csv,PM2.5,42.97
东营,202501.csv,SO2,12.07
中卫,202501.csv,AQI,91.04
中卫,202501.csv,CO,0.59
中卫,202501.csv,NO2,26.92
中卫,202501.csv,O3,51.07
中卫,202501.csv,PM10,137.54
中卫,202501.csv,PM2.5,45.52
中卫,202501.csv,SO2,13.27
中山,202501.csv,AQI,55.99
中山,202501.csv,CO,0.52
中山,202501.csv,NO2,38.71
中山,202501.csv,O3,75.54
中山,202501.csv,PM10,59.13
中山,202501.csv,PM2.5,36.67
中山,202501.csv,SO2,5.57
临夏回族自治州,202501.csv,AQI,83.62
临夏回族自治州,202501.csv,CO,1.41
临夏回族自治州,202501.csv,NO2,26.44
临夏回族自治州,202501.csv,O3,45.16
临夏回族自治州,202501.csv,PM10,109.49
临夏回族自治州,202501.csv,PM2.5,50.18
