city,type,value
七台河,AQI,68.29
七台河,CO,0.7
七台河,NO2,22.29
七台河,O3,70.79
七台河,PM10,69.25
七台河,PM2.5,45.5
七台河,SO2,10.92
三亚,AQI,26.88
三亚,CO,0.35
三亚,NO2,8.17
三亚,O3,56.12
三亚,PM10,26.29
三亚,PM2.5,12.29
三亚,SO2,3.38
三明,AQI,79.46
三明,CO,1.61
三明,NO2,35.25
三明,O3,80.71
三明,PM10,75.42
三明,PM2.5,58.38
三明,SO2,11.33
三门峡,AQI,190.79
三门峡,CO,0.56
三门峡,NO2,19.54
三门峡,O3,108.96
三门峡,PM10,310.17
三门峡,PM2.5,99.96
三门峡,SO2,11.25
上海,AQI,84.79
上海,CO,0.82
上海,NO2,49.38
上海,O3,124.0
上海,PM10,92.38
上海,PM2.5,54.67
上海,SO2,9.83
上饶,AQI,69.21
上饶,CO,0.92
上饶,NO2,33.62
上饶,O3,98.29
上饶,PM10,75.75
上饶,PM2.5,47.29
上饶,SO2,23.67
东莞,AQI,38.88
东莞,CO,0.54
东莞,NO2,13.46
东莞,O3,90.67
东莞,PM10,37.96
东莞,PM2.5,16.67
东莞,SO2,6.79
东营,AQI,106.58
东营,CO,0.64
东营,NO2,24.21
东营,O3,87.0
东营,PM10,162.71
东营,PM2.5,28.92
东营,SO2,7.38
中卫,AQI,405.25
中卫,CO,0.28
中卫,NO2,3.29
中卫,O3,101.54
中卫,PM10,948.96
中卫,PM2.5,244.54
中卫,SO2,6.42
中山,AQI,33.29
中山,CO,0.52
中山,NO2,10.46
中山,O3,86.33
中山,PM10,33.0
中山,PM2.5,18.33
中山,SO2,5.71
临汾,AQI,241.71
临汾,CO,0.57
临汾,NO2,20.0
临汾,O3,76.08
临汾,PM10,345.88
临汾,PM2.5,78.54
临汾,SO2,6.96
临沂,AQI,88.0
临沂,CO,0.57
临沂,NO2,21.46
临沂,O3,129.71
临沂,PM10,118.88
临沂,PM2.5,37.0
临沂,SO2,11.17
临沧,AQI,54.08
临沧,CO,0.48
临沧,NO2,14.71
临沧,O3,96.83
临沧,PM10,46.38
临沧,PM2.5,35.5
临沧,SO2,8.21
丹东,AQI,95.38
丹东,CO,0.85
丹东,NO2,24.12
丹东,O3,73.58
丹东,PM10,121.88
丹东,PM2.5,58.5
丹东,SO2,10.38
丽水,AQI,77.04
丽水,CO,0.82
丽水,NO2,35.75
丽水,O3,71.38
丽水,PM10,80.88
丽水,PM2.5,55.79
丽水,SO2,5.04
丽江,AQI,29.08
丽江,CO,0.52
丽江,NO2,12.75
丽江,O3,93.0
丽江,PM10,19.46
丽江,PM2.5,11.25
丽江,SO2,8.29
乌兰察布,AQI,130.62
乌兰察布,CO,0.33
乌兰察布,NO2,10.88
乌兰察布,O3,81.67
乌兰察布,PM10,188.62
乌兰察布,PM2.5,43.25
乌兰察布,SO2,10.5
乌海,AQI,475.75
乌海,CO,0.34
乌海,NO2,3.46
乌海,O3,99.5
乌海,PM10,1349.12
乌海,PM2.5,272.96
乌海,SO2,9.12
乌鲁木齐,AQI,51.62
乌鲁木齐,CO,0.32
乌鲁木齐,NO2,9.83
乌鲁木齐,O3,72.21
乌鲁木齐,PM10,58.17
乌鲁木齐,PM2.5,12.96
乌鲁木齐,SO2,3.79
乐山,AQI,87.17
乐山,CO,0.74
乐山,NO2,35.83
乐山,O3,107.17
乐山,PM10,79.5
乐山,PM2.5,54.33
乐山,SO2,8.83
九江,AQI,78.75
九江,CO,0.81
九江,NO2,34.75
九江,O3,126.08
九江,PM10,86.38
九江,PM2.5,54.0
九江,SO2,11.58
云浮,AQI,52.75
云浮,CO,0.55
云浮,NO2,22.12
云浮,O3,94.21
云浮,PM10,54.96
云浮,PM2.5,32.21
云浮,SO2,7.62
五家渠,AQI,46.58
五家渠,CO,0.38
五家渠,NO2,2.71
五家渠,O3,63.88
五家渠,PM10,50.54
五家渠,PM2.5,10.21
五家渠,SO2,6.04
亳州,AQI,73.54
亳州,CO,0.49
亳州,NO2,11.5
亳州,O3,132.54
亳州,PM10,94.08
亳州,PM2.5,43.21
亳州,SO2,6.62
伊春,AQI,24.54
伊春,CO,0.69
伊春,NO2,7.54
伊春,O3,68.17
伊春,PM10,21.75
伊春,PM2.5,10.83
伊春,SO2,4.58
伊犁哈萨克州,AQI,28.33
伊犁哈萨克州,CO,0.49
伊犁哈萨克州,NO2,9.0
伊犁哈萨克州,O3,75.67
伊犁哈萨克州,PM10,26.04
伊犁哈萨克州,PM2.5,11.62
伊犁哈萨克州,SO2,6.83
佛山,AQI,46.33
佛山,CO,0.52
佛山,NO2,23.29
佛山,O3,87.21
佛山,PM10,47.08
佛山,PM2.5,23.92
佛山,SO2,5.88
佳木斯,AQI,46.0
佳木斯,CO,0.45
佳木斯,NO2,19.42
佳木斯,O3,60.42
佳木斯,PM10,44.75
佳木斯,PM2.5,28.83
佳木斯,SO2,5.5
保定,AQI,78.75
保定,CO,0.38
保定,NO2,26.29
保定,O3,78.08
保定,PM10,106.96
保定,PM2.5,39.08
保定,SO2,5.08
保山,AQI,38.46
保山,CO,0.38
保山,NO2,9.17
保山,O3,105.29
保山,PM10,34.58
保山,PM2.5,22.12
保山,SO2,4.83
信阳,AQI,71.17
信阳,CO,0.67
信阳,NO2,10.5
信阳,O3,163.42
信阳,PM10,62.67
信阳,PM2.5,48.25
信阳,SO2,8.38
儋州,AQI,46.21
