city,type,value
七台河,AQI,44.25
七台河,CO,0.29
七台河,NO2,22.38
七台河,O3,68.0
七台河,PM10,42.64
七台河,PM2.5,29.42
七台河,SO2,10.12
三亚,AQI,38.17
三亚,CO,0.47
三亚,NO2,5.88
三亚,O3,91.5
三亚,PM10,35.0
三亚,PM2.5,14.21
三亚,SO2,3.04
三明,AQI,30.83
三明,CO,0.44
三明,NO2,11.29
三明,O3,56.04
三明,PM10,30.29
三明,PM2.5,16.25
三明,SO2,3.25
三门峡,AQI,47.88
三门峡,CO,0.69
三门峡,NO2,23.29
三门峡,O3,47.46
三门峡,PM10,48.88
三门峡,PM2.5,30.75
三门峡,SO2,9.25
上海,AQI,41.79
上海,CO,0.8
上海,NO2,30.83
上海,O3,57.46
上海,PM10,41.62
上海,PM2.5,26.29
上海,SO2,9.17
上饶,AQI,33.5
上饶,CO,0.49
上饶,NO2,12.79
上饶,O3,62.54
上饶,PM10,32.92
上饶,PM2.5,16.25
上饶,SO2,8.92
东莞,AQI,38.67
东莞,CO,0.4
东莞,NO2,11.67
东莞,O3,76.75
东莞,PM10,38.42
东莞,PM2.5,14.42
东莞,SO2,7.08
东营,AQI,44.88
东营,CO,0.68
东营,NO2,36.92
东营,O3,44.71
东营,PM10,45.54
东营,PM2.5,26.96
东营,SO2,11.54
中卫,AQI,67.17
中卫,CO,0.6
中卫,NO2,32.33
中卫,O3,50.71
中卫,PM10,83.79
中卫,PM2.5,39.79
中卫,SO2,12.12
中山,AQI,42.67
中山,CO,0.34
中山,NO2,19.42
中山,O3,70.71
中山,PM10,43.54
中山,PM2.5,17.5
中山,SO2,4.88
临夏回族自治州,AQI,79.0
临夏回族自治州,CO,1.28
临夏回族自治州,NO2,19.67
临夏回族自治州,O3,57.83
临夏回族自治州,PM10,107.54
临夏回族自治州,PM2.5,25.62
临夏回族自治州,SO2,18.42
临汾,AQI,54.67
临汾,CO,1.08
临汾,NO2,29.04
临汾,O3,36.79
临汾,PM10,60.33
临汾,PM2.5,33.88
临汾,SO2,9.0
临沂,AQI,48.29
临沂,CO,0.66
临沂,NO2,32.0
临沂,O3,51.5
临沂,PM10,50.42
临沂,PM2.5,31.04
临沂,SO2,17.42
临沧,AQI,49.21
临沧,CO,0.59
临沧,NO2,14.25
临沧,O3,65.92
临沧,PM10,45.38
临沧,PM2.5,33.46
临沧,SO2,10.75
丹东,AQI,36.88
丹东,CO,0.8
丹东,NO2,16.62
丹东,O3,64.54
丹东,PM10,35.83
丹东,PM2.5,21.92
丹东,SO2,10.04
丽水,AQI,28.29
丽水,CO,0.37
丽水,NO2,8.33
丽水,O3,69.25
丽水,PM10,26.0
丽水,PM2.5,17.75
丽水,SO2,5.62
丽江,AQI,26.21
丽江,CO,0.54
丽江,NO2,9.58
丽江,O3,80.54
丽江,PM10,18.83
丽江,PM2.5,12.46
丽江,SO2,8.33
乌兰察布,AQI,35.17
乌兰察布,CO,0.66
乌兰察布,NO2,27.29
乌兰察布,O3,44.17
乌兰察布,PM10,33.75
乌兰察布,PM2.5,20.96
乌兰察布,SO2,13.96
乌海,AQI,61.46
乌海,CO,1.02
乌海,NO2,24.88
乌海,O3,50.67
乌海,PM10,73.0
乌海,PM2.5,28.83
乌海,SO2,22.46
乌鲁木齐,AQI,213.29
乌鲁木齐,CO,1.61
乌鲁木齐,NO2,77.38
乌鲁木齐,O3,33.92
乌鲁木齐,PM10,205.46
乌鲁木齐,PM2.5,166.54
乌鲁木齐,SO2,3.88
乐山,AQI,42.33
乐山,CO,0.45
乐山,NO2,16.83
乐山,O3,27.83
乐山,PM10,38.5
乐山,PM2.5,29.67
乐山,SO2,4.88
九江,AQI,34.83
九江,CO,0.53
九江,NO2,21.29
九江,O3,69.08
九江,PM10,32.88
九江,PM2.5,23.92
九江,SO2,9.71
云浮,AQI,53.08
云浮,CO,0.36
云浮,NO2,11.71
云浮,O3,74.12
云浮,PM10,56.25
云浮,PM2.5,18.0
云浮,SO2,9.04
五家渠,AQI,251.08
五家渠,CO,1.73
五家渠,NO2,61.29
五家渠,O3,39.96
五家渠,PM10,245.88
五家渠,PM2.5,202.38
五家渠,SO2,5.83
亳州,AQI,54.96
亳州,CO,0.33
亳州,NO2,17.5
亳州,O3,64.88
亳州,PM10,59.04
亳州,PM2.5,33.79
