city,type,value
七台河,AQI,53.5
七台河,CO,0.34
七台河,NO2,15.67
七台河,O3,59.33
七台河,PM10,47.08
七台河,PM2.5,37.75
七台河,SO2,10.33
三亚,AQI,36.83
三亚,CO,0.39
三亚,NO2,3.79
三亚,O3,84.54
三亚,PM10,37.0
三亚,PM2.5,17.0
三亚,SO2,3.21
三明,AQI,44.67
三明,CO,0.4
三明,NO2,8.79
三明,O3,64.79
三明,PM10,39.5
三明,PM2.5,31.21
三明,SO2,5.83
三门峡,AQI,171.5
三门峡,CO,1.11
三门峡,NO2,17.58
三门峡,O3,63.62
三门峡,PM10,163.42
三门峡,PM2.5,131.0
三门峡,SO2,9.71
上海,AQI,45.38
上海,CO,0.65
上海,NO2,17.25
上海,O3,92.88
上海,PM10,45.17
上海,PM2.5,28.21
上海,SO2,7.71
上饶,AQI,58.96
上饶,CO,0.85
上饶,NO2,4.92
上饶,O3,81.08
上饶,PM10,63.38
上饶,PM2.5,38.54
上饶,SO2,8.75
东莞,AQI,44.96
东莞,CO,0.49
东莞,NO2,8.25
东莞,O3,88.5
东莞,PM10,45.25
东莞,PM2.5,29.17
东莞,SO2,7.58
东营,AQI,66.46
东营,CO,0.82
东营,NO2,14.88
东营,O3,61.21
东营,PM10,66.04
东营,PM2.5,47.88
东营,SO2,8.62
中卫,AQI,74.29
中卫,CO,0.52
中卫,NO2,18.0
中卫,O3,61.33
中卫,PM10,73.92
中卫,PM2.5,50.38
中卫,SO2,12.83
中山,AQI,35.04
中山,CO,0.26
中山,NO2,14.54
中山,O3,77.04
中山,PM10,34.62
中山,PM2.5,22.46
中山,SO2,4.38
临夏回族自治州,AQI,79.96
临夏回族自治州,CO,1.5
临夏回族自治州,NO2,17.92
临夏回族自治州,O3,59.5
临夏回族自治州,PM10,109.29
临夏回族自治州,PM2.5,33.75
临夏回族自治州,SO2,19.92
临汾,AQI,110.38
临汾,CO,1.18
临汾,NO2,19.54
临汾,O3,54.54
临汾,PM10,129.08
临汾,PM2.5,82.96
临汾,SO2,14.33
临沂,AQI,88.0
临沂,CO,0.87
临沂,NO2,13.29
临沂,O3,76.54
临沂,PM10,82.62
临沂,PM2.5,65.29
临沂,SO2,18.29
临沧,AQI,49.42
临沧,CO,0.57
临沧,NO2,9.79
临沧,O3,46.92
临沧,PM10,37.47
临沧,PM2.5,34.79
临沧,SO2,7.62
丹东,AQI,71.96
丹东,CO,1.0
丹东,NO2,17.67
丹东,O3,59.79
丹东,PM10,58.17
丹东,PM2.5,52.25
丹东,SO2,17.04
丽水,AQI,38.08
丽水,CO,0.34
丽水,NO2,5.62
丽水,O3,87.17
丽水,PM10,37.42
丽水,PM2.5,24.92
丽水,SO2,5.04
丽江,AQI,25.75
丽江,CO,0.78
丽江,NO2,10.25
丽江,O3,75.25
丽江,PM10,21.79
丽江,PM2.5,15.21
丽江,SO2,8.67
乌兰察布,AQI,64.5
乌兰察布,CO,1.08
乌兰察布,NO2,22.42
乌兰察布,O3,54.33
乌兰察布,PM10,71.67
乌兰察布,PM2.5,43.79
乌兰察布,SO2,16.42
乌海,AQI,67.79
乌海,CO,1.08
乌海,NO2,21.12
乌海,O3,59.92
乌海,PM10,80.58
乌海,PM2.5,40.79
乌海,SO2,19.21
乌鲁木齐,AQI,81.08
乌鲁木齐,CO,0.84
乌鲁木齐,NO2,53.96
乌鲁木齐,O3,49.38
乌鲁木齐,PM10,71.88
乌鲁木齐,PM2.5,59.79
乌鲁木齐,SO2,5.79
乐山,AQI,112.88
乐山,CO,0.78
乐山,NO2,17.42
乐山,O3,43.5
乐山,PM10,113.46
乐山,PM2.5,85.21
乐山,SO2,6.12
九江,AQI,74.54
九江,CO,0.6
九江,NO2,20.54
九江,O3,63.88
九江,PM10,75.75
九江,PM2.5,53.96
九江,SO2,10.38
云浮,AQI,63.38
云浮,CO,0.32
云浮,NO2,14.21
云浮,O3,74.88
云浮,PM10,63.29
云浮,PM2.5,45.0
云浮,SO2,8.54
五家渠,AQI,240.88
五家渠,CO,1.78
五家渠,NO2,45.96
五家渠,O3,64.58
五家渠,PM10,219.88
五家渠,PM2.5,191.38
五家渠,SO2,3.67
亳州,AQI,111.75
亳州,CO,0.65
亳州,NO2,12.71
亳州,O3,70.21
亳州,PM10,129.54
亳州,PM2.5,84.08
亳州,SO2,7.29
伊春,AQI,48.71
伊春,CO,0.58
伊春,NO2,9.21
伊春,O3,60.92
伊春,PM10,40.33
伊春,PM2.5,34.29
伊春,SO2,7.08
伊犁哈萨克州,AQI,140.92
伊犁哈萨克州,CO,1.96
伊犁哈萨克州,NO2,47.62
伊犁哈萨克州,O3,43.79
伊犁哈萨克州,PM10,121.33
伊犁哈萨克州,PM2.5,106.79
伊犁哈萨克州,SO2,12.67
佛山,AQI,59.33
佛山,CO,0.44
佛山,NO2,17.12
佛山,O3,76.79
佛山,PM10,56.17
佛山,PM2.5,42.54
佛山,SO2,7.79
佳木斯,AQI,48.21
佳木斯,CO,0.72
佳木斯,NO2,9.29
佳木斯,O3,62.08
佳木斯,PM10,39.23
佳木斯,PM2.5,34.25
佳木斯,SO2,6.42
保定,AQI,84.75
保定,CO,0.8
保定,NO2,11.58
保定,O3,56.96
保定,PM10,78.38
保定,PM2.5,62.62
保定,SO2,7.5
保山,AQI,39.5
保山,CO,0.47
保山,NO2,4.83
保山,O3,66.83
保山,PM10,33.25
保山,PM2.5,27.08
保山,SO2,6.21
信阳,AQI,133.12
信阳,CO,0.74
信阳,NO2,16.92
信阳,O3,65.54
信阳,PM10,125.79
信阳,PM2.5,101.17
信阳,SO2,5.71
儋州,AQI,38.12
儋州,CO,0.59
儋州,NO2,1.96
儋州,O3,81.88
儋州,PM10,37.38
儋州,PM2.5,18.58
儋州,SO2,5.58
克孜勒苏柯尔克孜自治州,AQI,148.67
克孜勒苏柯尔克孜自治州,CO,0.99
克孜勒苏柯尔克孜自治州,NO2,16.46
克孜勒苏柯尔克孜自治州,O3,72.79
克孜勒苏柯尔克孜自治州,PM10,245.12
克孜勒苏柯尔克孜自治州,PM2.5,70.67
克孜勒苏柯尔克孜自治州,SO2,8.04
克拉玛依,AQI,100.08
克拉玛依,CO,0.82
克拉玛依,NO2,17.96
克拉玛依,O3,73.04
克拉玛依,PM10,95.0
克拉玛依,PM2.5,75.0
克拉玛依,SO2,5.88
六安,AQI,74.88
六安,CO,0.64
六安,NO2,11.54
六安,O3,72.58
六安,PM10,72.79
六安,PM2.5,54.5
六安,SO2,6.21
六盘水,AQI,67.08
六盘水,CO,0.58
六盘水,NO2,7.96
六盘水,O3,52.96
六盘水,PM10,65.08
六盘水,PM2.5,48.5
六盘水,SO2,9.54
兰州,AQI,130.21
兰州,CO,1.73
兰州,NO2,49.88
兰州,O3,60.67
兰州,PM10,119.25
兰州,PM2.5,99.04
兰州,SO2,22.33
兰州新区,AQI,82.71
兰州新区,CO,0.74
兰州新区,NO2,17.92
兰州新区,O3,72.92
兰州新区,PM10,81.17
兰州新区,PM2.5,61.17
兰州新区,SO2,50.17
兴安盟,AQI,43.25
兴安盟,CO,0.59
兴安盟,NO2,11.08
兴安盟,O3,58.62
兴安盟,PM10,39.26
兴安盟,PM2.5,30.38
兴安盟,SO2,3.96
内江,AQI,138.58
内江,CO,0.62
内江,NO2,19.5
内江,O3,45.04
内江,PM10,119.21
内江,PM2.5,105.21
内江,SO2,8.29
凉山彝族自治州,AQI,36.38
凉山彝族自治州,CO,0.93
凉山彝族自治州,NO2,10.12
凉山彝族自治州,O3,55.04
凉山彝族自治州,PM10,31.21
凉山彝族自治州,PM2.5,25.42
凉山彝族自治州,SO2,11.33
包头,AQI,129.38
包头,CO,1.82
包头,NO2,44.42
包头,O3,42.17
包头,PM10,145.46
包头,PM2.5,97.83
包头,SO2,22.58
北京,AQI,55.67
北京,CO,0.63
北京,NO2,11.21
北京,O3,55.67
北京,PM10,49.75
北京,PM2.5,39.92
北京,SO2,4.83
北海,AQI,55.5
北海,CO,0.6
北海,NO2,8.58
北海,O3,90.62
北海,PM10,60.58
北海,PM2.5,32.67
北海,SO2,7.21
十堰,AQI,115.79
十堰,CO,0.84
十堰,NO2,8.25
十堰,O3,47.54
十堰,PM10,106.21
十堰,PM2.5,87.12
十堰,SO2,8.62
南京,AQI,56.12
南京,CO,0.54
南京,NO2,11.96
南京,O3,85.42
南京,PM10,58.04
南京,PM2.5,39.0
南京,SO2,5.79
南充,AQI,143.38
南充,CO,0.9
南充,NO2,16.33
南充,O3,30.67
南充,PM10,139.96
南充,PM2.5,108.67
南充,SO2,5.38
南宁,AQI,81.04
南宁,CO,0.82
南宁,NO2,13.54
南宁,O3,72.58
南宁,PM10,72.58
南宁,PM2.5,59.79
南宁,SO2,9.0
南平,AQI,44.79
南平,CO,0.43
