city,type,value
七台河,AQI,42.12
七台河,CO,0.45
七台河,NO2,22.96
七台河,O3,101.46
七台河,PM10,39.12
七台河,PM2.5,17.54
七台河,SO2,7.58
三亚,AQI,22.67
三亚,CO,0.61
三亚,NO2,12.75
三亚,O3,37.25
三亚,PM10,21.33
三亚,PM2.5,9.58
三亚,SO2,3.58
三明,AQI,23.96
三明,CO,0.7
三明,NO2,10.29
三明,O3,67.0
三明,PM10,21.67
三明,PM2.5,12.21
三明,SO2,8.38
三门峡,AQI,54.25
三门峡,CO,0.85
三门峡,NO2,18.5
三门峡,O3,121.96
三门峡,PM10,53.5
三门峡,PM2.5,35.17
三门峡,SO2,6.5
上海,AQI,36.88
上海,CO,0.46
上海,NO2,15.0
上海,O3,90.17
上海,PM10,36.0
上海,PM2.5,21.67
上海,SO2,8.08
上饶,AQI,52.21
上饶,CO,0.91
上饶,NO2,15.38
上饶,O3,84.75
上饶,PM10,58.42
上饶,PM2.5,35.25
上饶,SO2,14.46
东莞,AQI,59.5
东莞,CO,0.64
东莞,NO2,23.21
东莞,O3,104.21
东莞,PM10,48.17
东莞,PM2.5,37.67
东莞,SO2,9.54
东营,AQI,72.54
东营,CO,0.59
东营,NO2,19.17
东营,O3,117.42
东营,PM10,79.79
东营,PM2.5,33.38
东营,SO2,19.12
中卫,AQI,59.21
中卫,CO,0.89
中卫,NO2,23.42
中卫,O3,115.21
中卫,PM10,53.92
中卫,PM2.5,26.75
中卫,SO2,19.08
中山,AQI,37.62
中山,CO,0.58
中山,NO2,8.71
中山,O3,101.12
中山,PM10,34.3
中山,PM2.5,25.0
中山,SO2,7.5
临夏州,AQI,57.42
临夏州,CO,0.8
临夏州,NO2,12.79
临夏州,O3,76.71
临夏州,PM10,60.96
临夏州,PM2.5,39.25
临夏州,SO2,15.96
临安,AQI,54.96
临安,CO,0.5
临安,NO2,16.88
临安,O3,104.46
临安,PM10,57.21
临安,PM2.5,37.21
临安,SO2,6.83
临汾,AQI,80.46
临汾,CO,1.24
临汾,NO2,24.46
临汾,O3,130.5
临汾,PM10,81.0
临汾,PM2.5,58.17
临汾,SO2,23.58
临沂,AQI,59.29
临沂,CO,0.35
临沂,NO2,18.54
临沂,O3,88.75
临沂,PM10,68.0
临沂,PM2.5,33.33
临沂,SO2,5.75
临沧,AQI,79.79
临沧,CO,0.79
临沧,NO2,11.92
临沧,O3,59.04
临沧,PM10,106.67
临沧,PM2.5,38.88
临沧,SO2,9.67
丹东,AQI,41.5
丹东,CO,0.54
丹东,NO2,12.42
丹东,O3,72.25
丹东,PM10,38.75
丹东,PM2.5,27.08
丹东,SO2,11.71
丽水,AQI,33.21
丽水,CO,0.39
丽水,NO2,11.21
丽水,O3,68.25
丽水,PM10,32.92
丽水,PM2.5,19.29
丽水,SO2,5.29
丽江,AQI,43.92
丽江,CO,0.5
丽江,NO2,9.29
丽江,O3,73.58
丽江,PM10,45.54
丽江,PM2.5,11.0
丽江,SO2,17.38
义乌,AQI,41.88
义乌,CO,0.29
义乌,NO2,10.46
义乌,O3,64.12
义乌,PM10,42.0
义乌,PM2.5,18.12
义乌,SO2,6.29
乌兰察布,AQI,51.67
乌兰察布,CO,0.34
乌兰察布,NO2,14.75
乌兰察布,O3,126.0
乌兰察布,PM10,50.58
乌兰察布,PM2.5,24.71
乌兰察布,SO2,17.42
乌海,AQI,74.58
乌海,CO,1.13
乌海,NO2,24.33
乌海,O3,126.79
乌海,PM10,78.54
乌海,PM2.5,47.62
乌海,SO2,45.54
乌鲁木齐,AQI,49.75
乌鲁木齐,CO,0.78
乌鲁木齐,NO2,33.71
乌鲁木齐,O3,68.21
乌鲁木齐,PM10,48.29
乌鲁木齐,PM2.5,27.58
乌鲁木齐,SO2,9.21
乐山,AQI,39.08
乐山,CO,0.92
乐山,NO2,27.29
乐山,O3,55.08
乐山,PM10,36.88
乐山,PM2.5,26.42
乐山,SO2,6.46
九江,AQI,59.88
九江,CO,0.58
九江,NO2,23.29
九江,O3,97.38
九江,PM10,66.96
九江,PM2.5,40.58
九江,SO2,12.0
乳山,AQI,35.25
乳山,CO,0.43
乳山,NO2,5.38
乳山,O3,99.79
乳山,PM10,31.92
乳山,PM2.5,19.0
乳山,SO2,6.17
云浮,AQI,53.96
云浮,CO,0.9
云浮,NO2,21.25
云浮,O3,79.71
云浮,PM10,53.0
云浮,PM2.5,37.25
云浮,SO2,9.08
五家渠,AQI,38.54
五家渠,CO,0.6
五家渠,NO2,18.62
五家渠,O3,74.58
五家渠,PM10,38.92
五家渠,PM2.5,11.67
五家渠,SO2,14.71
亳州,AQI,61.0
亳州,CO,0.52
亳州,NO2,14.5
亳州,O3,111.29
亳州,PM10,64.35
亳州,PM2.5,39.96
亳州,SO2,11.08
伊春,AQI,21.42
伊春,CO,0.49
伊春,NO2,12.33
伊春,O3,54.17
伊春,PM10,19.75
伊春,PM2.5,12.58
伊春,SO2,6.42
伊犁哈萨克州,AQI,31.25
伊犁哈萨克州,CO,0.75
伊犁哈萨克州,NO2,13.08
伊犁哈萨克州,O3,70.04
伊犁哈萨克州,PM10,24.92
伊犁哈萨克州,PM2.5,15.75
伊犁哈萨克州,SO2,10.75
佛山,AQI,54.04
佛山,CO,0.69
佛山,NO2,17.62
佛山,O3,116.46
佛山,PM10,51.79
佛山,PM2.5,31.58
佛山,SO2,10.25
佳木斯,AQI,39.88
佳木斯,CO,0.58
佳木斯,NO2,20.71
佳木斯,O3,79.96
佳木斯,PM10,34.29
佳木斯,PM2.5,24.5
佳木斯,SO2,3.92
保定,AQI,105.12
保定,CO,0.72
保定,NO2,30.08
保定,O3,159.38
保定,PM10,111.96
保定,PM2.5,64.71
保定,SO2,13.92
保山,AQI,78.21
保山,CO,0.31
保山,NO2,5.92
保山,O3,64.0
保山,PM10,105.92
保山,PM2.5,34.38
保山,SO2,5.67
信阳,AQI,73.46
信阳,CO,0.62
信阳,NO2,22.54
信阳,O3,121.83
信阳,PM10,83.21
信阳,PM2.5,53.58
信阳,SO2,6.96
克州,AQI,52.0
克州,CO,0.9
克州,NO2,3.42
克州,O3,131.12
克州,PM10,48.5
克州,PM2.5,7.48
克州,SO2,4.83
克拉玛依,AQI,41.42
克拉玛依,CO,0.81
克拉玛依,NO2,16.83
克拉玛依,O3,82.21
克拉玛依,PM10,41.5
克拉玛依,PM2.5,13.5
克拉玛依,SO2,6.17
六安,AQI,82.75
六安,CO,0.68
六安,NO2,20.42
六安,O3,154.88
六安,PM10,95.12
六安,PM2.5,50.29
六安,SO2,8.83
六盘水,AQI,44.92
六盘水,CO,0.49
六盘水,NO2,17.71
六盘水,O3,66.67
六盘水,PM10,45.75
六盘水,PM2.5,21.08
六盘水,SO2,13.58
兰州,AQI,71.96
兰州,CO,1.05
兰州,NO2,65.25
兰州,O3,77.38
兰州,PM10,86.46
兰州,PM2.5,42.0
兰州,SO2,14.54
兴安盟,AQI,38.88
兴安盟,CO,0.35
兴安盟,NO2,7.12
兴安盟,O3,83.92
兴安盟,PM10,29.71
兴安盟,PM2.5,19.5
兴安盟,SO2,4.5
内江,AQI,30.67
内江,CO,0.63
内江,NO2,17.08
内江,O3,61.29
内江,PM10,26.08
内江,PM2.5,19.33
