city,type,value
七台河,AQI,45.51
七台河,CO,0.43
七台河,NO2,26.28
七台河,O3,88.93
七台河,PM10,46.54
七台河,PM2.5,20.24
七台河,SO2,8.99
三亚,AQI,24.48
三亚,CO,0.57
三亚,NO2,12.27
三亚,O3,47.79
三亚,PM10,23.16
三亚,PM2.5,10.66
三亚,SO2,3.93
三明,AQI,34.53
三明,CO,0.99
三明,NO2,20.56
三明,O3,50.24
三明,PM10,33.03
三明,PM2.5,18.39
三明,SO2,11.51
三门峡,AQI,68.65
三门峡,CO,0.82
三门峡,NO2,32.88
三门峡,O3,108.08
三门峡,PM10,76.41
三门峡,PM2.5,33.35
三门峡,SO2,10.0
上海,AQI,54.79
上海,CO,0.58
上海,NO2,31.66
上海,O3,107.24
上海,PM10,44.56
上海,PM2.5,34.63
上海,SO2,10.37
上饶,AQI,50.03
上饶,CO,0.83
上饶,NO2,15.78
上饶,O3,69.66
上饶,PM10,51.01
上饶,PM2.5,31.15
上饶,SO2,12.96
东莞,AQI,39.19
东莞,CO,0.67
东莞,NO2,29.2
东莞,O3,59.96
东莞,PM10,37.29
东莞,PM2.5,23.69
东莞,SO2,7.98
东营,AQI,76.14
东营,CO,0.75
东营,NO2,24.8
东营,O3,136.2
东营,PM10,83.79
东营,PM2.5,37.79
东营,SO2,20.01
中卫,AQI,65.27
中卫,CO,0.73
中卫,NO2,22.3
中卫,O3,111.35
中卫,PM10,72.27
中卫,PM2.5,24.5
中卫,SO2,14.35
中山,AQI,35.29
中山,CO,0.65
中山,NO2,17.19
中山,O3,69.59
中山,PM10,29.72
中山,PM2.5,18.01
中山,SO2,6.98
临夏州,AQI,57.62
临夏州,CO,0.63
临夏州,NO2,12.41
临夏州,O3,94.93
临夏州,PM10,62.98
临夏州,PM2.5,34.35
临夏州,SO2,14.68
临安,AQI,51.35
临安,CO,0.59
临安,NO2,21.64
临安,O3,83.79
临安,PM10,48.43
临安,PM2.5,31.66
临安,SO2,5.58
临汾,AQI,87.62
临汾,CO,1.26
临汾,NO2,29.77
临汾,O3,140.78
临汾,PM10,87.43
