city,month,type,value
七台河,201801.csv,AQI,83.93
七台河,201801.csv,CO,0.96
七台河,201801.csv,NO2,38.28
七台河,201801.csv,O3,38.94
七台河,201801.csv,PM10,94.4
七台河,201801.csv,PM2.5,56.54
七台河,201801.csv,SO2,10.19
三亚,201801.csv,AQI,30.6
三亚,201801.csv,CO,0.62
三亚,201801.csv,NO2,13.51
三亚,201801.csv,O3,56.67
三亚,201801.csv,PM10,30.03
三亚,201801.csv,PM2.5,15.32
三亚,201801.csv,SO2,2.31
三明,201801.csv,AQI,46.32
三明,201801.csv,CO,1.04
三明,201801.csv,NO2,33.52
三明,201801.csv,O3,35.47
三明,201801.csv,PM10,45.87
三明,201801.csv,PM2.5,30.94
三明,201801.csv,SO2,13.45
三门峡,201801.csv,AQI,147.43
三门峡,201801.csv,CO,1.46
三门峡,201801.csv,NO2,46.97
三门峡,201801.csv,O3,38.82
三门峡,201801.csv,PM10,146.91
三门峡,201801.csv,PM2.5,110.86
三门峡,201801.csv,SO2,27.5
上海,201801.csv,AQI,78.96
上海,201801.csv,CO,0.97
上海,201801.csv,NO2,58.02
上海,201801.csv,O3,45.91
上海,201801.csv,PM10,69.64
上海,201801.csv,PM2.5,57.07
上海,201801.csv,SO2,13.77
上饶,201801.csv,AQI,68.21
上饶,201801.csv,CO,1.11
上饶,201801.csv,NO2,39.92
上饶,201801.csv,O3,22.51
上饶,201801.csv,PM10,85.08
上饶,201801.csv,PM2.5,45.9
上饶,201801.csv,SO2,50.8
东莞,201801.csv,AQI,82.06
东莞,201801.csv,CO,1.09
东莞,201801.csv,NO2,59.67
东莞,201801.csv,O3,44.43
东莞,201801.csv,PM10,74.45
东莞,201801.csv,PM2.5,60.48
东莞,201801.csv,SO2,14.72
东营,201801.csv,AQI,106.39
东营,201801.csv,CO,1.26
东营,201801.csv,NO2,47.33
东营,201801.csv,O3,30.91
东营,201801.csv,PM10,133.72
东营,201801.csv,PM2.5,72.5
东营,201801.csv,SO2,35.92
中卫,201801.csv,AQI,85.04
中卫,201801.csv,CO,0.91
中卫,201801.csv,NO2,28.62
中卫,201801.csv,O3,51.83
中卫,201801.csv,PM10,107.08
中卫,201801.csv,PM2.5,44.91
中卫,201801.csv,SO2,25.41
中山,201801.csv,AQI,71.62
中山,201801.csv,CO,1.0
中山,201801.csv,NO2,59.94
中山,201801.csv,O3,36.07
中山,201801.csv,PM10,68.46
中山,201801.csv,PM2.5,50.88
中山,201801.csv,SO2,11.83
临夏州,201801.csv,AQI,77.68
临夏州,201801.csv,CO,2.02
临夏州,201801.csv,NO2,35.77
临夏州,201801.csv,O3,42.94
临夏州,201801.csv,PM10,97.17
临夏州,201801.csv,PM2.5,51.44
临夏州,201801.csv,SO2,38.35
临安,201801.csv,AQI,85.25
临安,201801.csv,CO,0.91
临安,201801.csv,NO2,44.78
临安,201801.csv,O3,56.3
临安,201801.csv,PM10,98.29
临安,201801.csv,PM2.5,58.84
临安,201801.csv,SO2,11.35
临汾,201801.csv,AQI,178.32
临汾,201801.csv,CO,2.95
临汾,201801.csv,NO2,57.4
临汾,201801.csv,O3,25.92
临汾,201801.csv,PM10,197.28
临汾,201801.csv,PM2.5,140.33
临汾,201801.csv,SO2,128.91
临沂,201801.csv,AQI,137.14
临沂,201801.csv,CO,1.48
临沂,201801.csv,NO2,55.25
临沂,201801.csv,O3,30.95
临沂,201801.csv,PM10,155.22
临沂,201801.csv,PM2.5,102.39
临沂,201801.csv,SO2,35.74
临沧,201801.csv,AQI,49.09
临沧,201801.csv,CO,1.08
临沧,201801.csv,NO2,22.66
临沧,201801.csv,O3,50.33
临沧,201801.csv,PM10,46.82
临沧,201801.csv,PM2.5,31.11
临沧,201801.csv,SO2,12.91
丹东,201801.csv,AQI,57.39
丹东,201801.csv,CO,1.21
丹东,201801.csv,NO2,29.26
丹东,201801.csv,O3,44.38
丹东,201801.csv,PM10,59.35
丹东,201801.csv,PM2.5,37.47
丹东,201801.csv,SO2,34.13
丽水,201801.csv,AQI,61.52
丽水,201801.csv,CO,0.93
丽水,201801.csv,NO2,33.46
丽水,201801.csv,O3,35.57
丽水,201801.csv,PM10,59.76
丽水,201801.csv,PM2.5,41.23
丽水,201801.csv,SO2,7.38
丽江,201801.csv,AQI,50.45
丽江,201801.csv,CO,0.75
丽江,201801.csv,NO2,16.99
丽江,201801.csv,O3,74.92
丽江,201801.csv,PM10,55.68
丽江,201801.csv,PM2.5,28.59
丽江,201801.csv,SO2,11.36
义乌,201801.csv,AQI,75.18
义乌,201801.csv,CO,0.81
义乌,201801.csv,NO2,49.58
义乌,201801.csv,O3,27.01
义乌,201801.csv,PM10,77.52
义乌,201801.csv,PM2.5,53.78
义乌,201801.csv,SO2,9.69
乌兰察布,201801.csv,AQI,44.58
乌兰察布,201801.csv,CO,0.72
乌兰察布,201801.csv,NO2,28.98
乌兰察布,201801.csv,O3,53.91
乌兰察布,201801.csv,PM10,47.54
乌兰察布,201801.csv,PM2.5,21.35
乌兰察布,201801.csv,SO2,32.66
乌海,201801.csv,AQI,75.75
乌海,201801.csv,CO,0.97
乌海,201801.csv,NO2,28.76
乌海,201801.csv,O3,50.85
乌海,201801.csv,PM10,98.81
乌海,201801.csv,PM2.5,40.0
乌海,201801.csv,SO2,25.53
乌鲁木齐,201801.csv,AQI,171.83
乌鲁木齐,201801.csv,CO,2.6
乌鲁木齐,201801.csv,NO2,65.68
乌鲁木齐,201801.csv,O3,24.41
乌鲁木齐,201801.csv,PM10,183.94
乌鲁木齐,201801.csv,PM2.5,131.79
乌鲁木齐,201801.csv,SO2,15.84
乐山,201801.csv,AQI,103.61
乐山,201801.csv,CO,1.07
乐山,201801.csv,NO2,43.55
乐山,201801.csv,O3,26.74
乐山,201801.csv,PM10,105.8
乐山,201801.csv,PM2.5,77.41
乐山,201801.csv,SO2,9.51
九江,201801.csv,AQI,95.41
九江,201801.csv,CO,0.99
九江,201801.csv,NO2,37.86
九江,201801.csv,O3,32.91
九江,201801.csv,PM10,83.37
九江,201801.csv,PM2.5,69.74
九江,201801.csv,SO2,14.05
乳山,201801.csv,AQI,60.6
乳山,201801.csv,CO,1.3
乳山,201801.csv,NO2,25.3
乳山,201801.csv,O3,51.32
乳山,201801.csv,PM10,71.8
乳山,201801.csv,PM2.5,35.53
乳山,201801.csv,SO2,14.52
云浮,201801.csv,AQI,87.11
云浮,201801.csv,CO,0.99
云浮,201801.csv,NO2,47.56
云浮,201801.csv,O3,38.37
云浮,201801.csv,PM10,76.82
云浮,201801.csv,PM2.5,64.01
云浮,201801.csv,SO2,17.19
五家渠,201801.csv,AQI,240.84
五家渠,201801.csv,CO,3.08
五家渠,201801.csv,NO2,64.84
五家渠,201801.csv,O3,20.78
五家渠,201801.csv,PM10,275.6
五家渠,201801.csv,PM2.5,200.1
五家渠,201801.csv,SO2,22.47
亳州,201801.csv,AQI,144.35
亳州,201801.csv,CO,1.11
亳州,201801.csv,NO2,45.08
亳州,201801.csv,O3,46.65
亳州,201801.csv,PM10,149.1
亳州,201801.csv,PM2.5,109.37
亳州,201801.csv,SO2,19.88
伊春,201801.csv,AQI,58.59
伊春,201801.csv,CO,0.64
伊春,201801.csv,NO2,22.93
伊春,201801.csv,O3,44.39
伊春,201801.csv,PM10,57.22
伊春,201801.csv,PM2.5,41.08
伊春,201801.csv,SO2,14.41
伊犁哈萨克州,201801.csv,AQI,171.39
伊犁哈萨克州,201801.csv,CO,3.75
伊犁哈萨克州,201801.csv,NO2,64.55
伊犁哈萨克州,201801.csv,O3,28.58
伊犁哈萨克州,201801.csv,PM10,166.03
伊犁哈萨克州,201801.csv,PM2.5,133.28
伊犁哈萨克州,201801.csv,SO2,63.46
佛山,201801.csv,AQI,82.85
佛山,201801.csv,CO,1.06
佛山,201801.csv,NO2,66.87
佛山,201801.csv,O3,33.77
佛山,201801.csv,PM10,96.45
佛山,201801.csv,PM2.5,59.16
佛山,201801.csv,SO2,16.34
佳木斯,201801.csv,AQI,66.63
佳木斯,201801.csv,CO,0.71
佳木斯,201801.csv,NO2,25.35
佳木斯,201801.csv,O3,49.86
佳木斯,201801.csv,PM10,63.29
佳木斯,201801.csv,PM2.5,48.13
佳木斯,201801.csv,SO2,15.01
保定,201801.csv,AQI,129.32
保定,201801.csv,CO,1.85
保定,201801.csv,NO2,67.52
保定,201801.csv,O3,27.57
保定,201801.csv,PM10,145.45
保定,201801.csv,PM2.5,96.22
保定,201801.csv,SO2,36.86
保山,201801.csv,AQI,43.24
保山,201801.csv,CO,0.64
保山,201801.csv,NO2,16.62
保山,201801.csv,O3,62.33
保山,201801.csv,PM10,44.48
保山,201801.csv,PM2.5,25.28
保山,201801.csv,SO2,12.47
信阳,201801.csv,AQI,125.19
信阳,201801.csv,CO,1.26
信阳,201801.csv,NO2,43.49
信阳,201801.csv,O3,51.4
信阳,201801.csv,PM10,143.01
信阳,201801.csv,PM2.5,93.22
信阳,201801.csv,SO2,10.94
克州,201801.csv,AQI,145.44
克州,201801.csv,CO,1.24
克州,201801.csv,NO2,16.58
克州,201801.csv,O3,58.89
克州,201801.csv,PM10,228.13
