city,type,value
七台河,AQI,83.93
七台河,CO,0.96
七台河,NO2,38.28
七台河,O3,38.94
七台河,PM10,94.4
七台河,PM2.5,56.54
七台河,SO2,10.19
三亚,AQI,30.6
三亚,CO,0.62
三亚,NO2,13.51
三亚,O3,56.67
三亚,PM10,30.03
三亚,PM2.5,15.32
三亚,SO2,2.31
三明,AQI,46.32
三明,CO,1.04
三明,NO2,33.52
三明,O3,35.47
三明,PM10,45.87
三明,PM2.5,30.94
三明,SO2,13.45
三门峡,AQI,147.43
三门峡,CO,1.46
三门峡,NO2,46.97
三门峡,O3,38.82
三门峡,PM10,146.91
三门峡,PM2.5,110.86
三门峡,SO2,27.5
上海,AQI,78.96
上海,CO,0.97
上海,NO2,58.02
上海,O3,45.91
上海,PM10,69.64
上海,PM2.5,57.07
上海,SO2,13.77
上饶,AQI,68.21
上饶,CO,1.11
上饶,NO2,39.92
上饶,O3,22.51
上饶,PM10,85.08
上饶,PM2.5,45.9
上饶,SO2,50.8
东莞,AQI,82.06
东莞,CO,1.09
东莞,NO2,59.67
东莞,O3,44.43
东莞,PM10,74.45
东莞,PM2.5,60.48
东莞,SO2,14.72
东营,AQI,106.39
东营,CO,1.26
东营,NO2,47.33
东营,O3,30.91
东营,PM10,133.72
东营,PM2.5,72.5
东营,SO2,35.92
中卫,AQI,85.04
中卫,CO,0.91
中卫,NO2,28.62
中卫,O3,51.83
中卫,PM10,107.08
中卫,PM2.5,44.91
中卫,SO2,25.41
中山,AQI,71.62
中山,CO,1.0
中山,NO2,59.94
中山,O3,36.07
中山,PM10,68.46
中山,PM2.5,50.88
中山,SO2,11.83
临夏州,AQI,77.68
临夏州,CO,2.02
临夏州,NO2,35.77
临夏州,O3,42.94
临夏州,PM10,97.17
临夏州,PM2.5,51.44
临夏州,SO2,38.35
临安,AQI,85.25
临安,CO,0.91
临安,NO2,44.78
临安,O3,56.3
临安,PM10,98.29
临安,PM2.5,58.84
临安,SO2,11.35
临汾,AQI,178.32
临汾,CO,2.95
临汾,NO2,57.4
临汾,O3,25.92
临汾,PM10,197.28
临汾,PM2.5,140.33
临汾,SO2,128.91
临沂,AQI,137.14
临沂,CO,1.48
临沂,NO2,55.25
临沂,O3,30.95
临沂,PM10,155.22
临沂,PM2.5,102.39
临沂,SO2,35.74
临沧,AQI,49.09
临沧,CO,1.08
临沧,NO2,22.66
临沧,O3,50.33
临沧,PM10,46.82
临沧,PM2.5,31.11
临沧,SO2,12.91
丹东,AQI,57.39
丹东,CO,1.21
丹东,NO2,29.26
丹东,O3,44.38
丹东,PM10,59.35
丹东,PM2.5,37.47
丹东,SO2,34.13
丽水,AQI,61.52
丽水,CO,0.93
丽水,NO2,33.46
丽水,O3,35.57
丽水,PM10,59.76
丽水,PM2.5,41.23
丽水,SO2,7.38
丽江,AQI,50.45
丽江,CO,0.75
丽江,NO2,16.99
丽江,O3,74.92
丽江,PM10,55.68
丽江,PM2.5,28.59
丽江,SO2,11.36
义乌,AQI,75.18
义乌,CO,0.81
义乌,NO2,49.58
义乌,O3,27.01
义乌,PM10,77.52
义乌,PM2.5,53.78
义乌,SO2,9.69
乌兰察布,AQI,44.58
乌兰察布,CO,0.72
乌兰察布,NO2,28.98
乌兰察布,O3,53.91
乌兰察布,PM10,47.54
乌兰察布,PM2.5,21.35
乌兰察布,SO2,32.66
乌海,AQI,75.75
乌海,CO,0.97
乌海,NO2,28.76
乌海,O3,50.85
乌海,PM10,98.81
乌海,PM2.5,40.0
乌海,SO2,25.53
乌鲁木齐,AQI,171.83
乌鲁木齐,CO,2.6
乌鲁木齐,NO2,65.68
乌鲁木齐,O3,24.41
乌鲁木齐,PM10,183.94
乌鲁木齐,PM2.5,131.79
乌鲁木齐,SO2,15.84
乐山,AQI,103.61
乐山,CO,1.07
乐山,NO2,43.55
乐山,O3,26.74
乐山,PM10,105.8
乐山,PM2.5,77.41
乐山,SO2,9.51
九江,AQI,95.41
九江,CO,0.99
九江,NO2,37.86
九江,O3,32.91
九江,PM10,83.37
九江,PM2.5,69.74
九江,SO2,14.05
乳山,AQI,60.6
乳山,CO,1.3
乳山,NO2,25.3
乳山,O3,51.32
乳山,PM10,71.8
乳山,PM2.5,35.53
乳山,SO2,14.52
云浮,AQI,87.11
云浮,CO,0.99
云浮,NO2,47.56
