city,type,value
七台河,AQI,54.29
七台河,CO,0.3
七台河,NO2,25.54
七台河,O3,36.62
七台河,PM10,61.67
七台河,PM2.5,12.58
七台河,SO2,9.29
三亚,AQI,45.5
三亚,CO,0.57
三亚,NO2,11.33
三亚,O3,97.46
三亚,PM10,45.42
三亚,PM2.5,25.75
三亚,SO2,4.92
三明,AQI,72.29
三明,CO,0.89
三明,NO2,29.08
三明,O3,74.38
三明,PM10,74.87
三明,PM2.5,48.75
三明,SO2,10.25
三门峡,AQI,93.46
三门峡,CO,1.07
三门峡,NO2,53.88
三门峡,O3,36.0
三门峡,PM10,116.58
三门峡,PM2.5,66.54
三门峡,SO2,15.12
上海,AQI,44.17
上海,CO,0.46
上海,NO2,28.29
上海,O3,85.83
上海,PM10,44.79
上海,PM2.5,16.42
上海,SO2,6.83
上饶,AQI,77.46
上饶,CO,0.95
上饶,NO2,23.17
上饶,O3,125.33
上饶,PM10,89.33
上饶,PM2.5,45.71
上饶,SO2,22.92
东莞,AQI,86.46
东莞,CO,0.74
东莞,NO2,35.54
东莞,O3,109.62
东莞,PM10,79.79
东莞,PM2.5,61.21
东莞,SO2,9.08
东营,AQI,81.79
东营,CO,0.88
东营,NO2,58.42
东营,O3,64.08
东营,PM10,112.88
东营,PM2.5,48.5
东营,SO2,30.38
中卫,AQI,49.33
中卫,CO,0.64
中卫,NO2,16.79
中卫,O3,66.71
中卫,PM10,52.83
中卫,PM2.5,18.29
中卫,SO2,15.21
中山,AQI,70.08
中山,CO,0.64
中山,NO2,19.83
中山,O3,115.46
中山,PM10,61.17
中山,PM2.5,46.71
中山,SO2,5.79
临夏州,AQI,55.25
临夏州,CO,0.76
临夏州,NO2,12.42
临夏州,O3,72.12
临夏州,PM10,59.08
临夏州,PM2.5,37.33
临夏州,SO2,17.62
临安,AQI,69.25
临安,CO,0.76
临安,NO2,27.29
临安,O3,83.83
临安,PM10,85.67
临安,PM2.5,46.54
临安,SO2,6.38
临汾,AQI,64.25
临汾,CO,1.07
临汾,NO2,53.75
临汾,O3,43.88
临汾,PM10,78.46
临汾,PM2.5,28.75
临汾,SO2,24.92
临沂,AQI,83.96
临沂,CO,0.61
临沂,NO2,45.54
临沂,O3,58.04
临沂,PM10,117.42
临沂,PM2.5,39.67
临沂,SO2,16.71
临沧,AQI,23.71
