city,type,value
七台河,AQI,99.33
七台河,CO,0.9
七台河,NO2,53.54
七台河,O3,93.58
七台河,PM10,124.38
七台河,PM2.5,72.75
七台河,SO2,11.12
三亚,AQI,25.96
三亚,CO,0.56
三亚,NO2,10.29
三亚,O3,52.62
三亚,PM10,25.96
三亚,PM2.5,10.08
三亚,SO2,2.12
三明,AQI,66.42
三明,CO,1.98
三明,NO2,42.58
三明,O3,13.83
三明,PM10,79.5
三明,PM2.5,39.88
三明,SO2,26.83
三门峡,AQI,192.62
三门峡,CO,2.2
三门峡,NO2,78.75
三门峡,O3,34.25
三门峡,PM10,266.67
三门峡,PM2.5,144.75
三门峡,SO2,52.17
上海,AQI,69.04
上海,CO,0.91
上海,NO2,68.54
上海,O3,23.38
上海,PM10,63.57
上海,PM2.5,50.17
上海,SO2,12.71
上饶,AQI,59.38
上饶,CO,0.98
上饶,NO2,44.12
上饶,O3,13.04
上饶,PM10,65.79
上饶,PM2.5,40.62
上饶,SO2,17.04
东莞,AQI,71.5
东莞,CO,1.16
东莞,NO2,59.75
东莞,O3,46.88
东莞,PM10,72.96
东莞,PM2.5,51.88
东莞,SO2,15.46
东营,AQI,164.79
东营,CO,1.73
东营,NO2,61.67
东营,O3,37.08
东营,PM10,206.96
东营,PM2.5,123.42
东营,SO2,44.33
中卫,AQI,95.58
中卫,CO,1.2
中卫,NO2,32.38
中卫,O3,30.83
中卫,PM10,126.67
中卫,PM2.5,64.46
中卫,SO2,41.54
中山,AQI,59.0
中山,CO,1.15
中山,NO2,47.46
中山,O3,35.79
中山,PM10,60.12
中山,PM2.5,40.29
中山,SO2,13.12
临夏州,AQI,107.58
临夏州,CO,2.05
临夏州,NO2,98.0
临夏州,O3,30.75
临夏州,PM10,147.54
临夏州,PM2.5,78.42
临夏州,SO2,48.71
临安,AQI,61.58
临安,CO,0.98
临安,NO2,32.46
临安,O3,28.58
临安,PM10,67.5
临安,PM2.5,39.33
临安,SO2,5.0
临汾,AQI,210.5
临汾,CO,4.15
临汾,NO2,74.08
临汾,O3,30.08
临汾,PM10,271.04
临汾,PM2.5,165.42
临汾,SO2,258.04
临沂,AQI,162.46
临沂,CO,1.85
临沂,NO2,70.92
临沂,O3,38.42
临沂,PM10,210.46
临沂,PM2.5,123.0
临沂,SO2,26.67
临沧,AQI,27.54
临沧,CO,0.62
临沧,NO2,13.25
临沧,O3,41.79
临沧,PM10,25.42
临沧,PM2.5,13.08
临沧,SO2,5.67
丹东,AQI,78.62
丹东,CO,1.35
丹东,NO2,39.62
丹东,O3,28.67
丹东,PM10,87.75
丹东,PM2.5,55.46
丹东,SO2,46.83
丽水,AQI,78.92
丽水,CO,1.52
丽水,NO2,43.92
丽水,O3,15.38
丽水,PM10,80.62
丽水,PM2.5,57.92
丽水,SO2,18.29
丽江,AQI,25.62
丽江,CO,0.78
丽江,NO2,9.29
丽江,O3,81.38
丽江,PM10,19.29
丽江,PM2.5,10.71
丽江,SO2,10.33
义乌,AQI,104.83
义乌,CO,1.64
义乌,NO2,76.21
义乌,O3,12.25
义乌,PM10,128.92
义乌,PM2.5,78.79
义乌,SO2,35.83
乌兰察布,AQI,75.67
乌兰察布,CO,0.56
乌兰察布,NO2,40.62
乌兰察布,O3,55.79
乌兰察布,PM10,96.88
乌兰察布,PM2.5,36.92
乌兰察布,SO2,38.79
乌海,AQI,105.46
乌海,CO,1.92
乌海,NO2,48.29
乌海,O3,55.92
乌海,PM10,147.17
乌海,PM2.5,70.38
乌海,SO2,113.46
乌鲁木齐,AQI,53.62
乌鲁木齐,CO,1.06
乌鲁木齐,NO2,35.38
乌鲁木齐,O3,24.92
乌鲁木齐,PM10,54.33
乌鲁木齐,PM2.5,35.0
乌鲁木齐,SO2,6.58
乐山,AQI,118.54
乐山,CO,1.26
乐山,NO2,42.96
乐山,O3,40.58
乐山,PM10,120.5
