city,type,value
七台河,AQI,72.79
七台河,CO,0.73
七台河,NO2,11.96
七台河,O3,30.5
七台河,PM10,90.83
七台河,PM2.5,46.08
七台河,SO2,10.92
三亚,AQI,24.92
三亚,CO,0.49
三亚,NO2,9.92
三亚,O3,36.62
三亚,PM10,24.92
三亚,PM2.5,12.75
三亚,SO2,4.08
三明,AQI,49.17
三明,CO,2.24
三明,NO2,31.92
三明,O3,20.75
三明,PM10,52.38
三明,PM2.5,30.92
三明,SO2,19.67
三门峡,AQI,67.96
三门峡,CO,1.82
三门峡,NO2,35.29
三门峡,O3,64.17
三门峡,PM10,85.17
三门峡,PM2.5,31.71
三门峡,SO2,48.83
上海,AQI,45.75
上海,CO,0.51
上海,NO2,33.71
上海,O3,83.71
上海,PM10,45.46
上海,PM2.5,21.67
上海,SO2,13.92
上饶,AQI,37.92
上饶,CO,0.43
上饶,NO2,25.96
上饶,O3,55.46
上饶,PM10,32.45
上饶,PM2.5,26.5
上饶,SO2,24.25
东莞,AQI,36.96
东莞,CO,0.6
东莞,NO2,32.96
东莞,O3,28.88
东莞,PM10,33.87
东莞,PM2.5,24.42
东莞,SO2,7.08
东营,AQI,88.75
东营,CO,1.06
东营,NO2,55.96
东营,O3,77.04
东营,PM10,123.25
东营,PM2.5,59.83
东营,SO2,75.62
中卫,AQI,93.5
中卫,CO,0.8
中卫,NO2,30.04
中卫,O3,74.04
中卫,PM10,85.17
中卫,PM2.5,69.75
中卫,SO2,62.12
中山,AQI,37.04
中山,CO,0.79
中山,NO2,12.38
中山,O3,38.67
中山,PM10,32.82
中山,PM2.5,26.04
中山,SO2,7.71
临夏州,AQI,54.71
临夏州,CO,1.9
临夏州,NO2,30.42
临夏州,O3,89.08
临夏州,PM10,58.88
临夏州,PM2.5,29.08
临夏州,SO2,22.5
临安,AQI,71.46
临安,CO,0.75
临安,NO2,22.38
临安,O3,73.96
临安,PM10,93.12
临安,PM2.5,44.62
临安,SO2,7.71
临汾,AQI,73.08
临汾,CO,2.52
临汾,NO2,34.17
临汾,O3,24.25
临汾,PM10,95.17
临汾,PM2.5,46.71
临汾,SO2,18.58
临沂,AQI,82.88
临沂,CO,1.2
临沂,NO2,51.54
临沂,O3,63.29
临沂,PM10,115.21
临沂,PM2.5,50.5
临沂,SO2,39.54
临沧,AQI,52.54
临沧,CO,0.61
临沧,NO2,13.92
临沧,O3,60.29
临沧,PM10,54.92
临沧,PM2.5,33.25
临沧,SO2,9.29
丹东,AQI,65.12
丹东,CO,1.58
丹东,NO2,28.04
丹东,O3,65.58
丹东,PM10,79.54
丹东,PM2.5,39.54
丹东,SO2,25.29
丽水,AQI,30.17
丽水,CO,0.88
丽水,NO2,20.42
丽水,O3,47.5
丽水,PM10,28.92
丽水,PM2.5,17.92
丽水,SO2,3.04
丽江,AQI,27.58
丽江,CO,0.71
丽江,NO2,9.71
丽江,O3,65.0
丽江,PM10,26.38
丽江,PM2.5,16.21
丽江,SO2,8.17
义乌,AQI,49.88
义乌,CO,0.76
义乌,NO2,31.0
义乌,O3,46.12
义乌,PM10,44.3
义乌,PM2.5,35.75
义乌,SO2,10.29
乌兰察布,AQI,54.5
乌兰察布,CO,0.54
乌兰察布,NO2,31.96
乌兰察布,O3,57.12
乌兰察布,PM10,60.12
乌兰察布,PM2.5,31.92
乌兰察布,SO2,25.21
乌海,AQI,116.46
乌海,CO,1.42
乌海,NO2,42.54
乌海,O3,64.33
乌海,PM10,139.29
乌海,PM2.5,87.58
乌海,SO2,136.38
乌鲁木齐,AQI,57.29
乌鲁木齐,CO,0.95
乌鲁木齐,NO2,39.92
乌鲁木齐,O3,31.42
乌鲁木齐,PM10,66.46
乌鲁木齐,PM2.5,32.04
乌鲁木齐,SO2,8.29
乐山,AQI,110.46
乐山,CO,1.48
乐山,NO2,44.25
乐山,O3,66.54
乐山,PM10,125.46
乐山,PM2.5,83.25
乐山,SO2,22.92
九江,AQI,43.0
九江,CO,0.78
九江,NO2,15.58
九江,O3,39.5
九江,PM10,40.92
九江,PM2.5,26.96
九江,SO2,29.79
乳山,AQI,56.25
乳山,CO,0.82
乳山,NO2,11.88
乳山,O3,60.25
乳山,PM10,63.54
乳山,PM2.5,20.21
乳山,SO2,28.12
云浮,AQI,50.62
云浮,CO,0.96
云浮,NO2,19.42
云浮,O3,12.12
云浮,PM10,47.46
云浮,PM2.5,33.38
云浮,SO2,13.04
五家渠,AQI,61.88
五家渠,CO,1.15
五家渠,NO2,22.12
五家渠,O3,49.26
五家渠,PM10,61.21
五家渠,PM2.5,39.33
五家渠,SO2,9.5
亳州,AQI,34.67
亳州,CO,0.44
亳州,NO2,22.42
亳州,O3,78.21
亳州,PM10,34.08
亳州,PM2.5,18.38
亳州,SO2,17.12
伊春,AQI,26.33
伊春,CO,0.38
伊春,NO2,13.96
伊春,O3,59.5
伊春,PM10,19.36
伊春,PM2.5,9.88
伊春,SO2,3.5
伊犁哈萨克州,AQI,53.54
伊犁哈萨克州,CO,1.08
伊犁哈萨克州,NO2,27.25
伊犁哈萨克州,O3,37.92
伊犁哈萨克州,PM10,62.67
伊犁哈萨克州,PM2.5,19.62
伊犁哈萨克州,SO2,16.54
佛山,AQI,40.92
佛山,CO,0.7
佛山,NO2,32.12
佛山,O3,26.79
佛山,PM10,38.04
佛山,PM2.5,27.62
佛山,SO2,9.0
