city,type,value
七台河,AQI,77.79
七台河,CO,0.39
七台河,NO2,41.21
七台河,O3,95.36
七台河,PM10,103.86
七台河,PM2.5,42.79
七台河,SO2,6.86
三亚,AQI,32.14
三亚,CO,0.89
三亚,NO2,15.07
三亚,O3,98.71
三亚,PM10,23.29
三亚,PM2.5,11.43
三亚,SO2,2.36
三明,AQI,18.79
三明,CO,0.77
三明,NO2,22.57
三明,O3,21.57
三明,PM10,18.79
三明,PM2.5,6.79
三明,SO2,6.93
三门峡,AQI,263.64
三门峡,CO,1.24
三门峡,NO2,43.5
三门峡,O3,32.71
三门峡,PM10,353.0
三门峡,PM2.5,70.21
三门峡,SO2,17.86
上海,AQI,61.29
上海,CO,0.91
上海,NO2,66.36
上海,O3,26.0
上海,PM10,62.93
上海,PM2.5,42.36
上海,SO2,15.64
上饶,AQI,51.46
上饶,CO,0.88
上饶,NO2,30.23
上饶,O3,34.38
上饶,PM10,54.77
上饶,PM2.5,30.92
上饶,SO2,6.69
东莞,AQI,17.86
东莞,CO,0.84
东莞,NO2,25.57
东莞,O3,22.64
东莞,PM10,16.21
东莞,PM2.5,11.14
东莞,SO2,9.79
东营,AQI,98.71
东营,CO,1.07
东营,NO2,41.93
东营,O3,38.79
东营,PM10,135.79
东营,PM2.5,67.43
东营,SO2,48.36
中卫,AQI,268.85
中卫,CO,0.63
中卫,NO2,16.46
中卫,O3,53.69
中卫,PM10,521.46
中卫,PM2.5,95.62
中卫,SO2,10.15
中山,AQI,23.29
中山,CO,0.88
中山,NO2,36.71
中山,O3,15.0
中山,PM10,19.92
中山,PM2.5,15.0
中山,SO2,8.0
临夏州,AQI,100.15
临夏州,CO,2.8
临夏州,NO2,68.15
临夏州,O3,44.38
临夏州,PM10,140.0
临夏州,PM2.5,69.31
临夏州,SO2,40.85
临安,AQI,39.71
临安,CO,0.61
临安,NO2,15.14
临安,O3,33.43
临安,PM10,40.21
临安,PM2.5,19.07
临安,SO2,4.07
临汾,AQI,175.79
临汾,CO,3.06
临汾,NO2,56.57
临汾,O3,26.71
临汾,PM10,246.79
临汾,PM2.5,125.14
临汾,SO2,221.5
临沂,AQI,73.71
临沂,CO,0.87
临沂,NO2,46.64
临沂,O3,39.21
临沂,PM10,95.29
临沂,PM2.5,49.36
临沂,SO2,25.21
临沧,AQI,29.92
临沧,CO,0.55
临沧,NO2,11.31
临沧,O3,38.54
临沧,PM10,27.23
临沧,PM2.5,13.08
临沧,SO2,10.15
丹东,AQI,64.21
丹东,CO,0.87
丹东,NO2,19.79
丹东,O3,54.07
丹东,PM10,76.86
丹东,PM2.5,34.57
丹东,SO2,19.57
丽水,AQI,28.86
丽水,CO,0.66
丽水,NO2,23.29
丽水,O3,26.0
丽水,PM10,27.14
丽水,PM2.5,18.93
丽水,SO2,10.71
丽江,AQI,27.38
丽江,CO,1.58
丽江,NO2,7.46
丽江,O3,76.85
丽江,PM10,17.91
丽江,PM2.5,12.92
丽江,SO2,13.08
义乌,AQI,51.86
义乌,CO,1.01
义乌,NO2,43.0
义乌,O3,12.43
义乌,PM10,53.14
义乌,PM2.5,32.79
义乌,SO2,26.79
乌兰察布,AQI,59.07
乌兰察布,CO,0.37
乌兰察布,NO2,24.64
乌兰察布,O3,71.0
乌兰察布,PM10,69.29
乌兰察布,PM2.5,21.93
乌兰察布,SO2,23.36
乌海,AQI,99.36
乌海,CO,0.89
乌海,NO2,29.64
乌海,O3,68.21
乌海,PM10,148.36
乌海,PM2.5,38.57
乌海,SO2,12.07
乌鲁木齐,AQI,89.0
乌鲁木齐,CO,1.69
乌鲁木齐,NO2,59.0
乌鲁木齐,O3,19.07
乌鲁木齐,PM10,87.71
乌鲁木齐,PM2.5,66.14
乌鲁木齐,SO2,12.36
乐山,AQI,77.23
乐山,CO,0.7
乐山,NO2,28.23
乐山,O3,54.62
乐山,PM10,82.54
乐山,PM2.5,56.38
乐山,SO2,10.54
九江,AQI,49.14
九江,CO,0.7
九江,NO2,30.86
九江,O3,33.79
九江,PM10,53.21
九江,PM2.5,28.07
九江,SO2,15.57
乳山,AQI,44.0
乳山,CO,0.63
乳山,NO2,21.93
乳山,O3,58.14
乳山,PM10,43.29
乳山,PM2.5,26.64
乳山,SO2,5.57
云浮,AQI,12.93
云浮,CO,0.81
云浮,NO2,22.0
云浮,O3,28.71
云浮,PM10,11.14
云浮,PM2.5,6.21
云浮,SO2,4.43
五家渠,AQI,88.62
五家渠,CO,1.25
五家渠,NO2,27.85
五家渠,O3,23.31
五家渠,PM10,104.15
五家渠,PM2.5,65.92
五家渠,SO2,11.15
亳州,AQI,64.29
亳州,CO,0.88
亳州,NO2,21.43
亳州,O3,75.64
亳州,PM10,71.79
亳州,PM2.5,44.14
亳州,SO2,11.79
伊春,AQI,74.07
伊春,CO,0.61
伊春,NO2,20.43
伊春,O3,52.0
伊春,PM10,79.43
伊春,PM2.5,50.21
伊春,SO2,12.79
伊犁哈萨克州,AQI,122.23
伊犁哈萨克州,CO,2.5
伊犁哈萨克州,NO2,71.0
伊犁哈萨克州,O3,27.77
伊犁哈萨克州,PM10,144.77
伊犁哈萨克州,PM2.5,91.23
伊犁哈萨克州,SO2,50.92
佛山,AQI,27.64
佛山,CO,0.82
佛山,NO2,37.93
佛山,O3,11.0
佛山,PM10,26.5
佛山,PM2.5,17.0
佛山,SO2,7.93
佳木斯,AQI,193.0
佳木斯,CO,1.22
佳木斯,NO2,52.71
佳木斯,O3,36.71
佳木斯,PM10,191.71
佳木斯,PM2.5,153.71
佳木斯,SO2,29.36
保定,AQI,165.5
保定,CO,1.26
保定,NO2,65.86
保定,O3,22.07
保定,PM10,220.21
保定,PM2.5,114.5
保定,SO2,20.57
保山,AQI,32.69
保山,CO,1.02
保山,NO2,11.92
保山,O3,63.77
保山,PM10,30.85
保山,PM2.5,15.38
保山,SO2,9.92
信阳,AQI,51.71
信阳,CO,0.32
信阳,NO2,13.71
信阳,O3,66.21
信阳,PM10,51.43
信阳,PM2.5,34.57
信阳,SO2,9.14
克州,AQI,126.54
克州,CO,1.5
克州,NO2,34.54
克州,O3,66.31
克州,PM10,202.46
克州,PM2.5,48.38
克州,SO2,5.69
克拉玛依,AQI,51.64
克拉玛依,CO,1.18
克拉玛依,NO2,20.29
克拉玛依,O3,29.36
克拉玛依,PM10,56.79
克拉玛依,PM2.5,31.93
克拉玛依,SO2,11.86
六安,AQI,44.14
六安,CO,0.51
六安,NO2,37.93
六安,O3,59.07
六安,PM10,44.57
六安,PM2.5,27.71
六安,SO2,15.64
六盘水,AQI,64.92
六盘水,CO,0.86
六盘水,NO2,39.38
六盘水,O3,49.15
六盘水,PM10,77.85
六盘水,PM2.5,43.0
六盘水,SO2,38.0
兰州,AQI,474.29
兰州,CO,2.01
兰州,NO2,94.0
兰州,O3,41.14
兰州,PM10,1029.14
兰州,PM2.5,212.36
兰州,SO2,32.64
兴安盟,AQI,84.07
兴安盟,CO,0.83
兴安盟,NO2,26.79
兴安盟,O3,37.36
兴安盟,PM10,75.5
兴安盟,PM2.5,60.79
兴安盟,SO2,9.64
内江,AQI,49.31
内江,CO,0.5
内江,NO2,23.54
内江,O3,62.0
内江,PM10,51.23
内江,PM2.5,32.0
内江,SO2,12.92
凉山州,AQI,36.15
凉山州,CO,0.86
凉山州,NO2,21.46
凉山州,O3,60.77
凉山州,PM10,35.85
凉山州,PM2.5,23.85
凉山州,SO2,24.92
包头,AQI,121.5
包头,CO,1.45
包头,NO2,42.71
包头,O3,47.86
包头,PM10,186.57
包头,PM2.5,49.43
包头,SO2,25.93
北京,AQI,185.36
北京,CO,1.57
北京,NO2,67.79
北京,O3,10.0
北京,PM10,170.29
北京,PM2.5,143.43
北京,SO2,8.14
北海,AQI,13.93
北海,CO,0.99
北海,NO2,10.79
北海,O3,40.14
北海,PM10,11.93
北海,PM2.5,6.86
北海,SO2,9.36
十堰,AQI,42.77
十堰,CO,1.06
十堰,NO2,30.15
十堰,O3,30.62
十堰,PM10,44.15
十堰,PM2.5,24.62
十堰,SO2,10.54
南京,AQI,48.5
南京,CO,0.95
南京,NO2,38.29
南京,O3,52.86
南京,PM10,51.43
南京,PM2.5,23.36
南京,SO2,12.79
南充,AQI,55.93
南充,CO,0.73
南充,NO2,38.43
南充,O3,28.64
南充,PM10,55.64
南充,PM2.5,39.14
南充,SO2,14.21
南宁,AQI,21.36
南宁,CO,0.84
南宁,NO2,28.71
南宁,O3,25.5
南宁,PM10,21.07
南宁,PM2.5,11.93
南宁,SO2,10.29
南平,AQI,15.0
南平,CO,0.58
南平,NO2,17.43
南平,O3,31.07
南平,PM10,14.71
南平,PM2.5,7.29
南平,SO2,10.64
南昌,AQI,48.79
南昌,CO,0.73
南昌,NO2,39.57
南昌,O3,39.0
南昌,PM10,50.36
南昌,PM2.5,23.43
南昌,SO2,29.29
南通,AQI,63.43
南通,CO,0.84
南通,NO2,52.14
南通,O3,35.07
南通,PM10,58.5
南通,PM2.5,45.57
南通,SO2,26.79
南阳,AQI,67.23
南阳,CO,0.88
南阳,NO2,20.85
南阳,O3,60.46
南阳,PM10,83.85
南阳,PM2.5,39.46
南阳,SO2,24.54
博州,AQI,71.31
博州,CO,2.66
博州,NO2,32.23
博州,O3,27.0
博州,PM10,91.77
博州,PM2.5,38.92
博州,SO2,16.85
即墨,AQI,68.5
即墨,CO,0.59
即墨,NO2,43.71
即墨,O3,37.36
即墨,PM10,86.57
即墨,PM2.5,40.5
即墨,SO2,8.71
厦门,AQI,37.0
厦门,CO,0.57
厦门,NO2,39.71
厦门,O3,42.43
厦门,PM10,38.43
厦门,PM2.5,19.14
厦门,SO2,11.5
双鸭山,AQI,61.86
双鸭山,CO,0.63
双鸭山,NO2,18.07
