city,type,value
七台河,AQI,61.17
七台河,CO,0.39
七台河,NO2,29.42
七台河,O3,125.83
七台河,PM10,75.33
七台河,PM2.5,30.04
七台河,SO2,6.79
三亚,AQI,35.54
三亚,CO,0.6
三亚,NO2,12.71
三亚,O3,77.58
三亚,PM10,33.54
三亚,PM2.5,17.29
三亚,SO2,2.62
三明,AQI,49.38
三明,CO,0.97
三明,NO2,33.17
三明,O3,66.75
三明,PM10,50.33
三明,PM2.5,26.25
三明,SO2,12.04
三门峡,AQI,62.5
三门峡,CO,1.29
三门峡,NO2,61.88
三门峡,O3,53.33
三门峡,PM10,73.92
三门峡,PM2.5,32.5
三门峡,SO2,20.08
上海,AQI,49.17
上海,CO,0.56
上海,NO2,29.46
上海,O3,121.25
上海,PM10,48.92
上海,PM2.5,22.38
上海,SO2,10.0
上饶,AQI,79.92
上饶,CO,0.82
上饶,NO2,35.83
上饶,O3,120.0
上饶,PM10,78.67
上饶,PM2.5,48.08
上饶,SO2,66.62
东莞,AQI,69.33
东莞,CO,0.89
东莞,NO2,39.92
东莞,O3,106.88
东莞,PM10,63.79
东莞,PM2.5,48.54
东莞,SO2,12.04
东营,AQI,101.04
东营,CO,1.01
东营,NO2,30.38
东营,O3,160.38
东营,PM10,119.21
东营,PM2.5,60.96
东营,SO2,67.21
中卫,AQI,47.38
中卫,CO,0.61
中卫,NO2,15.62
中卫,O3,114.04
中卫,PM10,47.88
中卫,PM2.5,22.42
中卫,SO2,11.46
中山,AQI,48.25
中山,CO,0.71
中山,NO2,19.83
中山,O3,105.46
中山,PM10,42.46
中山,PM2.5,30.25
中山,SO2,7.58
临夏州,AQI,49.33
临夏州,CO,0.59
临夏州,NO2,17.21
临夏州,O3,68.08
临夏州,PM10,51.88
临夏州,PM2.5,26.25
临夏州,SO2,16.25
临安,AQI,71.75
临安,CO,0.72
临安,NO2,26.71
临安,O3,69.75
临安,PM10,90.62
临安,PM2.5,41.08
临安,SO2,18.25
临汾,AQI,89.04
临汾,CO,1.38
临汾,NO2,39.83
临汾,O3,118.75
临汾,PM10,99.0
临汾,PM2.5,55.33
临汾,SO2,31.46
临沂,AQI,101.17
临沂,CO,1.25
临沂,NO2,40.17
临沂,O3,170.88
临沂,PM10,124.54
临沂,PM2.5,53.79
临沂,SO2,33.5
临沧,AQI,19.75
临沧,CO,0.78
临沧,NO2,10.0
临沧,O3,45.92
临沧,PM10,17.92
临沧,PM2.5,12.17
临沧,SO2,14.29
丹东,AQI,63.08
丹东,CO,0.85
丹东,NO2,17.0
丹东,O3,128.79
丹东,PM10,72.92
丹东,PM2.5,33.71
丹东,SO2,12.17
丽水,AQI,50.04
丽水,CO,0.38
丽水,NO2,14.42
丽水,O3,103.0
丽水,PM10,51.5
丽水,PM2.5,24.96
丽水,SO2,8.75
丽江,AQI,28.46
丽江,CO,0.6
丽江,NO2,10.17
丽江,O3,76.5
丽江,PM10,24.58
丽江,PM2.5,14.75
丽江,SO2,9.12
义乌,AQI,53.25
义乌,CO,0.5
义乌,NO2,28.25
义乌,O3,98.08
义乌,PM10,53.46
义乌,PM2.5,28.25
义乌,SO2,15.83
乌兰察布,AQI,56.62
乌兰察布,CO,0.42
乌兰察布,NO2,22.92
乌兰察布,O3,129.75
乌兰察布,PM10,45.42
乌兰察布,PM2.5,15.88
乌兰察布,SO2,18.79
乌海,AQI,113.79
乌海,CO,1.21
乌海,NO2,37.71
乌海,O3,96.79
乌海,PM10,177.21
乌海,PM2.5,61.33
乌海,SO2,73.58
乌鲁木齐,AQI,85.54
乌鲁木齐,CO,0.78
乌鲁木齐,NO2,25.79
乌鲁木齐,O3,66.71
乌鲁木齐,PM10,120.62
乌鲁木齐,PM2.5,38.62
乌鲁木齐,SO2,9.33
乐山,AQI,78.62
乐山,CO,0.61
乐山,NO2,20.33
乐山,O3,163.33
乐山,PM10,61.42
乐山,PM2.5,47.58
乐山,SO2,7.79
九江,AQI,67.25
九江,CO,0.62
九江,NO2,32.08
九江,O3,104.29
九江,PM10,82.83
九江,PM2.5,41.38
九江,SO2,27.33
乳山,AQI,57.33
乳山,CO,0.55
乳山,NO2,17.21
乳山,O3,146.21
乳山,PM10,54.71
乳山,PM2.5,24.92
乳山,SO2,11.17
云浮,AQI,87.08
云浮,CO,0.89
云浮,NO2,42.04
云浮,O3,84.92
云浮,PM10,100.12
云浮,PM2.5,61.62
云浮,SO2,18.33
五家渠,AQI,64.88
五家渠,CO,0.58
五家渠,NO2,10.5
五家渠,O3,69.67
五家渠,PM10,90.0
五家渠,PM2.5,43.46
五家渠,SO2,9.12
亳州,AQI,64.75
亳州,CO,0.89
亳州,NO2,17.46
亳州,O3,127.38
亳州,PM10,77.75
亳州,PM2.5,35.29
亳州,SO2,11.38
伊春,AQI,64.42
伊春,CO,0.54
伊春,NO2,10.46
伊春,O3,157.21
伊春,PM10,61.42
伊春,PM2.5,32.5
伊春,SO2,10.71
伊犁哈萨克州,AQI,71.62
伊犁哈萨克州,CO,0.85
伊犁哈萨克州,NO2,18.58
伊犁哈萨克州,O3,68.75
伊犁哈萨克州,PM10,86.21
伊犁哈萨克州,PM2.5,37.88
伊犁哈萨克州,SO2,11.5
佛山,AQI,91.0
佛山,CO,0.89
佛山,NO2,49.88
佛山,O3,115.29
佛山,PM10,89.67
佛山,PM2.5,60.42
佛山,SO2,14.25
佳木斯,AQI,56.12
佳木斯,CO,0.58
佳木斯,NO2,14.96
佳木斯,O3,145.88
佳木斯,PM10,61.12
佳木斯,PM2.5,32.21
佳木斯,SO2,12.08
保定,AQI,158.46
保定,CO,1.32
保定,NO2,60.33
保定,O3,141.67
保定,PM10,201.67
保定,PM2.5,115.42
保定,SO2,37.0
保山,AQI,34.88
保山,CO,1.25
保山,NO2,18.54
保山,O3,59.38
保山,PM10,32.71
保山,PM2.5,19.12
保山,SO2,8.33
信阳,AQI,70.71
信阳,CO,0.66
信阳,NO2,17.38
信阳,O3,156.62
信阳,PM10,60.5
信阳,PM2.5,39.58
信阳,SO2,9.04
克州,AQI,73.79
克州,CO,0.44
克州,NO2,9.5
克州,O3,169.83
克州,PM10,38.43
克州,PM2.5,19.54
克州,SO2,7.83
克拉玛依,AQI,45.58
克拉玛依,CO,0.8
克拉玛依,NO2,9.33
克拉玛依,O3,83.79
克拉玛依,PM10,47.96
克拉玛依,PM2.5,15.29
克拉玛依,SO2,5.62
六安,AQI,70.71
六安,CO,0.74
六安,NO2,38.5
六安,O3,135.46
六安,PM10,79.83
六安,PM2.5,46.71
六安,SO2,8.08
六盘水,AQI,61.42
六盘水,CO,0.35
六盘水,NO2,20.88
六盘水,O3,86.17
六盘水,PM10,72.29
六盘水,PM2.5,37.04
六盘水,SO2,14.21
兰州,AQI,58.25
兰州,CO,0.59
兰州,NO2,45.17
兰州,O3,82.08
兰州,PM10,67.38
兰州,PM2.5,34.0
兰州,SO2,11.46
兴安盟,AQI,79.04
兴安盟,CO,0.51
兴安盟,NO2,16.67
兴安盟,O3,94.58
兴安盟,PM10,107.71
兴安盟,PM2.5,30.12
兴安盟,SO2,4.83
内江,AQI,73.75
内江,CO,0.49
内江,NO2,26.54
内江,O3,126.88
内江,PM10,83.92
内江,PM2.5,52.75
内江,SO2,22.79
凉山州,AQI,32.12
凉山州,CO,0.83
凉山州,NO2,19.17
凉山州,O3,80.88
凉山州,PM10,31.21
凉山州,PM2.5,19.29
凉山州,SO2,17.67
包头,AQI,84.92
包头,CO,0.86
包头,NO2,47.96
包头,O3,89.96
包头,PM10,114.17
包头,PM2.5,45.42
包头,SO2,19.88
北京,AQI,120.58
北京,CO,0.83
北京,NO2,52.46
北京,O3,166.12
北京,PM10,146.0
北京,PM2.5,80.62
北京,SO2,10.54
北海,AQI,64.17
北海,CO,0.96
北海,NO2,13.38
北海,O3,82.29
北海,PM10,68.88
北海,PM2.5,39.75
北海,SO2,8.58
十堰,AQI,53.92
十堰,CO,0.99
十堰,NO2,32.0
十堰,O3,75.88
十堰,PM10,53.38
十堰,PM2.5,36.46
十堰,SO2,26.67
南京,AQI,73.42
南京,CO,0.82
南京,NO2,33.0
南京,O3,147.25
南京,PM10,69.17
南京,PM2.5,31.92
南京,SO2,16.54
南充,AQI,107.92
南充,CO,0.85
南充,NO2,27.83
南充,O3,81.88
南充,PM10,113.33
南充,PM2.5,80.92
