city,type,value
七台河,AQI,38.71
七台河,CO,0.43
七台河,NO2,35.04
七台河,O3,44.04
七台河,PM10,42.7
七台河,PM2.5,16.5
七台河,SO2,12.46
三亚,AQI,19.71
三亚,CO,0.42
三亚,NO2,9.33
三亚,O3,32.08
三亚,PM10,19.71
三亚,PM2.5,9.17
三亚,SO2,2.67
三明,AQI,38.29
三明,CO,1.07
三明,NO2,22.42
三明,O3,47.42
三明,PM10,38.5
三明,PM2.5,17.88
三明,SO2,13.38
三门峡,AQI,55.75
三门峡,CO,0.68
三门峡,NO2,17.42
三门峡,O3,107.0
三门峡,PM10,54.79
三门峡,PM2.5,29.25
三门峡,SO2,9.08
上海,AQI,76.71
上海,CO,0.66
上海,NO2,32.25
上海,O3,156.5
上海,PM10,65.88
上海,PM2.5,37.5
上海,SO2,13.62
上饶,AQI,52.5
上饶,CO,0.8
上饶,NO2,20.08
上饶,O3,49.42
上饶,PM10,55.46
上饶,PM2.5,29.25
上饶,SO2,55.71
东莞,AQI,36.83
东莞,CO,0.87
东莞,NO2,37.83
东莞,O3,36.38
东莞,PM10,36.58
东莞,PM2.5,22.25
东莞,SO2,11.58
东营,AQI,70.79
东营,CO,1.16
东营,NO2,31.38
东营,O3,94.38
东营,PM10,88.58
东营,PM2.5,46.42
东营,SO2,24.75
中卫,AQI,84.96
中卫,CO,0.52
中卫,NO2,9.79
中卫,O3,109.0
中卫,PM10,107.08
中卫,PM2.5,29.83
中卫,SO2,8.75
中山,AQI,32.88
中山,CO,0.81
中山,NO2,24.33
中山,O3,20.21
中山,PM10,32.92
中山,PM2.5,16.58
中山,SO2,7.46
临夏州,AQI,72.92
临夏州,CO,0.66
临夏州,NO2,9.58
临夏州,O3,88.12
临夏州,PM10,96.62
临夏州,PM2.5,26.12
临夏州,SO2,16.67
临安,AQI,30.54
临安,CO,0.52
临安,NO2,12.58
临安,O3,34.67
临安,PM10,30.54
临安,PM2.5,15.08
临安,SO2,14.67
临汾,AQI,79.12
临汾,CO,1.15
临汾,NO2,10.5
临汾,O3,129.58
临汾,PM10,77.17
临汾,PM2.5,48.83
临汾,SO2,28.42
临沂,AQI,60.38
临沂,CO,0.86
临沂,NO2,30.17
临沂,O3,92.33
临沂,PM10,70.38
临沂,PM2.5,24.04
临沂,SO2,16.04
临沧,AQI,28.96
临沧,CO,0.57
临沧,NO2,10.46
临沧,O3,27.96
临沧,PM10,26.88
临沧,PM2.5,13.75
临沧,SO2,10.54
丹东,AQI,46.12
丹东,CO,0.73
丹东,NO2,10.25
丹东,O3,87.29
丹东,PM10,42.04
丹东,PM2.5,31.08
丹东,SO2,3.0
丽水,AQI,46.75
丽水,CO,0.51
丽水,NO2,19.29
丽水,O3,89.75
丽水,PM10,44.75
丽水,PM2.5,24.29
丽水,SO2,10.21
丽江,AQI,29.54
丽江,CO,0.44
丽江,NO2,11.25
丽江,O3,71.75
丽江,PM10,26.33
丽江,PM2.5,11.5
丽江,SO2,13.71
义乌,AQI,53.54
义乌,CO,0.57
义乌,NO2,33.21
义乌,O3,66.83
义乌,PM10,57.0
义乌,PM2.5,25.42
义乌,SO2,16.96
乌兰察布,AQI,53.08
乌兰察布,CO,0.59
乌兰察布,NO2,20.04
乌兰察布,O3,121.29
乌兰察布,PM10,58.79
乌兰察布,PM2.5,32.75
乌兰察布,SO2,21.88
乌海,AQI,57.33
乌海,CO,0.43
乌海,NO2,9.0
乌海,O3,111.54
乌海,PM10,66.79
乌海,PM2.5,35.25
乌海,SO2,10.08
乌鲁木齐,AQI,61.0
乌鲁木齐,CO,0.69
乌鲁木齐,NO2,31.0
乌鲁木齐,O3,79.29
乌鲁木齐,PM10,74.0
乌鲁木齐,PM2.5,15.17
乌鲁木齐,SO2,7.25
乐山,AQI,38.04
乐山,CO,0.78
乐山,NO2,24.67
乐山,O3,67.17
乐山,PM10,33.38
乐山,PM2.5,23.12
乐山,SO2,8.0
九江,AQI,41.62
九江,CO,0.43
九江,NO2,11.46
九江,O3,72.5
九江,PM10,43.46
九江,PM2.5,17.88
九江,SO2,31.29
乳山,AQI,41.88
乳山,CO,0.51
乳山,NO2,8.79
乳山,O3,103.46
乳山,PM10,40.46
乳山,PM2.5,23.42
乳山,SO2,2.25
云浮,AQI,34.83
云浮,CO,0.62
云浮,NO2,22.0
云浮,O3,43.46
云浮,PM10,34.38
云浮,PM2.5,15.67
云浮,SO2,11.21
五家渠,AQI,52.58
五家渠,CO,0.58
五家渠,NO2,20.75
五家渠,O3,72.25
五家渠,PM10,58.75
五家渠,PM2.5,12.42
五家渠,SO2,8.67
亳州,AQI,48.38
亳州,CO,0.8
亳州,NO2,20.38
亳州,O3,104.08
亳州,PM10,49.42
亳州,PM2.5,20.96
亳州,SO2,10.88
伊春,AQI,18.46
伊春,CO,0.35
伊春,NO2,9.5
伊春,O3,26.67
伊春,PM10,17.38
伊春,PM2.5,7.0
伊春,SO2,8.12
伊犁哈萨克州,AQI,57.88
伊犁哈萨克州,CO,0.94
伊犁哈萨克州,NO2,24.83
伊犁哈萨克州,O3,77.29
伊犁哈萨克州,PM10,64.54
伊犁哈萨克州,PM2.5,26.17
伊犁哈萨克州,SO2,9.88
佛山,AQI,46.0
佛山,CO,0.82
佛山,NO2,42.25
佛山,O3,34.46
佛山,PM10,46.83
佛山,PM2.5,26.88
佛山,SO2,14.0
佳木斯,AQI,31.17
佳木斯,CO,0.48
佳木斯,NO2,22.67
佳木斯,O3,29.75
佳木斯,PM10,31.17
佳木斯,PM2.5,13.12
佳木斯,SO2,10.75
保定,AQI,110.0
保定,CO,0.82
保定,NO2,31.67
保定,O3,111.71
保定,PM10,126.75
保定,PM2.5,82.92
保定,SO2,23.58
保山,AQI,30.08
保山,CO,0.86
保山,NO2,12.79
保山,O3,27.25
保山,PM10,30.29
保山,PM2.5,12.75
保山,SO2,5.67
信阳,AQI,38.08
信阳,CO,0.43
信阳,NO2,9.83
信阳,O3,73.67
信阳,PM10,38.08
信阳,PM2.5,18.04
信阳,SO2,12.38
克州,AQI,52.75
克州,CO,0.9
克州,NO2,10.04
克州,O3,133.29
克州,PM10,54.71
克州,PM2.5,11.71
克州,SO2,3.17
克拉玛依,AQI,39.33
克拉玛依,CO,0.84
克拉玛依,NO2,13.38
克拉玛依,O3,99.96
克拉玛依,PM10,37.96
克拉玛依,PM2.5,15.71
克拉玛依,SO2,5.21
六安,AQI,40.67
六安,CO,0.35
六安,NO2,22.38
六安,O3,80.96
六安,PM10,40.96
六安,PM2.5,21.42
六安,SO2,11.62
六盘水,AQI,42.33
六盘水,CO,0.36
六盘水,NO2,20.58
六盘水,O3,46.21
六盘水,PM10,42.83
六盘水,PM2.5,17.21
六盘水,SO2,14.46
兰州,AQI,147.58
兰州,CO,0.63
兰州,NO2,21.54
兰州,O3,102.54
兰州,PM10,214.92
兰州,PM2.5,71.38
兰州,SO2,9.29
兴安盟,AQI,31.46
兴安盟,CO,0.45
兴安盟,NO2,23.25
兴安盟,O3,45.58
兴安盟,PM10,30.17
兴安盟,PM2.5,10.42
兴安盟,SO2,5.88
内江,AQI,41.75
内江,CO,0.38
内江,NO2,18.92
内江,O3,87.96
内江,PM10,34.42
内江,PM2.5,21.5
内江,SO2,10.58
凉山州,AQI,43.42
凉山州,CO,0.85
凉山州,NO2,28.62
凉山州,O3,47.67
凉山州,PM10,44.0
凉山州,PM2.5,29.21
凉山州,SO2,26.21
包头,AQI,66.12
包头,CO,0.66
包头,NO2,23.5
包头,O3,83.04
包头,PM10,80.67
包头,PM2.5,37.04
包头,SO2,8.92
北京,AQI,127.25
北京,CO,0.78
北京,NO2,31.04
北京,O3,106.58
北京,PM10,114.17
北京,PM2.5,96.62
北京,SO2,2.46
北海,AQI,27.04
北海,CO,0.89
北海,NO2,6.88
北海,O3,37.5
北海,PM10,27.21
北海,PM2.5,6.62
北海,SO2,8.21
十堰,AQI,36.5
十堰,CO,0.66
十堰,NO2,19.38
十堰,O3,58.25
十堰,PM10,35.38
十堰,PM2.5,18.71
十堰,SO2,15.33
南京,AQI,44.42
南京,CO,1.1
南京,NO2,39.25
南京,O3,77.29
南京,PM10,45.17
南京,PM2.5,13.5
南京,SO2,17.46
南充,AQI,54.54
南充,CO,0.58
南充,NO2,26.96
南充,O3,87.0
南充,PM10,58.04
南充,PM2.5,35.96
南充,SO2,14.79
南宁,AQI,24.79
南宁,CO,0.91
南宁,NO2,20.92
南宁,O3,25.79
南宁,PM10,24.71
南宁,PM2.5,11.79
南宁,SO2,6.25
南平,AQI,31.71
南平,CO,0.65
南平,NO2,13.88
南平,O3,38.29
南平,PM10,30.46
南平,PM2.5,11.46
南平,SO2,5.25
南昌,AQI,42.79
南昌,CO,0.73
南昌,NO2,16.96
南昌,O3,62.5
南昌,PM10,43.54
南昌,PM2.5,16.04
南昌,SO2,19.88
南通,AQI,55.88
南通,CO,0.77
南通,NO2,59.04
南通,O3,85.5
南通,PM10,58.5
南通,PM2.5,30.33
南通,SO2,30.67
南阳,AQI,48.92
南阳,CO,0.85
南阳,NO2,13.38
南阳,O3,101.71
南阳,PM10,51.08
南阳,PM2.5,26.38
南阳,SO2,15.92
博州,AQI,35.17
博州,CO,0.7
博州,NO2,16.0
博州,O3,79.88
博州,PM10,31.33
博州,PM2.5,14.67
博州,SO2,10.46
即墨,AQI,61.33
即墨,CO,0.57
即墨,NO2,15.67
即墨,O3,140.79
即墨,PM10,64.29
即墨,PM2.5,32.0
即墨,SO2,3.71
厦门,AQI,34.29
厦门,CO,0.44
厦门,NO2,25.08
厦门,O3,48.38
厦门,PM10,35.96
厦门,PM2.5,17.04
厦门,SO2,11.42
双鸭山,AQI,37.04
双鸭山,CO,1.04
双鸭山,NO2,21.54
双鸭山,O3,26.71
双鸭山,PM10,38.67
双鸭山,PM2.5,16.08
双鸭山,SO2,19.46
句容,AQI,42.42
句容,CO,0.68
句容,NO2,24.0
句容,O3,68.42
句容,PM10,42.38
句容,PM2.5,15.29
句容,SO2,10.67
台州,AQI,48.71
台州,CO,0.65
台州,NO2,19.62
台州,O3,84.5
台州,PM10,51.12
台州,PM2.5,25.04
台州,SO2,7.42
合肥,AQI,50.46
合肥,CO,0.53
合肥,NO2,22.71
合肥,O3,98.58
合肥,PM10,53.38
合肥,PM2.5,27.92
合肥,SO2,8.83
吉安,AQI,28.25
吉安,CO,0.46
吉安,NO2,8.29
吉安,O3,41.04
吉安,PM10,27.75
吉安,PM2.5,17.75
吉安,SO2,15.54
吉林,AQI,44.75
吉林,CO,0.72
吉林,NO2,17.08
吉林,O3,64.83
吉林,PM10,40.42
吉林,PM2.5,28.04
吉林,SO2,8.92
吐鲁番地区,AQI,58.83
吐鲁番地区,CO,0.8
吐鲁番地区,NO2,29.96
吐鲁番地区,O3,102.08
吐鲁番地区,PM10,68.71
吐鲁番地区,PM2.5,23.62
吐鲁番地区,SO2,5.21
吕梁,AQI,79.12
吕梁,CO,1.42
吕梁,NO2,35.25
吕梁,O3,74.04
吕梁,PM10,96.83
吕梁,PM2.5,51.0
吕梁,SO2,37.79
吴忠,AQI,118.25
吴忠,CO,0.85
吴忠,NO2,10.29
吴忠,O3,101.12
吴忠,PM10,163.71
吴忠,PM2.5,54.58
吴忠,SO2,18.17
吴江,AQI,51.42
吴江,CO,0.68
吴江,NO2,24.12
吴江,O3,108.25
吴江,PM10,53.42
吴江,PM2.5,25.75
吴江,SO2,19.62
周口,AQI,40.96
周口,CO,0.78
周口,NO2,17.71
周口,O3,84.62
周口,PM10,41.17
周口,PM2.5,18.42
周口,SO2,6.96
呼伦贝尔,AQI,53.29
呼伦贝尔,CO,0.57
呼伦贝尔,NO2,21.54
呼伦贝尔,O3,38.83
呼伦贝尔,PM10,58.88
呼伦贝尔,PM2.5,13.21
呼伦贝尔,SO2,1.96
呼和浩特,AQI,86.71
呼和浩特,CO,0.79
呼和浩特,NO2,40.88
呼和浩特,O3,76.33
呼和浩特,PM10,124.17
呼和浩特,PM2.5,37.0
呼和浩特,SO2,11.54
和田地区,AQI,194.79
和田地区,CO,0.29
和田地区,NO2,10.08
和田地区,O3,96.88
和田地区,PM10,310.62
和田地区,PM2.5,50.5
和田地区,SO2,16.21
咸宁,AQI,26.29
咸宁,CO,1.14
咸宁,NO2,5.29
咸宁,O3,61.12
咸宁,PM10,21.87
咸宁,PM2.5,15.62
咸宁,SO2,6.12
咸阳,AQI,74.79
咸阳,CO,1.31
咸阳,NO2,28.0
咸阳,O3,110.42
咸阳,PM10,73.29
咸阳,PM2.5,33.46
咸阳,SO2,13.54
哈密地区,AQI,61.67
哈密地区,CO,1.52
哈密地区,NO2,23.33
哈密地区,O3,66.67
哈密地区,PM10,75.21
哈密地区,PM2.5,27.62
哈密地区,SO2,5.25
哈尔滨,AQI,40.54
哈尔滨,CO,0.58
哈尔滨,NO2,44.71
哈尔滨,O3,18.5
哈尔滨,PM10,42.67
哈尔滨,PM2.5,16.0
哈尔滨,SO2,7.58
唐山,AQI,82.58
唐山,CO,1.61
唐山,NO2,43.42
唐山,O3,104.0
唐山,PM10,97.54
唐山,PM2.5,57.25
唐山,SO2,20.62
商丘,AQI,56.62
商丘,CO,0.52
商丘,NO2,12.12
商丘,O3,94.42
商丘,PM10,62.71
商丘,PM2.5,29.46
商丘,SO2,7.79
商洛,AQI,42.0
商洛,CO,0.7
商洛,NO2,25.58
商洛,O3,68.79
商洛,PM10,40.96
商洛,PM2.5,26.46
商洛,SO2,27.58
喀什地区,AQI,74.12
喀什地区,CO,0.45
喀什地区,NO2,18.79
喀什地区,O3,122.25
喀什地区,PM10,92.08
喀什地区,PM2.5,23.29
喀什地区,SO2,11.25
嘉兴,AQI,70.17
嘉兴,CO,0.64
嘉兴,NO2,29.88
嘉兴,O3,126.25
嘉兴,PM10,63.17
嘉兴,PM2.5,34.42
