city,type,value
七台河,AQI,54.29
七台河,CO,0.76
七台河,NO2,44.29
七台河,O3,43.96
七台河,PM10,61.09
七台河,PM2.5,35.38
七台河,SO2,20.12
三亚,AQI,37.71
三亚,CO,0.54
三亚,NO2,8.88
三亚,O3,74.58
三亚,PM10,37.58
三亚,PM2.5,22.58
三亚,SO2,1.12
三明,AQI,33.38
三明,CO,0.89
三明,NO2,24.67
三明,O3,41.96
三明,PM10,28.17
三明,PM2.5,19.25
三明,SO2,9.62
三门峡,AQI,51.75
三门峡,CO,0.68
三门峡,NO2,16.5
三门峡,O3,89.75
三门峡,PM10,57.5
三门峡,PM2.5,13.04
三门峡,SO2,8.79
上海,AQI,70.79
上海,CO,0.91
上海,NO2,48.08
上海,O3,80.96
上海,PM10,78.62
上海,PM2.5,50.96
上海,SO2,16.08
上饶,AQI,70.08
上饶,CO,0.93
上饶,NO2,40.08
上饶,O3,63.71
上饶,PM10,78.08
上饶,PM2.5,50.83
上饶,SO2,23.83
东莞,AQI,42.38
东莞,CO,0.82
东莞,NO2,44.42
东莞,O3,28.67
东莞,PM10,42.48
东莞,PM2.5,24.38
东莞,SO2,8.38
东营,AQI,60.42
东营,CO,0.81
东营,NO2,19.67
东营,O3,99.42
东营,PM10,72.96
东营,PM2.5,27.62
东营,SO2,32.17
中卫,AQI,63.25
中卫,CO,0.54
中卫,NO2,23.25
中卫,O3,88.29
中卫,PM10,76.21
中卫,PM2.5,28.62
中卫,SO2,12.04
中山,AQI,36.5
中山,CO,0.76
中山,NO2,20.33
中山,O3,53.21
中山,PM10,35.5
中山,PM2.5,21.67
中山,SO2,4.92
临夏州,AQI,78.25
临夏州,CO,0.98
临夏州,NO2,15.54
临夏州,O3,55.04
临夏州,PM10,87.67
临夏州,PM2.5,49.96
临夏州,SO2,48.88
临安,AQI,96.29
临安,CO,0.77
临安,NO2,22.12
临安,O3,41.71
临安,PM10,123.83
临安,PM2.5,56.17
临安,SO2,16.62
临汾,AQI,56.25
临汾,CO,0.69
临汾,NO2,10.46
临汾,O3,111.46
临汾,PM10,61.83
临汾,PM2.5,22.71
临汾,SO2,6.83
临沂,AQI,84.5
临沂,CO,0.79
临沂,NO2,43.38
临沂,O3,77.29
临沂,PM10,118.21
临沂,PM2.5,45.71
临沂,SO2,17.0
临沧,AQI,53.79
临沧,CO,0.83
临沧,NO2,15.38
临沧,O3,72.42
临沧,PM10,40.61
临沧,PM2.5,38.0
临沧,SO2,10.62
丹东,AQI,60.29
丹东,CO,0.74
丹东,NO2,23.71
丹东,O3,69.17
丹东,PM10,73.58
丹东,PM2.5,35.58
丹东,SO2,8.79
丽水,AQI,57.12
丽水,CO,0.81
丽水,NO2,20.38
丽水,O3,66.08
丽水,PM10,51.0
丽水,PM2.5,37.67
丽水,SO2,6.62
丽江,AQI,25.75
丽江,CO,0.58
丽江,NO2,14.0
丽江,O3,79.0
丽江,PM10,20.79
丽江,PM2.5,10.83
丽江,SO2,11.17
义乌,AQI,84.92
义乌,CO,1.14
义乌,NO2,38.04
义乌,O3,67.88
义乌,PM10,101.96
义乌,PM2.5,62.5
义乌,SO2,13.75
乌兰察布,AQI,37.88
乌兰察布,CO,0.34
乌兰察布,NO2,14.29
乌兰察布,O3,106.88
乌兰察布,PM10,28.12
乌兰察布,PM2.5,9.83
乌兰察布,SO2,15.67
乌海,AQI,63.17
乌海,CO,0.87
乌海,NO2,31.83
乌海,O3,57.83
乌海,PM10,80.21
乌海,PM2.5,33.0
乌海,SO2,66.29
乌鲁木齐,AQI,75.38
乌鲁木齐,CO,0.8
乌鲁木齐,NO2,48.5
乌鲁木齐,O3,56.29
乌鲁木齐,PM10,100.46
乌鲁木齐,PM2.5,28.29
乌鲁木齐,SO2,12.88
乐山,AQI,32.62
乐山,CO,0.5
乐山,NO2,23.96
乐山,O3,77.75
乐山,PM10,30.71
乐山,PM2.5,18.38
乐山,SO2,6.25
九江,AQI,69.17
九江,CO,0.66
九江,NO2,30.25
九江,O3,46.67
九江,PM10,87.75
九江,PM2.5,26.88
九江,SO2,27.88
乳山,AQI,48.54
乳山,CO,0.71
乳山,NO2,28.79
乳山,O3,90.79
乳山,PM10,49.88
乳山,PM2.5,22.5
乳山,SO2,7.29
云浮,AQI,43.0
云浮,CO,0.83
云浮,NO2,19.17
云浮,O3,37.92
云浮,PM10,42.91
云浮,PM2.5,29.04
云浮,SO2,7.08
五家渠,AQI,89.29
五家渠,CO,1.29
五家渠,NO2,44.38
五家渠,O3,51.67
五家渠,PM10,128.79
五家渠,PM2.5,36.46
五家渠,SO2,18.79
亳州,AQI,88.83
亳州,CO,0.43
亳州,NO2,19.46
亳州,O3,81.71
亳州,PM10,127.12
亳州,PM2.5,34.08
亳州,SO2,14.58
伊春,AQI,20.92
伊春,CO,0.38
伊春,NO2,9.33
伊春,O3,54.17
伊春,PM10,14.92
伊春,PM2.5,8.54
伊春,SO2,10.96
伊犁哈萨克州,AQI,60.92
伊犁哈萨克州,CO,1.08
伊犁哈萨克州,NO2,34.25
伊犁哈萨克州,O3,79.0
伊犁哈萨克州,PM10,71.38
伊犁哈萨克州,PM2.5,31.04
伊犁哈萨克州,SO2,14.71
佛山,AQI,47.12
佛山,CO,0.8
佛山,NO2,35.29
佛山,O3,32.21
佛山,PM10,50.79
佛山,PM2.5,26.5
佛山,SO2,7.62
佳木斯,AQI,46.46
佳木斯,CO,0.58
佳木斯,NO2,34.88
佳木斯,O3,60.96
佳木斯,PM10,41.46
佳木斯,PM2.5,32.79
佳木斯,SO2,9.08
保定,AQI,60.04
保定,CO,0.49
保定,NO2,27.96
保定,O3,77.17
保定,PM10,69.38
保定,PM2.5,25.88
保定,SO2,8.79
保山,AQI,33.29
保山,CO,1.09
保山,NO2,12.08
保山,O3,81.71
保山,PM10,27.88
保山,PM2.5,18.5
保山,SO2,7.04
信阳,AQI,74.04
信阳,CO,0.7
信阳,NO2,22.83
信阳,O3,72.88
信阳,PM10,97.71
信阳,PM2.5,27.08
信阳,SO2,13.17
克州,AQI,495.79
克州,CO,1.07
克州,NO2,22.71
克州,O3,123.08
克州,PM10,746.21
克州,PM2.5,256.79
克州,SO2,5.38
克拉玛依,AQI,52.83
克拉玛依,CO,0.78
克拉玛依,NO2,23.88
克拉玛依,O3,100.29
克拉玛依,PM10,58.96
克拉玛依,PM2.5,15.83
克拉玛依,SO2,6.58
六安,AQI,81.33
六安,CO,0.59
六安,NO2,27.67
六安,O3,79.21
六安,PM10,112.21
六安,PM2.5,34.0
六安,SO2,9.17
六盘水,AQI,41.92
六盘水,CO,0.55
六盘水,NO2,22.42
六盘水,O3,71.25
六盘水,PM10,42.38
六盘水,PM2.5,16.25
六盘水,SO2,19.38
兰州,AQI,140.75
兰州,CO,0.7
兰州,NO2,55.79
兰州,O3,65.79
兰州,PM10,230.92
兰州,PM2.5,61.12
兰州,SO2,10.12
兴安盟,AQI,56.92
兴安盟,CO,0.53
兴安盟,NO2,20.04
兴安盟,O3,64.5
兴安盟,PM10,66.42
兴安盟,PM2.5,19.5
兴安盟,SO2,16.25
内江,AQI,38.5
内江,CO,0.38
内江,NO2,24.08
内江,O3,76.12
内江,PM10,38.92
内江,PM2.5,20.54
内江,SO2,13.38
凉山州,AQI,27.08
凉山州,CO,0.53
凉山州,NO2,14.71
凉山州,O3,83.0
凉山州,PM10,18.79
凉山州,PM2.5,6.42
凉山州,SO2,9.71
包头,AQI,42.79
包头,CO,1.08
包头,NO2,33.58
包头,O3,65.88
包头,PM10,43.62
包头,PM2.5,19.71
包头,SO2,21.92
北京,AQI,52.83
北京,CO,0.3
北京,NO2,22.04
北京,O3,74.29
北京,PM10,58.54
北京,PM2.5,17.96
北京,SO2,2.33
北海,AQI,41.62
北海,CO,1.06
北海,NO2,12.83
北海,O3,74.33
北海,PM10,40.83
