city,month,type,value
七台河,201701.csv,AQI,113.72
七台河,201701.csv,CO,1.45
七台河,201701.csv,NO2,58.02
七台河,201701.csv,O3,48.03
七台河,201701.csv,PM10,127.28
七台河,201701.csv,PM2.5,83.37
七台河,201701.csv,SO2,26.68
三亚,201701.csv,AQI,33.33
三亚,201701.csv,CO,0.6
三亚,201701.csv,NO2,11.23
三亚,201701.csv,O3,70.65
三亚,201701.csv,PM10,31.45
三亚,201701.csv,PM2.5,17.72
三亚,201701.csv,SO2,2.86
三明,201701.csv,AQI,50.27
三明,201701.csv,CO,1.27
三明,201701.csv,NO2,27.35
三明,201701.csv,O3,32.7
三明,201701.csv,PM10,51.19
三明,201701.csv,PM2.5,33.54
三明,201701.csv,SO2,16.82
三门峡,201701.csv,AQI,160.5
三门峡,201701.csv,CO,2.07
三门峡,201701.csv,NO2,53.66
三门峡,201701.csv,O3,35.34
三门峡,201701.csv,PM10,185.68
三门峡,201701.csv,PM2.5,117.58
三门峡,201701.csv,SO2,39.79
上海,201701.csv,AQI,65.0
上海,201701.csv,CO,0.92
上海,201701.csv,NO2,48.06
上海,201701.csv,O3,54.91
上海,201701.csv,PM10,57.98
上海,201701.csv,PM2.5,45.26
上海,201701.csv,SO2,17.05
上饶,201701.csv,AQI,89.3
上饶,201701.csv,CO,1.25
上饶,201701.csv,NO2,36.69
上饶,201701.csv,O3,47.81
上饶,201701.csv,PM10,104.91
上饶,201701.csv,PM2.5,65.5
上饶,201701.csv,SO2,39.79
东莞,201701.csv,AQI,72.53
东莞,201701.csv,CO,1.09
东莞,201701.csv,NO2,42.45
东莞,201701.csv,O3,50.13
东莞,201701.csv,PM10,70.84
东莞,201701.csv,PM2.5,52.71
东莞,201701.csv,SO2,12.79
东营,201701.csv,AQI,128.98
东营,201701.csv,CO,1.85
东营,201701.csv,NO2,46.04
东营,201701.csv,O3,36.59
东营,201701.csv,PM10,146.0
东营,201701.csv,PM2.5,94.96
东营,201701.csv,SO2,55.54
中卫,201701.csv,AQI,96.61
中卫,201701.csv,CO,1.13
中卫,201701.csv,NO2,27.19
中卫,201701.csv,O3,35.24
中卫,201701.csv,PM10,130.58
中卫,201701.csv,PM2.5,56.65
中卫,201701.csv,SO2,56.1
中山,201701.csv,AQI,73.04
中山,201701.csv,CO,1.1
中山,201701.csv,NO2,49.31
中山,201701.csv,O3,47.87
中山,201701.csv,PM10,68.35
中山,201701.csv,PM2.5,52.66
中山,201701.csv,SO2,11.79
临夏州,201701.csv,AQI,171.73
临夏州,201701.csv,CO,2.32
临夏州,201701.csv,NO2,51.27
临夏州,201701.csv,O3,48.77
临夏州,201701.csv,PM10,225.59
临夏州,201701.csv,PM2.5,123.7
临夏州,201701.csv,SO2,53.61
临安,201701.csv,AQI,87.39
临安,201701.csv,CO,0.96
临安,201701.csv,NO2,31.35
临安,201701.csv,O3,48.37
临安,201701.csv,PM10,98.55
临安,201701.csv,PM2.5,59.48
临安,201701.csv,SO2,8.74
临汾,201701.csv,AQI,224.13
临汾,201701.csv,CO,3.93
临汾,201701.csv,NO2,55.41
临汾,201701.csv,O3,29.14
临汾,201701.csv,PM10,262.66
临汾,201701.csv,PM2.5,186.77
临汾,201701.csv,SO2,291.53
临沂,201701.csv,AQI,139.74
临沂,201701.csv,CO,1.71
临沂,201701.csv,NO2,53.2
临沂,201701.csv,O3,31.03
临沂,201701.csv,PM10,162.86
临沂,201701.csv,PM2.5,107.73
临沂,201701.csv,SO2,33.31
临沧,201701.csv,AQI,39.53
临沧,201701.csv,CO,0.88
临沧,201701.csv,NO2,16.75
临沧,201701.csv,O3,39.59
临沧,201701.csv,PM10,35.37
临沧,201701.csv,PM2.5,23.74
临沧,201701.csv,SO2,20.61
丹东,201701.csv,AQI,80.22
丹东,201701.csv,CO,1.44
丹东,201701.csv,NO2,34.15
丹东,201701.csv,O3,40.79
丹东,201701.csv,PM10,83.64
丹东,201701.csv,PM2.5,55.76
丹东,201701.csv,SO2,57.03
丽水,201701.csv,AQI,57.89
丽水,201701.csv,CO,0.69
丽水,201701.csv,NO2,25.83
丽水,201701.csv,O3,46.61
丽水,201701.csv,PM10,58.27
丽水,201701.csv,PM2.5,39.94
丽水,201701.csv,SO2,10.6
丽江,201701.csv,AQI,27.24
丽江,201701.csv,CO,0.49
丽江,201701.csv,NO2,14.87
丽江,201701.csv,O3,74.18
丽江,201701.csv,PM10,21.7
丽江,201701.csv,PM2.5,12.65
丽江,201701.csv,SO2,8.5
义乌,201701.csv,AQI,73.25
义乌,201701.csv,CO,1.21
义乌,201701.csv,NO2,39.77
义乌,201701.csv,O3,37.26
义乌,201701.csv,PM10,74.75
义乌,201701.csv,PM2.5,52.87
义乌,201701.csv,SO2,16.66
乌兰察布,201701.csv,AQI,67.71
乌兰察布,201701.csv,CO,0.94
乌兰察布,201701.csv,NO2,41.43
乌兰察布,201701.csv,O3,52.12
乌兰察布,201701.csv,PM10,76.58
乌兰察布,201701.csv,PM2.5,47.82
乌兰察布,201701.csv,SO2,49.23
乌海,201701.csv,AQI,92.95
乌海,201701.csv,CO,1.22
乌海,201701.csv,NO2,33.59
乌海,201701.csv,O3,40.27
乌海,201701.csv,PM10,123.62
乌海,201701.csv,PM2.5,55.05
乌海,201701.csv,SO2,73.18
乌鲁木齐,201701.csv,AQI,276.46
乌鲁木齐,201701.csv,CO,3.25
乌鲁木齐,201701.csv,NO2,89.69
乌鲁木齐,201701.csv,O3,16.67
乌鲁木齐,201701.csv,PM10,269.67
乌鲁木齐,201701.csv,PM2.5,227.3
乌鲁木齐,201701.csv,SO2,30.53
乐山,201701.csv,AQI,161.07
乐山,201701.csv,CO,1.31
乐山,201701.csv,NO2,41.47
乐山,201701.csv,O3,26.95
乐山,201701.csv,PM10,164.85
乐山,201701.csv,PM2.5,126.0
乐山,201701.csv,SO2,17.57
九江,201701.csv,AQI,113.66
九江,201701.csv,CO,1.03
九江,201701.csv,NO2,37.11
九江,201701.csv,O3,41.16
九江,201701.csv,PM10,103.13
九江,201701.csv,PM2.5,86.18
九江,201701.csv,SO2,22.19
乳山,201701.csv,AQI,71.83
乳山,201701.csv,CO,1.49
乳山,201701.csv,NO2,30.97
乳山,201701.csv,O3,50.97
乳山,201701.csv,PM10,78.86
乳山,201701.csv,PM2.5,48.34
乳山,201701.csv,SO2,16.61
云浮,201701.csv,AQI,85.05
云浮,201701.csv,CO,1.11
云浮,201701.csv,NO2,35.28
云浮,201701.csv,O3,44.38
云浮,201701.csv,PM10,86.32
云浮,201701.csv,PM2.5,64.67
云浮,201701.csv,SO2,12.24
五家渠,201701.csv,AQI,320.47
五家渠,201701.csv,CO,3.21
五家渠,201701.csv,NO2,72.3
五家渠,201701.csv,O3,17.43
五家渠,201701.csv,PM10,380.86
五家渠,201701.csv,PM2.5,267.6
五家渠,201701.csv,SO2,36.94
亳州,201701.csv,AQI,144.26
亳州,201701.csv,CO,1.39
亳州,201701.csv,NO2,36.22
亳州,201701.csv,O3,51.86
亳州,201701.csv,PM10,161.72
亳州,201701.csv,PM2.5,108.22
亳州,201701.csv,SO2,30.42
伊春,201701.csv,AQI,71.52
伊春,201701.csv,CO,0.6
伊春,201701.csv,NO2,26.96
伊春,201701.csv,O3,34.7
伊春,201701.csv,PM10,70.83
伊春,201701.csv,PM2.5,51.07
伊春,201701.csv,SO2,12.78
伊犁哈萨克州,201701.csv,AQI,148.95
伊犁哈萨克州,201701.csv,CO,4.34
伊犁哈萨克州,201701.csv,NO2,72.15
伊犁哈萨克州,201701.csv,O3,30.68
伊犁哈萨克州,201701.csv,PM10,133.69
伊犁哈萨克州,201701.csv,PM2.5,115.78
伊犁哈萨克州,201701.csv,SO2,49.97
佛山,201701.csv,AQI,90.56
佛山,201701.csv,CO,1.04
佛山,201701.csv,NO2,52.77
佛山,201701.csv,O3,45.57
佛山,201701.csv,PM10,89.81
佛山,201701.csv,PM2.5,67.62
佛山,201701.csv,SO2,11.24
佳木斯,201701.csv,AQI,105.75
佳木斯,201701.csv,CO,1.33
佳木斯,201701.csv,NO2,38.08
佳木斯,201701.csv,O3,44.66
佳木斯,201701.csv,PM10,100.51
佳木斯,201701.csv,PM2.5,79.49
佳木斯,201701.csv,SO2,21.1
保定,201701.csv,AQI,223.97
保定,201701.csv,CO,3.25
保定,201701.csv,NO2,80.16
保定,201701.csv,O3,21.64
保定,201701.csv,PM10,246.44
保定,201701.csv,PM2.5,187.52
保定,201701.csv,SO2,64.17
保山,201701.csv,AQI,54.48
保山,201701.csv,CO,1.63
