city,type,value
七台河,AQI,45.75
七台河,CO,0.39
七台河,NO2,27.58
七台河,O3,56.71
七台河,PM10,45.17
七台河,PM2.5,30.67
七台河,SO2,26.25
三亚,AQI,18.88
三亚,CO,0.5
三亚,NO2,11.17
三亚,O3,31.71
三亚,PM10,18.58
三亚,PM2.5,7.96
三亚,SO2,1.38
三明,AQI,38.67
三明,CO,1.44
三明,NO2,25.04
三明,O3,26.54
三明,PM10,40.83
三明,PM2.5,20.29
三明,SO2,8.04
三门峡,AQI,39.5
三门峡,CO,0.76
三门峡,NO2,32.67
三门峡,O3,61.04
三门峡,PM10,35.17
三门峡,PM2.5,16.0
三门峡,SO2,7.0
上海,AQI,119.75
上海,CO,0.86
上海,NO2,38.12
上海,O3,160.75
上海,PM10,83.93
上海,PM2.5,80.5
上海,SO2,12.12
上饶,AQI,59.38
上饶,CO,0.81
上饶,NO2,24.88
上饶,O3,73.75
上饶,PM10,63.04
上饶,PM2.5,40.71
上饶,SO2,42.46
东莞,AQI,38.83
东莞,CO,0.93
东莞,NO2,40.83
东莞,O3,57.88
东莞,PM10,37.46
东莞,PM2.5,20.75
东莞,SO2,10.83
东营,AQI,107.29
东营,CO,1.32
东营,NO2,61.62
东营,O3,124.58
东营,PM10,135.88
东营,PM2.5,65.12
东营,SO2,41.46
中卫,AQI,44.0
中卫,CO,0.55
中卫,NO2,23.46
中卫,O3,99.5
中卫,PM10,36.62
中卫,PM2.5,16.83
中卫,SO2,11.29
中山,AQI,17.88
中山,CO,0.57
中山,NO2,11.62
中山,O3,38.67
中山,PM10,17.25
中山,PM2.5,8.67
中山,SO2,5.54
临夏州,AQI,32.21
临夏州,CO,0.68
临夏州,NO2,14.83
临夏州,O3,67.54
临夏州,PM10,29.21
临夏州,PM2.5,17.58
临夏州,SO2,18.38
临安,AQI,72.71
临安,CO,0.79
临安,NO2,21.71
临安,O3,69.96
临安,PM10,80.92
临安,PM2.5,48.58
临安,SO2,16.33
临汾,AQI,80.25
临汾,CO,1.44
临汾,NO2,24.04
临汾,O3,116.54
临汾,PM10,83.21
临汾,PM2.5,52.04
临汾,SO2,30.33
临沂,AQI,99.62
临沂,CO,1.28
临沂,NO2,58.92
临沂,O3,106.92
临沂,PM10,135.17
临沂,PM2.5,44.42
临沂,SO2,36.29
临沧,AQI,35.38
临沧,CO,0.68
临沧,NO2,17.3
临沧,O3,51.71
临沧,PM10,33.96
临沧,PM2.5,17.75
临沧,SO2,17.92
丹东,AQI,81.96
丹东,CO,1.13
丹东,NO2,21.58
丹东,O3,140.5
丹东,PM10,74.62
丹东,PM2.5,49.92
丹东,SO2,10.46
丽水,AQI,45.58
丽水,CO,0.86
丽水,NO2,17.62
丽水,O3,75.5
丽水,PM10,45.58
丽水,PM2.5,28.25
丽水,SO2,5.79
丽江,AQI,36.88
丽江,CO,0.59
丽江,NO2,12.42
丽江,O3,112.38
丽江,PM10,30.96
丽江,PM2.5,14.62
丽江,SO2,11.75
义乌,AQI,70.29
义乌,CO,0.88
义乌,NO2,27.29
义乌,O3,116.42
义乌,PM10,54.46
义乌,PM2.5,37.96
义乌,SO2,12.17
乌兰察布,AQI,44.21
乌兰察布,CO,0.59
乌兰察布,NO2,26.0
乌兰察布,O3,102.67
乌兰察布,PM10,31.46
乌兰察布,PM2.5,19.67
乌兰察布,SO2,18.79
乌海,AQI,69.5
乌海,CO,0.9
乌海,NO2,35.62
乌海,O3,103.29
乌海,PM10,86.5
乌海,PM2.5,36.62
乌海,SO2,72.04
乌鲁木齐,AQI,40.54
乌鲁木齐,CO,0.74
乌鲁木齐,NO2,22.25
乌鲁木齐,O3,58.12
乌鲁木齐,PM10,38.71
乌鲁木齐,PM2.5,9.83
乌鲁木齐,SO2,6.12
乐山,AQI,55.79
乐山,CO,0.78
乐山,NO2,23.67
乐山,O3,128.67
乐山,PM10,52.0
乐山,PM2.5,34.71
乐山,SO2,7.25
九江,AQI,49.0
九江,CO,0.59
九江,NO2,25.25
九江,O3,72.62
九江,PM10,49.83
九江,PM2.5,26.75
九江,SO2,20.96
乳山,AQI,62.21
乳山,CO,0.94
乳山,NO2,28.96
乳山,O3,113.29
乳山,PM10,63.46
乳山,PM2.5,36.17
乳山,SO2,11.21
云浮,AQI,49.25
云浮,CO,0.79
云浮,NO2,32.29
云浮,O3,21.71
云浮,PM10,52.42
云浮,PM2.5,20.33
云浮,SO2,33.67
五家渠,AQI,27.83
五家渠,CO,0.79
五家渠,NO2,17.42
五家渠,O3,59.33
五家渠,PM10,26.08
五家渠,PM2.5,8.92
五家渠,SO2,7.75
亳州,AQI,70.21
亳州,CO,0.79
亳州,NO2,37.46
亳州,O3,64.12
亳州,PM10,88.88
亳州,PM2.5,39.46
亳州,SO2,14.12
伊春,AQI,22.42
伊春,CO,0.52
伊春,NO2,8.04
伊春,O3,35.08
伊春,PM10,19.83
伊春,PM2.5,9.62
伊春,SO2,7.79
伊犁哈萨克州,AQI,33.67
伊犁哈萨克州,CO,0.77
伊犁哈萨克州,NO2,13.12
伊犁哈萨克州,O3,82.58
伊犁哈萨克州,PM10,21.04
伊犁哈萨克州,PM2.5,18.58
伊犁哈萨克州,SO2,9.25
佛山,AQI,38.25
佛山,CO,0.76
佛山,NO2,33.79
佛山,O3,33.92
佛山,PM10,37.62
佛山,PM2.5,18.79
佛山,SO2,9.96
佳木斯,AQI,30.17
佳木斯,CO,0.5
佳木斯,NO2,21.88
佳木斯,O3,63.79
佳木斯,PM10,29.92
佳木斯,PM2.5,15.0
佳木斯,SO2,7.58
保定,AQI,88.92
保定,CO,0.79
保定,NO2,34.96
保定,O3,132.83
保定,PM10,103.17
保定,PM2.5,48.79
保定,SO2,23.88
保山,AQI,42.75
保山,CO,0.91
保山,NO2,11.08
保山,O3,108.21
保山,PM10,38.57
保山,PM2.5,23.71
保山,SO2,9.04
信阳,AQI,47.96
信阳,CO,0.73
信阳,NO2,17.88
信阳,O3,93.12
信阳,PM10,49.71
信阳,PM2.5,29.46
信阳,SO2,8.79
克州,AQI,73.75
克州,CO,0.78
克州,NO2,24.71
克州,O3,107.96
克州,PM10,92.0
克州,PM2.5,45.62
克州,SO2,2.38
克拉玛依,AQI,28.0
克拉玛依,CO,0.78
克拉玛依,NO2,6.08
克拉玛依,O3,79.0
克拉玛依,PM10,25.92
克拉玛依,PM2.5,9.62
克拉玛依,SO2,4.83
六安,AQI,49.83
六安,CO,0.64
六安,NO2,27.38
六安,O3,99.83
六安,PM10,50.54
六安,PM2.5,30.33
六安,SO2,11.17
六盘水,AQI,49.46
六盘水,CO,0.36
六盘水,NO2,15.42
六盘水,O3,98.21
六盘水,PM10,50.71
六盘水,PM2.5,24.21
六盘水,SO2,15.29
兰州,AQI,60.96
兰州,CO,0.77
兰州,NO2,47.17
兰州,O3,81.33
兰州,PM10,66.29
兰州,PM2.5,34.38
兰州,SO2,11.58
兴安盟,AQI,30.25
兴安盟,CO,0.31
兴安盟,NO2,9.75
兴安盟,O3,65.75
兴安盟,PM10,31.08
兴安盟,PM2.5,10.92
兴安盟,SO2,1.62
内江,AQI,44.58
内江,CO,0.44
内江,NO2,16.71
内江,O3,107.75
内江,PM10,42.96
内江,PM2.5,24.5
内江,SO2,15.58
凉山州,AQI,40.88
凉山州,CO,0.62
凉山州,NO2,16.17
凉山州,O3,104.38
凉山州,PM10,38.5
凉山州,PM2.5,21.88
凉山州,SO2,11.96
包头,AQI,62.67
包头,CO,0.87
包头,NO2,43.62
包头,O3,80.25
包头,PM10,74.46
包头,PM2.5,31.54
包头,SO2,15.75
北京,AQI,52.92
北京,CO,0.58
北京,NO2,53.75
北京,O3,63.54
北京,PM10,55.58
北京,PM2.5,24.83
北京,SO2,3.33
北海,AQI,21.71
北海,CO,0.86
北海,NO2,8.71
北海,O3,65.92
北海,PM10,16.29
北海,PM2.5,7.25
北海,SO2,7.29
十堰,AQI,64.67
十堰,CO,0.9
十堰,NO2,23.67
十堰,O3,74.0
十堰,PM10,63.25
十堰,PM2.5,46.38
十堰,SO2,15.92
南京,AQI,78.83
南京,CO,0.93
南京,NO2,40.79
南京,O3,131.54
南京,PM10,63.29
南京,PM2.5,36.17
南京,SO2,14.17
南充,AQI,42.75
南充,CO,0.58
南充,NO2,22.04
南充,O3,83.21
南充,PM10,43.25
南充,PM2.5,27.25
南充,SO2,9.67
南宁,AQI,27.75
南宁,CO,0.97
南宁,NO2,30.62
南宁,O3,21.88
南宁,PM10,27.12
南宁,PM2.5,16.25
南宁,SO2,7.04
南平,AQI,27.08
南平,CO,0.71
南平,NO2,9.88
南平,O3,41.04
南平,PM10,26.29
南平,PM2.5,14.46
南平,SO2,6.96
南昌,AQI,66.46
南昌,CO,1.31
南昌,NO2,43.17
南昌,O3,83.71
南昌,PM10,76.04
南昌,PM2.5,30.42
南昌,SO2,11.58
南通,AQI,90.46
南通,CO,0.74
南通,NO2,35.5
南通,O3,153.17
南通,PM10,83.5
南通,PM2.5,46.71
南通,SO2,27.46
南阳,AQI,48.92
南阳,CO,1.02
南阳,NO2,25.08
南阳,O3,63.67
南阳,PM10,51.88
南阳,PM2.5,20.42
南阳,SO2,8.12
博州,AQI,34.67
博州,CO,0.56
博州,NO2,14.08
博州,O3,72.46
博州,PM10,30.87
博州,PM2.5,16.83
博州,SO2,8.04
即墨,AQI,89.75
即墨,CO,0.76
即墨,NO2,34.46
即墨,O3,164.33
即墨,PM10,85.38
即墨,PM2.5,44.0
即墨,SO2,10.75
厦门,AQI,39.5
厦门,CO,0.52
厦门,NO2,21.0
厦门,O3,64.12
厦门,PM10,39.67
厦门,PM2.5,21.0
厦门,SO2,7.58
双鸭山,AQI,36.25
双鸭山,CO,0.55
双鸭山,NO2,15.92
双鸭山,O3,50.0
双鸭山,PM10,35.04
双鸭山,PM2.5,21.21
双鸭山,SO2,8.79
