city,type,value
七台河,AQI,39.43
七台河,CO,0.93
七台河,NO2,33.7
七台河,O3,87.83
七台河,PM10,37.39
七台河,PM2.5,20.52
七台河,SO2,5.65
三亚,AQI,63.7
三亚,CO,0.69
三亚,NO2,15.13
三亚,O3,122.43
三亚,PM10,62.52
三亚,PM2.5,45.78
三亚,SO2,3.57
三明,AQI,63.3
三明,CO,0.91
三明,NO2,36.57
三明,O3,57.17
三明,PM10,71.17
三明,PM2.5,36.52
三明,SO2,19.3
三门峡,AQI,56.78
三门峡,CO,1.18
三门峡,NO2,54.48
三门峡,O3,42.74
三门峡,PM10,65.3
三门峡,PM2.5,22.87
三门峡,SO2,30.35
上海,AQI,64.74
上海,CO,0.79
上海,NO2,44.04
上海,O3,69.91
上海,PM10,63.04
上海,PM2.5,45.74
上海,SO2,13.7
上饶,AQI,66.96
上饶,CO,0.9
上饶,NO2,23.09
上饶,O3,86.17
上饶,PM10,83.43
上饶,PM2.5,27.7
上饶,SO2,28.09
东莞,AQI,65.96
东莞,CO,0.83
东莞,NO2,54.65
东莞,O3,68.74
东莞,PM10,75.7
东莞,PM2.5,40.09
东莞,SO2,17.3
东营,AQI,74.39
东营,CO,1.01
东营,NO2,49.74
东营,O3,38.26
东营,PM10,97.0
东营,PM2.5,42.22
东营,SO2,72.87
中卫,AQI,66.78
中卫,CO,0.67
中卫,NO2,27.48
中卫,O3,59.13
中卫,PM10,77.83
中卫,PM2.5,35.96
中卫,SO2,49.0
中山,AQI,74.48
中山,CO,0.78
中山,NO2,64.26
中山,O3,70.83
中山,PM10,91.39
中山,PM2.5,46.13
中山,SO2,21.0
临夏州,AQI,79.74
临夏州,CO,1.08
临夏州,NO2,40.74
临夏州,O3,75.13
临夏州,PM10,76.13
临夏州,PM2.5,57.26
临夏州,SO2,38.22
临安,AQI,65.35
临安,CO,0.48
临安,NO2,18.87
临安,O3,43.87
临安,PM10,75.61
临安,PM2.5,29.04
临安,SO2,12.3
临汾,AQI,81.78
临汾,CO,2.21
临汾,NO2,38.87
临汾,O3,46.13
临汾,PM10,96.91
临汾,PM2.5,56.43
临汾,SO2,104.22
临沂,AQI,68.52
临沂,CO,0.93
临沂,NO2,51.52
临沂,O3,49.17
临沂,PM10,86.35
临沂,PM2.5,42.91
临沂,SO2,28.74
临沧,AQI,71.61
临沧,CO,0.99
临沧,NO2,23.09
临沧,O3,91.26
临沧,PM10,73.61
临沧,PM2.5,50.52
临沧,SO2,21.17
丹东,AQI,40.09
丹东,CO,0.63
丹东,NO2,15.78
丹东,O3,72.65
丹东,PM10,43.74
丹东,PM2.5,19.35
丹东,SO2,20.87
丽水,AQI,55.91
丽水,CO,0.36
丽水,NO2,13.35
丽水,O3,94.7
丽水,PM10,62.57
丽水,PM2.5,24.39
丽水,SO2,14.61
丽江,AQI,32.09
丽江,CO,0.47
丽江,NO2,15.3
丽江,O3,89.7
丽江,PM10,31.09
丽江,PM2.5,16.61
丽江,SO2,10.43
义乌,AQI,59.74
义乌,CO,0.66
义乌,NO2,26.96
义乌,O3,81.09
义乌,PM10,69.0
义乌,PM2.5,31.91
义乌,SO2,16.65
乌兰察布,AQI,36.74
乌兰察布,CO,0.39
乌兰察布,NO2,24.96
乌兰察布,O3,94.52
乌兰察布,PM10,34.13
乌兰察布,PM2.5,18.26
乌兰察布,SO2,16.17
乌海,AQI,80.61
乌海,CO,1.5
乌海,NO2,48.0
乌海,O3,51.78
乌海,PM10,110.74
乌海,PM2.5,39.22
乌海,SO2,117.96
乌鲁木齐,AQI,172.91
乌鲁木齐,CO,2.66
乌鲁木齐,NO2,91.13
乌鲁木齐,O3,45.96
乌鲁木齐,PM10,80.41
乌鲁木齐,PM2.5,136.17
乌鲁木齐,SO2,16.74
乐山,AQI,112.35
乐山,CO,1.23
乐山,NO2,51.57
乐山,O3,30.17
乐山,PM10,130.09
乐山,PM2.5,84.78
乐山,SO2,16.3
九江,AQI,62.7
九江,CO,0.57
九江,NO2,19.91
九江,O3,70.04
九江,PM10,74.91
九江,PM2.5,32.87
九江,SO2,14.96
乳山,AQI,41.52
乳山,CO,0.45
乳山,NO2,21.17
乳山,O3,85.26
乳山,PM10,42.7
乳山,PM2.5,13.7
乳山,SO2,9.3
云浮,AQI,71.39
云浮,CO,0.8
云浮,NO2,29.57
云浮,O3,66.04
云浮,PM10,89.17
云浮,PM2.5,46.48
云浮,SO2,18.57
五家渠,AQI,363.7
五家渠,CO,3.23
五家渠,NO2,64.13
五家渠,O3,40.52
五家渠,PM10,438.22
五家渠,PM2.5,304.39
五家渠,SO2,14.83
亳州,AQI,78.7
亳州,CO,0.81
亳州,NO2,39.3
亳州,O3,64.57
亳州,PM10,100.61
亳州,PM2.5,48.83
亳州,SO2,23.17
伊春,AQI,29.26
伊春,CO,0.22
伊春,NO2,13.74
伊春,O3,61.96
伊春,PM10,27.17
伊春,PM2.5,12.17
伊春,SO2,7.57
伊犁哈萨克州,AQI,91.0
伊犁哈萨克州,CO,2.44
伊犁哈萨克州,NO2,42.17
伊犁哈萨克州,O3,32.43
伊犁哈萨克州,PM10,92.57
伊犁哈萨克州,PM2.5,66.61
伊犁哈萨克州,SO2,38.3
佛山,AQI,79.35
佛山,CO,0.66
佛山,NO2,62.96
佛山,O3,56.43
佛山,PM10,96.7
佛山,PM2.5,50.61
佛山,SO2,17.39
佳木斯,AQI,41.57
佳木斯,CO,0.6
佳木斯,NO2,32.3
佳木斯,O3,60.48
佳木斯,PM10,37.17
佳木斯,PM2.5,29.17
佳木斯,SO2,13.35
保定,AQI,76.17
保定,CO,0.84
保定,NO2,45.87
保定,O3,48.87
保定,PM10,100.83
保定,PM2.5,48.04
保定,SO2,37.91
保山,AQI,63.91
保山,CO,0.82
保山,NO2,14.7
保山,O3,118.0
保山,PM10,69.83
保山,PM2.5,44.96
保山,SO2,9.04
信阳,AQI,60.96
信阳,CO,0.48
信阳,NO2,27.48
信阳,O3,70.52
信阳,PM10,71.48
信阳,PM2.5,25.52
信阳,SO2,16.39
克州,AQI,180.91
克州,CO,1.19
克州,NO2,12.22
克州,O3,90.74
克州,PM10,310.04
克州,PM2.5,46.17
克州,SO2,4.78
克拉玛依,AQI,91.22
克拉玛依,CO,0.95
克拉玛依,NO2,33.26
克拉玛依,O3,91.78
克拉玛依,PM10,108.09
克拉玛依,PM2.5,67.87
克拉玛依,SO2,9.61
六安,AQI,60.74
六安,CO,0.53
六安,NO2,29.65
六安,O3,75.91
六安,PM10,71.04
六安,PM2.5,29.13
六安,SO2,9.78
六盘水,AQI,125.17
六盘水,CO,0.96
六盘水,NO2,41.39
六盘水,O3,65.48
六盘水,PM10,132.09
六盘水,PM2.5,95.09
六盘水,SO2,31.04
兰州,AQI,100.17
兰州,CO,1.37
兰州,NO2,65.0
兰州,O3,48.91
兰州,PM10,149.78
兰州,PM2.5,46.35
兰州,SO2,24.0
兴安盟,AQI,37.35
兴安盟,CO,0.67
兴安盟,NO2,13.91
兴安盟,O3,67.7
兴安盟,PM10,35.65
兴安盟,PM2.5,18.39
兴安盟,SO2,14.09
内江,AQI,133.26
内江,CO,1.07
内江,NO2,46.57
内江,O3,26.91
内江,PM10,159.74
内江,PM2.5,101.48
内江,SO2,31.74
凉山州,AQI,49.7
凉山州,CO,0.97
凉山州,NO2,27.39
凉山州,O3,54.91
凉山州,PM10,45.78
凉山州,PM2.5,35.74
凉山州,SO2,10.57
包头,AQI,67.48
包头,CO,2.21
包头,NO2,60.61
包头,O3,32.0
包头,PM10,78.57
包头,PM2.5,46.83
包头,SO2,39.91
北京,AQI,61.52
北京,CO,0.81
北京,NO2,52.65
北京,O3,39.61
北京,PM10,75.52
北京,PM2.5,37.65
北京,SO2,12.48
北海,AQI,75.22
北海,CO,1.06
北海,NO2,15.35
北海,O3,113.04
北海,PM10,75.04
北海,PM2.5,54.52
北海,SO2,9.91
十堰,AQI,40.26
十堰,CO,1.24
十堰,NO2,33.35
十堰,O3,54.3
十堰,PM10,40.74
十堰,PM2.5,22.35
十堰,SO2,21.13
南京,AQI,61.35
南京,CO,0.96
南京,NO2,40.35
