city,type,value
七台河,AQI,113.72
七台河,CO,1.45
七台河,NO2,58.02
七台河,O3,48.03
七台河,PM10,127.28
七台河,PM2.5,83.37
七台河,SO2,26.68
三亚,AQI,33.33
三亚,CO,0.6
三亚,NO2,11.23
三亚,O3,70.65
三亚,PM10,31.45
三亚,PM2.5,17.72
三亚,SO2,2.86
三明,AQI,50.27
三明,CO,1.27
三明,NO2,27.35
三明,O3,32.7
三明,PM10,51.19
三明,PM2.5,33.54
三明,SO2,16.82
三门峡,AQI,160.5
三门峡,CO,2.07
三门峡,NO2,53.66
三门峡,O3,35.34
三门峡,PM10,185.68
三门峡,PM2.5,117.58
三门峡,SO2,39.79
上海,AQI,65.0
上海,CO,0.92
上海,NO2,48.06
上海,O3,54.91
上海,PM10,57.98
上海,PM2.5,45.26
上海,SO2,17.05
上饶,AQI,89.3
上饶,CO,1.25
上饶,NO2,36.69
上饶,O3,47.81
上饶,PM10,104.91
上饶,PM2.5,65.5
上饶,SO2,39.79
东莞,AQI,72.53
东莞,CO,1.09
东莞,NO2,42.45
东莞,O3,50.13
东莞,PM10,70.84
东莞,PM2.5,52.71
东莞,SO2,12.79
东营,AQI,128.98
东营,CO,1.85
东营,NO2,46.04
东营,O3,36.59
东营,PM10,146.0
东营,PM2.5,94.96
东营,SO2,55.54
中卫,AQI,96.61
中卫,CO,1.13
中卫,NO2,27.19
中卫,O3,35.24
中卫,PM10,130.58
中卫,PM2.5,56.65
中卫,SO2,56.1
中山,AQI,73.04
中山,CO,1.1
中山,NO2,49.31
中山,O3,47.87
中山,PM10,68.35
中山,PM2.5,52.66
中山,SO2,11.79
临夏州,AQI,171.73
临夏州,CO,2.32
临夏州,NO2,51.27
临夏州,O3,48.77
临夏州,PM10,225.59
临夏州,PM2.5,123.7
临夏州,SO2,53.61
临安,AQI,87.39
临安,CO,0.96
临安,NO2,31.35
临安,O3,48.37
临安,PM10,98.55
临安,PM2.5,59.48
临安,SO2,8.74
临汾,AQI,224.13
临汾,CO,3.93
临汾,NO2,55.41
临汾,O3,29.14
临汾,PM10,262.66
临汾,PM2.5,186.77
临汾,SO2,291.53
