city,type,value
七台河,AQI,41.71
七台河,CO,0.8
七台河,NO2,19.92
七台河,O3,69.38
七台河,PM10,40.04
七台河,PM2.5,13.21
七台河,SO2,13.13
三亚,AQI,21.88
三亚,CO,0.44
三亚,NO2,10.67
三亚,O3,43.83
三亚,PM10,20.33
三亚,PM2.5,10.71
三亚,SO2,2.79
三明,AQI,21.46
三明,CO,0.82
三明,NO2,13.04
三明,O3,27.67
三明,PM10,20.79
三明,PM2.5,8.67
三明,SO2,6.67
三门峡,AQI,34.58
三门峡,CO,0.42
三门峡,NO2,8.38
三门峡,O3,95.71
三门峡,PM10,30.71
三门峡,PM2.5,12.67
三门峡,SO2,4.5
上海,AQI,33.46
上海,CO,0.5
上海,NO2,14.21
上海,O3,87.25
上海,PM10,32.71
上海,PM2.5,17.62
上海,SO2,4.29
上饶,AQI,20.88
上饶,CO,0.48
上饶,NO2,8.54
上饶,O3,34.42
上饶,PM10,20.29
上饶,PM2.5,8.79
上饶,SO2,6.12
东莞,AQI,23.71
东莞,CO,0.54
东莞,NO2,11.08
东莞,O3,55.17
东莞,PM10,22.58
东莞,PM2.5,11.0
东莞,SO2,5.46
东营,AQI,28.5
东营,CO,0.64
东营,NO2,11.62
东营,O3,55.83
东营,PM10,27.08
东营,PM2.5,16.0
东营,SO2,7.67
中卫,AQI,42.96
中卫,CO,0.25
中卫,NO2,13.17
中卫,O3,105.5
中卫,PM10,41.25
中卫,PM2.5,16.67
中卫,SO2,6.04
中山,AQI,21.96
中山,CO,0.51
中山,NO2,6.29
中山,O3,47.79
中山,PM10,21.42
中山,PM2.5,9.79
中山,SO2,4.04
临夏回族自治州,AQI,47.71
临夏回族自治州,CO,0.31
临夏回族自治州,NO2,16.67
临夏回族自治州,O3,88.96
临夏回族自治州,PM10,40.12
临夏回族自治州,PM2.5,21.67
临夏回族自治州,SO2,7.42
临汾,AQI,36.92
临汾,CO,0.48
临汾,NO2,11.96
临汾,O3,107.88
临汾,PM10,26.46
临汾,PM2.5,18.25
临汾,SO2,2.67
临沂,AQI,20.5
临沂,CO,0.46
临沂,NO2,9.33
临沂,O3,40.83
临沂,PM10,19.12
临沂,PM2.5,10.5
临沂,SO2,4.04
临沧,AQI,32.83
临沧,CO,0.61
临沧,NO2,10.88
临沧,O3,33.42
临沧,PM10,32.83
临沧,PM2.5,14.25
临沧,SO2,7.83
丹东,AQI,27.42
丹东,CO,0.57
丹东,NO2,9.75
丹东,O3,40.38
丹东,PM10,26.42
丹东,PM2.5,17.62
丹东,SO2,8.54
丽水,AQI,22.17
丽水,CO,0.36
丽水,NO2,8.62
丽水,O3,42.12
丽水,PM10,21.92
丽水,PM2.5,8.92
丽水,SO2,5.83
丽江,AQI,29.12
丽江,CO,0.38
丽江,NO2,10.92
丽江,O3,90.29
丽江,PM10,16.62
丽江,PM2.5,7.75
丽江,SO2,7.12
乌兰察布,AQI,33.33
乌兰察布,CO,0.4
乌兰察布,NO2,17.17
乌兰察布,O3,99.62
乌兰察布,PM10,24.92
乌兰察布,PM2.5,14.96
乌兰察布,SO2,11.92
乌海,AQI,60.75
乌海,CO,0.69
乌海,NO2,21.5
乌海,O3,102.83
乌海,PM10,71.75
乌海,PM2.5,21.83
乌海,SO2,21.12
乌鲁木齐,AQI,52.25
乌鲁木齐,CO,0.4
乌鲁木齐,NO2,24.38
乌鲁木齐,O3,80.67
乌鲁木齐,PM10,56.62
乌鲁木齐,PM2.5,15.38
乌鲁木齐,SO2,9.25
乐山,AQI,63.75
乐山,CO,1.04
乐山,NO2,19.62
乐山,O3,105.54
乐山,PM10,58.75
乐山,PM2.5,40.75
乐山,SO2,7.04
九江,AQI,13.92
九江,CO,0.62
九江,NO2,8.42
九江,O3,40.0
九江,PM10,11.71
九江,PM2.5,5.75
九江,SO2,6.12
云浮,AQI,25.04
云浮,CO,0.54
云浮,NO2,12.88
云浮,O3,35.96
云浮,PM10,24.83
云浮,PM2.5,10.54
云浮,SO2,7.12
五家渠,AQI,51.67
五家渠,CO,0.54
五家渠,NO2,19.62
五家渠,O3,71.75
五家渠,PM10,56.5
五家渠,PM2.5,18.08
五家渠,SO2,9.83
亳州,AQI,19.71
亳州,CO,0.6
亳州,NO2,5.21
亳州,O3,62.5
亳州,PM10,8.38
亳州,PM2.5,6.79
亳州,SO2,4.58
伊春,AQI,19.96
伊春,CO,0.45
伊春,NO2,8.0
伊春,O3,52.25
伊春,PM10,16.67
伊春,PM2.5,11.04
伊春,SO2,5.38
伊犁哈萨克州,AQI,57.88
伊犁哈萨克州,CO,0.48
伊犁哈萨克州,NO2,24.79
伊犁哈萨克州,O3,66.58
伊犁哈萨克州,PM10,71.71
伊犁哈萨克州,PM2.5,18.96
伊犁哈萨克州,SO2,7.96
佛山,AQI,25.33
佛山,CO,0.53
佛山,NO2,17.79
佛山,O3,36.38
佛山,PM10,24.46
佛山,PM2.5,12.21
佛山,SO2,5.0
佳木斯,AQI,38.25
佳木斯,CO,0.58
佳木斯,NO2,27.83
佳木斯,O3,55.88
佳木斯,PM10,36.88
佳木斯,PM2.5,23.67
佳木斯,SO2,3.46
保定,AQI,46.62
保定,CO,0.42
保定,NO2,10.96
保定,O3,92.92
保定,PM10,43.62
保定,PM2.5,27.83
保定,SO2,6.25
保山,AQI,23.46
保山,CO,0.49
保山,NO2,7.12
保山,O3,45.54
保山,PM10,22.71
保山,PM2.5,6.46
保山,SO2,4.96
信阳,AQI,20.79
信阳,CO,0.55
信阳,NO2,6.04
信阳,O3,58.54
信阳,PM10,13.08
信阳,PM2.5,10.58
信阳,SO2,6.04
儋州,AQI,16.62
儋州,CO,0.59
儋州,NO2,8.96
儋州,O3,43.12
儋州,PM10,16.21
儋州,PM2.5,7.42
儋州,SO2,3.83
克孜勒苏柯尔克孜自治州,AQI,187.5
克孜勒苏柯尔克孜自治州,CO,0.29
克孜勒苏柯尔克孜自治州,NO2,13.04
克孜勒苏柯尔克孜自治州,O3,97.71
克孜勒苏柯尔克孜自治州,PM10,321.38
克孜勒苏柯尔克孜自治州,PM2.5,120.42
克孜勒苏柯尔克孜自治州,SO2,10.29
克拉玛依,AQI,30.25
克拉玛依,CO,0.3
克拉玛依,NO2,11.21
克拉玛依,O3,88.5
克拉玛依,PM10,19.71
克拉玛依,PM2.5,9.71
克拉玛依,SO2,8.83
六安,AQI,21.25
六安,CO,0.36
六安,NO2,5.08
六安,O3,54.71
六安,PM10,17.42
六安,PM2.5,10.5
六安,SO2,8.17
六盘水,AQI,34.25
六盘水,CO,0.79
六盘水,NO2,19.58
六盘水,O3,57.29
六盘水,PM10,32.08
六盘水,PM2.5,18.08
六盘水,SO2,7.75
兰州,AQI,49.96
兰州,CO,0.49
兰州,NO2,30.83
兰州,O3,99.17
兰州,PM10,39.92
兰州,PM2.5,20.0
兰州,SO2,11.29
兰州新区,AQI,52.54
兰州新区,CO,0.46
兰州新区,NO2,17.0
兰州新区,O3,122.08
兰州新区,PM10,28.75
兰州新区,PM2.5,10.29
兰州新区,SO2,11.46
兴安盟,AQI,38.67
兴安盟,CO,0.26
兴安盟,NO2,6.67
兴安盟,O3,48.92
兴安盟,PM10,36.25
兴安盟,PM2.5,25.0
兴安盟,SO2,3.0
内江,AQI,47.12
内江,CO,0.7
内江,NO2,28.12
内江,O3,94.38
内江,PM10,36.92
内江,PM2.5,18.12
内江,SO2,11.46
