city,month,type,value
七台河,202201.csv,AQI,87.8
七台河,202201.csv,CO,1.1
七台河,202201.csv,NO2,35.74
七台河,202201.csv,O3,45.17
七台河,202201.csv,PM10,84.2
七台河,202201.csv,PM2.5,64.77
七台河,202201.csv,SO2,15.93
三亚,202201.csv,AQI,26.44
三亚,202201.csv,CO,0.5
三亚,202201.csv,NO2,7.75
三亚,202201.csv,O3,74.9
三亚,202201.csv,PM10,24.11
三亚,202201.csv,PM2.5,12.39
三亚,202201.csv,SO2,3.42
三明,202201.csv,AQI,40.38
三明,202201.csv,CO,1.11
三明,202201.csv,NO2,22.52
三明,202201.csv,O3,30.98
三明,202201.csv,PM10,33.19
三明,202201.csv,PM2.5,27.35
三明,202201.csv,SO2,7.48
三门峡,202201.csv,AQI,132.47
三门峡,202201.csv,CO,1.17
三门峡,202201.csv,NO2,34.31
三门峡,202201.csv,O3,40.07
三门峡,202201.csv,PM10,109.0
三门峡,202201.csv,PM2.5,98.56
三门峡,202201.csv,SO2,10.06
上海,202201.csv,AQI,59.42
上海,202201.csv,CO,0.83
上海,202201.csv,NO2,42.39
上海,202201.csv,O3,51.04
上海,202201.csv,PM10,44.33
上海,202201.csv,PM2.5,41.87
上海,202201.csv,SO2,5.15
上饶,202201.csv,AQI,60.45
上饶,202201.csv,CO,0.74
上饶,202201.csv,NO2,29.53
上饶,202201.csv,O3,36.63
上饶,202201.csv,PM10,66.5
上饶,202201.csv,PM2.5,42.13
上饶,202201.csv,SO2,17.46
东莞,202201.csv,AQI,46.2
东莞,202201.csv,CO,0.88
东莞,202201.csv,NO2,37.03
东莞,202201.csv,O3,46.49
东莞,202201.csv,PM10,49.04
东莞,202201.csv,PM2.5,31.27
东莞,202201.csv,SO2,7.83
东营,202201.csv,AQI,71.41
东营,202201.csv,CO,0.96
东营,202201.csv,NO2,36.39
东营,202201.csv,O3,41.27
东营,202201.csv,PM10,73.52
东营,202201.csv,PM2.5,49.41
东营,202201.csv,SO2,16.84
中卫,202201.csv,AQI,94.47
中卫,202201.csv,CO,0.79
中卫,202201.csv,NO2,37.0
中卫,202201.csv,O3,41.38
中卫,202201.csv,PM10,103.21
中卫,202201.csv,PM2.5,65.67
中卫,202201.csv,SO2,12.8
中山,202201.csv,AQI,48.62
中山,202201.csv,CO,0.83
中山,202201.csv,NO2,41.95
中山,202201.csv,O3,38.98
中山,202201.csv,PM10,51.22
中山,202201.csv,PM2.5,31.81
中山,202201.csv,SO2,5.15
临夏回族自治州,202201.csv,AQI,87.14
临夏回族自治州,202201.csv,CO,1.48
临夏回族自治州,202201.csv,NO2,40.49
临夏回族自治州,202201.csv,O3,47.11
临夏回族自治州,202201.csv,PM10,103.83
临夏回族自治州,202201.csv,PM2.5,60.35
临夏回族自治州,202201.csv,SO2,11.53
临汾,202201.csv,AQI,130.11
临汾,202201.csv,CO,1.68
临汾,202201.csv,NO2,43.03
临汾,202201.csv,O3,28.48
临汾,202201.csv,PM10,112.71
临汾,202201.csv,PM2.5,96.59
临汾,202201.csv,SO2,17.52
临沂,202201.csv,AQI,107.76
临沂,202201.csv,CO,1.02
临沂,202201.csv,NO2,45.55
临沂,202201.csv,O3,40.1
临沂,202201.csv,PM10,107.18
临沂,202201.csv,PM2.5,79.52
临沂,202201.csv,SO2,16.53
临沧,202201.csv,AQI,44.19
临沧,202201.csv,CO,0.69
临沧,202201.csv,NO2,16.53
临沧,202201.csv,O3,40.17
临沧,202201.csv,PM10,37.5
临沧,202201.csv,PM2.5,28.99
临沧,202201.csv,SO2,8.32
丹东,202201.csv,AQI,56.46
丹东,202201.csv,CO,1.03
丹东,202201.csv,NO2,27.39
丹东,202201.csv,O3,43.2
丹东,202201.csv,PM10,56.54
丹东,202201.csv,PM2.5,37.51
丹东,202201.csv,SO2,20.85
丽水,202201.csv,AQI,48.7
丽水,202201.csv,CO,0.55
丽水,202201.csv,NO2,24.31
丽水,202201.csv,O3,37.56
丽水,202201.csv,PM10,46.6
丽水,202201.csv,PM2.5,32.51
丽水,202201.csv,SO2,6.61
丽江,202201.csv,AQI,25.22
丽江,202201.csv,CO,0.56
丽江,202201.csv,NO2,7.94
丽江,202201.csv,O3,74.21
丽江,202201.csv,PM10,17.91
丽江,202201.csv,PM2.5,12.28
丽江,202201.csv,SO2,5.35
乌兰察布,202201.csv,AQI,52.57
乌兰察布,202201.csv,CO,0.8
乌兰察布,202201.csv,NO2,35.37
乌兰察布,202201.csv,O3,39.37
乌兰察布,202201.csv,PM10,54.92
乌兰察布,202201.csv,PM2.5,32.31
