city,type,value
七台河,AQI,176.71
七台河,CO,1.18
七台河,NO2,40.54
七台河,O3,115.38
七台河,PM10,219.33
七台河,PM2.5,134.88
七台河,SO2,25.33
三亚,AQI,23.62
三亚,CO,0.54
三亚,NO2,4.62
三亚,O3,71.12
三亚,PM10,22.5
三亚,PM2.5,10.58
三亚,SO2,3.17
三明,AQI,28.96
三明,CO,0.66
三明,NO2,16.08
三明,O3,35.92
三明,PM10,24.54
三明,PM2.5,19.88
三明,SO2,3.58
三门峡,AQI,58.75
三门峡,CO,0.44
三门峡,NO2,32.33
三门峡,O3,69.67
三门峡,PM10,67.0
三门峡,PM2.5,27.71
三门峡,SO2,9.5
上海,AQI,55.62
上海,CO,0.81
上海,NO2,25.58
上海,O3,122.42
上海,PM10,55.62
上海,PM2.5,38.29
上海,SO2,8.25
上饶,AQI,60.5
上饶,CO,0.63
上饶,NO2,22.71
上饶,O3,51.17
上饶,PM10,67.21
上饶,PM2.5,38.79
上饶,SO2,12.25
东莞,AQI,12.79
东莞,CO,0.71
东莞,NO2,22.67
东莞,O3,30.0
东莞,PM10,10.46
东莞,PM2.5,6.83
东莞,SO2,8.0
东营,AQI,80.29
东营,CO,0.89
东营,NO2,39.62
东营,O3,103.67
东营,PM10,91.25
东营,PM2.5,51.04
东营,SO2,32.33
中卫,AQI,53.5
中卫,CO,0.31
中卫,NO2,30.33
中卫,O3,73.67
中卫,PM10,54.96
中卫,PM2.5,25.38
中卫,SO2,14.17
中山,AQI,18.67
中山,CO,0.62
中山,NO2,34.33
中山,O3,14.0
中山,PM10,15.5
中山,PM2.5,10.33
中山,SO2,3.96
临夏回族自治州,AQI,54.88
临夏回族自治州,CO,0.36
临夏回族自治州,NO2,24.25
临夏回族自治州,O3,76.88
临夏回族自治州,PM10,62.75
临夏回族自治州,PM2.5,21.58
临夏回族自治州,SO2,6.5
临汾,AQI,57.92
临汾,CO,0.67
临汾,NO2,32.75
临汾,O3,71.46
临汾,PM10,58.79
临汾,PM2.5,39.83
临汾,SO2,11.75
临沂,AQI,89.33
临沂,CO,0.82
临沂,NO2,44.88
临沂,O3,109.0
临沂,PM10,95.92
临沂,PM2.5,61.88
临沂,SO2,9.62
临沧,AQI,55.12
临沧,CO,0.73
临沧,NO2,11.46
临沧,O3,59.38
临沧,PM10,59.5
临沧,PM2.5,30.75
临沧,SO2,6.21
丹东,AQI,84.83
丹东,CO,0.98
丹东,NO2,24.92
丹东,O3,98.46
丹东,PM10,91.42
丹东,PM2.5,62.5
丹东,SO2,13.33
丽水,AQI,51.54
丽水,CO,0.4
丽水,NO2,18.04
丽水,O3,55.17
丽水,PM10,53.0
丽水,PM2.5,30.0
丽水,SO2,6.42
丽江,AQI,28.83
丽江,CO,0.51
丽江,NO2,8.46
丽江,O3,88.33
丽江,PM10,21.21
丽江,PM2.5,14.83
丽江,SO2,6.21
乌兰察布,AQI,36.08
乌兰察布,CO,0.35
乌兰察布,NO2,17.25
乌兰察布,O3,85.17
乌兰察布,PM10,34.62
乌兰察布,PM2.5,13.75
乌兰察布,SO2,12.17
乌海,AQI,74.83
乌海,CO,0.8
乌海,NO2,35.88
乌海,O3,66.79
乌海,PM10,99.17
乌海,PM2.5,26.08
乌海,SO2,27.92
乌鲁木齐,AQI,116.08
乌鲁木齐,CO,0.33
乌鲁木齐,NO2,17.12
乌鲁木齐,O3,105.96
乌鲁木齐,PM10,181.75
乌鲁木齐,PM2.5,39.67
乌鲁木齐,SO2,6.88
乐山,AQI,42.33
乐山,CO,0.53
乐山,NO2,22.38
乐山,O3,50.62
乐山,PM10,44.62
乐山,PM2.5,21.75
乐山,SO2,5.62
九江,AQI,58.25
九江,CO,0.62
九江,NO2,32.04
九江,O3,85.33
九江,PM10,65.08
九江,PM2.5,33.83
九江,SO2,9.38
云浮,AQI,16.71
云浮,CO,0.62
云浮,NO2,17.79
云浮,O3,37.04
云浮,PM10,11.04
云浮,PM2.5,8.29
云浮,SO2,9.21
五家渠,AQI,102.33
五家渠,CO,0.65
五家渠,NO2,40.12
五家渠,O3,59.0
五家渠,PM10,154.29
五家渠,PM2.5,40.83
五家渠,SO2,11.92
亳州,AQI,69.62
亳州,CO,0.57
亳州,NO2,13.5
亳州,O3,123.88
亳州,PM10,79.96
亳州,PM2.5,47.38
亳州,SO2,10.25
伊春,AQI,156.33
伊春,CO,0.96
伊春,NO2,22.79
伊春,O3,136.88
伊春,PM10,172.62
伊春,PM2.5,120.71
伊春,SO2,10.62
伊犁哈萨克州,AQI,74.0
伊犁哈萨克州,CO,0.45
伊犁哈萨克州,NO2,26.88
伊犁哈萨克州,O3,69.25
伊犁哈萨克州,PM10,97.54
伊犁哈萨克州,PM2.5,31.21
伊犁哈萨克州,SO2,7.21
佛山,AQI,16.83
佛山,CO,0.8
佛山,NO2,31.83
佛山,O3,22.21
佛山,PM10,14.29
佛山,PM2.5,9.88
佛山,SO2,5.21
佳木斯,AQI,252.46
佳木斯,CO,1.18
佳木斯,NO2,33.58
佳木斯,O3,132.83
佳木斯,PM10,213.0
佳木斯,PM2.5,208.29
佳木斯,SO2,13.21
保定,AQI,68.08
保定,CO,0.62
保定,NO2,31.08
保定,O3,84.04
保定,PM10,85.62
保定,PM2.5,39.46
保定,SO2,7.67
保山,AQI,41.25
保山,CO,0.55
保山,NO2,9.04
保山,O3,71.0
保山,PM10,41.79
保山,PM2.5,14.96
保山,SO2,5.17
信阳,AQI,57.75
信阳,CO,0.43
信阳,NO2,19.42
信阳,O3,102.29
信阳,PM10,64.75
信阳,PM2.5,26.96
信阳,SO2,8.38
儋州,AQI,10.75
儋州,CO,0.8
儋州,NO2,12.17
儋州,O3,19.38
儋州,PM10,9.12
儋州,PM2.5,5.67
儋州,SO2,3.83
克孜勒苏柯尔克孜自治州,AQI,196.5
克孜勒苏柯尔克孜自治州,CO,0.32
克孜勒苏柯尔克孜自治州,NO2,15.67
克孜勒苏柯尔克孜自治州,O3,76.96
克孜勒苏柯尔克孜自治州,PM10,331.29
克孜勒苏柯尔克孜自治州,PM2.5,86.04
克孜勒苏柯尔克孜自治州,SO2,5.96
克拉玛依,AQI,93.21
克拉玛依,CO,0.37
克拉玛依,NO2,18.67
克拉玛依,O3,92.21
克拉玛依,PM10,135.88
克拉玛依,PM2.5,24.88
克拉玛依,SO2,8.38
六安,AQI,66.67
六安,CO,0.33
六安,NO2,11.29
六安,O3,113.83
六安,PM10,82.92
六安,PM2.5,35.5
六安,SO2,6.96
六盘水,AQI,34.54
六盘水,CO,0.47
六盘水,NO2,9.88
六盘水,O3,75.5
六盘水,PM10,33.67
六盘水,PM2.5,16.21
六盘水,SO2,6.21
兰州,AQI,62.0
兰州,CO,0.61
兰州,NO2,33.42
兰州,O3,69.42
兰州,PM10,74.54
兰州,PM2.5,26.54
兰州,SO2,9.5
兰州新区,AQI,46.38
兰州新区,CO,0.53
兰州新区,NO2,14.08
兰州新区,O3,95.17
兰州新区,PM10,49.71
兰州新区,PM2.5,14.17
兰州新区,SO2,8.42
兴安盟,AQI,67.88
兴安盟,CO,0.7
兴安盟,NO2,16.04
兴安盟,O3,72.67
兴安盟,PM10,81.17
兴安盟,PM2.5,33.62
兴安盟,SO2,4.38
内江,AQI,41.25
内江,CO,0.57
内江,NO2,32.33
内江,O3,54.46
内江,PM10,41.58
内江,PM2.5,19.83
内江,SO2,8.79
凉山彝族自治州,AQI,23.96
凉山彝族自治州,CO,0.62
凉山彝族自治州,NO2,11.75
凉山彝族自治州,O3,66.92
凉山彝族自治州,PM10,21.83
凉山彝族自治州,PM2.5,12.75
凉山彝族自治州,SO2,9.58
包头,AQI,44.71
包头,CO,0.58
包头,NO2,32.21
包头,O3,65.54
包头,PM10,46.96
包头,PM2.5,17.83
包头,SO2,19.12
北京,AQI,74.42
北京,CO,0.47
北京,NO2,30.67
北京,O3,87.67
北京,PM10,88.21
北京,PM2.5,50.25
北京,SO2,2.54
北海,AQI,21.29
北海,CO,0.83
北海,NO2,8.67
北海,O3,41.21
北海,PM10,19.29
北海,PM2.5,13.12
北海,SO2,6.33
十堰,AQI,56.96
十堰,CO,0.53
十堰,NO2,18.62
十堰,O3,76.88
十堰,PM10,64.33
十堰,PM2.5,23.21
十堰,SO2,7.29
南京,AQI,62.54
南京,CO,0.65
南京,NO2,28.04
南京,O3,110.29
南京,PM10,72.46
南京,PM2.5,37.79
南京,SO2,5.42
南充,AQI,54.54
南充,CO,0.57
南充,NO2,23.62
南充,O3,61.46
南充,PM10,56.75
南充,PM2.5,30.08
南充,SO2,7.25
南宁,AQI,40.79
南宁,CO,0.73
南宁,NO2,27.0
南宁,O3,34.62
南宁,PM10,41.12
南宁,PM2.5,20.21
南宁,SO2,10.0
南平,AQI,27.75
南平,CO,0.73
南平,NO2,10.17
南平,O3,54.58
南平,PM10,23.62
南平,PM2.5,17.5
南平,SO2,5.54
南昌,AQI,63.42
南昌,CO,0.82
南昌,NO2,30.0
南昌,O3,82.83
南昌,PM10,75.88
南昌,PM2.5,40.67
南昌,SO2,13.75
南通,AQI,64.62
南通,CO,0.75
南通,NO2,35.04
南通,O3,115.04
南通,PM10,67.29
南通,PM2.5,42.46
南通,SO2,9.5
南阳,AQI,62.38
南阳,CO,0.54
南阳,NO2,25.88
南阳,O3,84.08
南阳,PM10,74.08
南阳,PM2.5,29.25
南阳,SO2,5.92
博尔塔拉蒙古自治州,AQI,115.79
博尔塔拉蒙古自治州,CO,0.23
博尔塔拉蒙古自治州,NO2,11.79
博尔塔拉蒙古自治州,O3,86.75
博尔塔拉蒙古自治州,PM10,167.33
博尔塔拉蒙古自治州,PM2.5,26.58
博尔塔拉蒙古自治州,SO2,7.75
厦门,AQI,54.42
厦门,CO,0.65
厦门,NO2,30.46
厦门,O3,62.42
厦门,PM10,48.17
厦门,PM2.5,38.92
厦门,SO2,4.83
双鸭山,AQI,167.25
双鸭山,CO,0.89
双鸭山,NO2,26.5
双鸭山,O3,133.33
双鸭山,PM10,174.5
双鸭山,PM2.5,128.96
双鸭山,SO2,16.08
台州,AQI,74.54
台州,CO,0.52
台州,NO2,26.42
台州,O3,115.12
台州,PM10,94.25
台州,PM2.5,54.21
台州,SO2,7.5
合肥,AQI,80.58
合肥,CO,0.59
合肥,NO2,46.33
合肥,O3,87.12
合肥,PM10,110.58
合肥,PM2.5,44.0
合肥,SO2,8.12
吉安,AQI,45.67
吉安,CO,0.48
吉安,NO2,18.88
吉安,O3,54.83
吉安,PM10,47.38
吉安,PM2.5,25.5
吉安,SO2,6.12
吉林,AQI,99.67
吉林,CO,0.85
吉林,NO2,19.67
吉林,O3,131.33
吉林,PM10,95.62
吉林,PM2.5,71.5
吉林,SO2,11.04
吐鲁番地区,AQI,122.42
吐鲁番地区,CO,0.32
吐鲁番地区,NO2,24.67
吐鲁番地区,O3,97.29
吐鲁番地区,PM10,194.5
吐鲁番地区,PM2.5,49.92
吐鲁番地区,SO2,5.21
吕梁,AQI,57.38
吕梁,CO,0.41
吕梁,NO2,44.21
吕梁,O3,52.54
吕梁,PM10,66.12
吕梁,PM2.5,23.58
吕梁,SO2,6.29
吴忠,AQI,64.75
吴忠,CO,0.61
吴忠,NO2,32.38
吴忠,O3,61.62
吴忠,PM10,75.46
吴忠,PM2.5,38.17
吴忠,SO2,12.96
周口,AQI,70.88
周口,CO,0.64
周口,NO2,15.29
周口,O3,123.88
周口,PM10,89.38
周口,PM2.5,44.96
周口,SO2,11.38
呼伦贝尔,AQI,34.92
呼伦贝尔,CO,0.42
呼伦贝尔,NO2,10.79
呼伦贝尔,O3,76.71
呼伦贝尔,PM10,33.38
呼伦贝尔,PM2.5,18.46
呼伦贝尔,SO2,4.21
呼和浩特,AQI,50.67
呼和浩特,CO,0.47
呼和浩特,NO2,26.75
呼和浩特,O3,74.46
呼和浩特,PM10,53.96
呼和浩特,PM2.5,26.21
呼和浩特,SO2,10.25
和田地区,AQI,165.88
和田地区,CO,1.07
和田地区,NO2,19.83
和田地区,O3,79.88
和田地区,PM10,276.88
和田地区,PM2.5,98.17
和田地区,SO2,13.29
咸宁,AQI,60.42
咸宁,CO,0.57
咸宁,NO2,17.04
咸宁,O3,86.54
咸宁,PM10,72.46
咸宁,PM2.5,23.96
咸宁,SO2,6.21
咸阳,AQI,72.29
咸阳,CO,0.68
咸阳,NO2,48.54
咸阳,O3,51.0
咸阳,PM10,94.25
咸阳,PM2.5,37.83
咸阳,SO2,5.92
哈密地区,AQI,78.92
哈密地区,CO,0.66
哈密地区,NO2,36.38
哈密地区,O3,66.08
哈密地区,PM10,107.21
哈密地区,PM2.5,27.25
哈密地区,SO2,2.67
哈尔滨,AQI,221.79
哈尔滨,CO,1.06
哈尔滨,NO2,33.75
哈尔滨,O3,131.21
哈尔滨,PM10,291.29
哈尔滨,PM2.5,159.21
哈尔滨,SO2,17.96
唐山,AQI,89.79
唐山,CO,0.66
唐山,NO2,35.25
唐山,O3,106.88
唐山,PM10,103.79
唐山,PM2.5,62.21
唐山,SO2,7.75
商丘,AQI,85.46
商丘,CO,0.57
商丘,NO2,16.42
商丘,O3,113.08
商丘,PM10,96.0
商丘,PM2.5,59.75
商丘,SO2,18.12
商洛,AQI,49.54
商洛,CO,0.27
商洛,NO2,22.54
商洛,O3,73.42
商洛,PM10,51.5
商洛,PM2.5,19.79
商洛,SO2,9.88
喀什地区,AQI,218.79
喀什地区,CO,0.65
喀什地区,NO2,36.04
喀什地区,O3,60.25
喀什地区,PM10,347.62
喀什地区,PM2.5,109.33
喀什地区,SO2,8.04
嘉兴,AQI,61.83
嘉兴,CO,0.59
嘉兴,NO2,30.17
嘉兴,O3,116.62
嘉兴,PM10,72.0
嘉兴,PM2.5,39.88
嘉兴,SO2,9.75
嘉峪关,AQI,36.04
嘉峪关,CO,0.34
嘉峪关,NO2,12.29
嘉峪关,O3,103.5
嘉峪关,PM10,32.0
嘉峪关,PM2.5,13.04
嘉峪关,SO2,8.62
四平,AQI,74.71
四平,CO,0.51
四平,NO2,16.38
四平,O3,121.71
四平,PM10,97.42
四平,PM2.5,44.5
四平,SO2,12.33
固原,AQI,42.83
固原,CO,0.44
固原,NO2,25.46
固原,O3,66.46
固原,PM10,43.5
固原,PM2.5,18.17
固原,SO2,4.83
塔城地区,AQI,79.17
塔城地区,CO,0.38
塔城地区,NO2,15.08
塔城地区,O3,75.42
塔城地区,PM10,107.88
塔城地区,PM2.5,20.75
塔城地区,SO2,2.21
大兴安岭地区,AQI,34.12
大兴安岭地区,CO,0.41
大兴安岭地区,NO2,11.71
大兴安岭地区,O3,81.29
大兴安岭地区,PM10,33.67
大兴安岭地区,PM2.5,13.25
大兴安岭地区,SO2,6.29
大同,AQI,50.38
大同,CO,0.64
大同,NO2,25.21
大同,O3,69.42
大同,PM10,52.75
大同,PM2.5,16.83
大同,SO2,19.29
大庆,AQI,94.17
大庆,CO,0.92
大庆,NO2,16.21
大庆,O3,80.21
大庆,PM10,120.12
大庆,PM2.5,47.83
大庆,SO2,6.29
大理州,AQI,37.42
大理州,CO,0.58
大理州,NO2,10.17
大理州,O3,90.42
大理州,PM10,35.38
大理州,PM2.5,22.0
大理州,SO2,5.08
大连,AQI,64.96
大连,CO,0.59
大连,NO2,28.17
大连,O3,127.79
大连,PM10,70.33
大连,PM2.5,45.33
大连,SO2,10.75
天水,AQI,66.04
天水,CO,0.45
天水,NO2,26.75
天水,O3,53.5
天水,PM10,79.92
天水,PM2.5,28.0
天水,SO2,7.17
天津,AQI,84.62
天津,CO,0.73
天津,NO2,33.17
天津,O3,102.67
天津,PM10,96.71
天津,PM2.5,59.46
天津,SO2,11.46
太原,AQI,60.08
太原,CO,0.58
太原,NO2,33.33
太原,O3,72.42
太原,PM10,68.0
太原,PM2.5,39.83
太原,SO2,12.67
威海,AQI,77.29
威海,CO,0.5
威海,NO2,23.71
威海,O3,150.38
威海,PM10,82.83
威海,PM2.5,50.0
威海,SO2,9.25
娄底,AQI,59.92
娄底,CO,1.0
娄底,NO2,26.38
娄底,O3,56.92
娄底,PM10,61.88
娄底,PM2.5,40.12
娄底,SO2,12.29
孝感,AQI,69.79
孝感,CO,0.52
孝感,NO2,19.54
孝感,O3,88.54
孝感,PM10,89.04
孝感,PM2.5,30.5
孝感,SO2,5.29
宁德,AQI,58.12
宁德,CO,0.76
宁德,NO2,15.5
宁德,O3,87.92
宁德,PM10,49.17
宁德,PM2.5,38.88
宁德,SO2,8.75
宁波,AQI,70.92
宁波,CO,0.8
宁波,NO2,45.54
宁波,O3,106.46
宁波,PM10,74.67
宁波,PM2.5,48.08
宁波,SO2,15.0
安庆,AQI,68.12
安庆,CO,0.66
安庆,NO2,35.79
安庆,O3,90.21
安庆,PM10,72.33
安庆,PM2.5,39.79
安庆,SO2,8.08
安康,AQI,52.42
安康,CO,0.37
安康,NO2,13.88
安康,O3,66.12
安康,PM10,55.62
安康,PM2.5,23.67
