city,month,type,value
七台河,202401.csv,AQI,88.26
七台河,202401.csv,CO,1.0
七台河,202401.csv,NO2,39.09
七台河,202401.csv,O3,46.06
七台河,202401.csv,PM10,81.26
七台河,202401.csv,PM2.5,65.38
七台河,202401.csv,SO2,12.74
三亚,202401.csv,AQI,30.45
三亚,202401.csv,CO,0.45
三亚,202401.csv,NO2,6.88
三亚,202401.csv,O3,81.74
三亚,202401.csv,PM10,28.9
三亚,202401.csv,PM2.5,13.33
三亚,202401.csv,SO2,3.07
三明,202401.csv,AQI,48.31
三明,202401.csv,CO,0.85
三明,202401.csv,NO2,25.31
三明,202401.csv,O3,38.44
三明,202401.csv,PM10,44.68
三明,202401.csv,PM2.5,32.56
三明,202401.csv,SO2,8.18
三门峡,202401.csv,AQI,97.33
三门峡,202401.csv,CO,1.01
三门峡,202401.csv,NO2,42.2
三门峡,202401.csv,O3,36.23
三门峡,202401.csv,PM10,98.43
三门峡,202401.csv,PM2.5,71.94
三门峡,202401.csv,SO2,11.77
上海,202401.csv,AQI,79.77
上海,202401.csv,CO,0.92
上海,202401.csv,NO2,53.26
上海,202401.csv,O3,40.79
上海,202401.csv,PM10,81.59
上海,202401.csv,PM2.5,57.47
上海,202401.csv,SO2,8.2
上饶,202401.csv,AQI,64.32
上饶,202401.csv,CO,0.86
上饶,202401.csv,NO2,30.87
上饶,202401.csv,O3,35.55
上饶,202401.csv,PM10,71.13
上饶,202401.csv,PM2.5,44.08
上饶,202401.csv,SO2,17.1
东莞,202401.csv,AQI,53.59
东莞,202401.csv,CO,0.81
东莞,202401.csv,NO2,37.89
东莞,202401.csv,O3,64.67
东莞,202401.csv,PM10,57.44
东莞,202401.csv,PM2.5,33.67
东莞,202401.csv,SO2,8.93
东营,202401.csv,AQI,83.65
东营,202401.csv,CO,0.86
东营,202401.csv,NO2,44.19
东营,202401.csv,O3,40.54
东营,202401.csv,PM10,89.63
东营,202401.csv,PM2.5,57.19
东营,202401.csv,SO2,11.96
中卫,202401.csv,AQI,89.54
中卫,202401.csv,CO,0.71
中卫,202401.csv,NO2,38.04
中卫,202401.csv,O3,40.13
中卫,202401.csv,PM10,111.51
中卫,202401.csv,PM2.5,54.1
中卫,202401.csv,SO2,14.91
中山,202401.csv,AQI,52.56
中山,202401.csv,CO,0.61
中山,202401.csv,NO2,38.85
中山,202401.csv,O3,56.71
中山,202401.csv,PM10,52.18
中山,202401.csv,PM2.5,33.6
