city,type,value
七台河,AQI,30.85
七台河,CO,0.42
七台河,NO2,18.57
七台河,O3,39.81
七台河,PM10,30.73
七台河,PM2.5,11.59
七台河,SO2,7.19
三亚,AQI,18.69
三亚,CO,0.34
三亚,NO2,6.48
三亚,O3,42.7
三亚,PM10,15.65
三亚,PM2.5,6.08
三亚,SO2,3.15
三明,AQI,24.6
三明,CO,0.54
三明,NO2,12.76
三明,O3,45.08
三明,PM10,22.5
三明,PM2.5,12.86
三明,SO2,5.31
三门峡,AQI,48.77
三门峡,CO,0.62
三门峡,NO2,14.34
三门峡,O3,104.68
三门峡,PM10,49.69
三门峡,PM2.5,24.91
三门峡,SO2,12.04
上海,AQI,28.12
上海,CO,0.58
上海,NO2,18.08
上海,O3,59.71
上海,PM10,25.78
上海,PM2.5,13.91
上海,SO2,7.01
上饶,AQI,36.1
上饶,CO,0.72
上饶,NO2,12.83
上饶,O3,77.89
上饶,PM10,33.3
上饶,PM2.5,18.9
上饶,SO2,12.58
东莞,AQI,32.91
东莞,CO,0.66
东莞,NO2,20.85
东莞,O3,63.69
东莞,PM10,28.53
东莞,PM2.5,15.82
东莞,SO2,6.73
东营,AQI,39.56
东营,CO,0.41
东营,NO2,14.32
东营,O3,101.36
东营,PM10,30.31
东营,PM2.5,13.6
东营,SO2,6.4
中卫,AQI,51.15
中卫,CO,0.55
中卫,NO2,16.58
中卫,O3,66.91
中卫,PM10,62.54
中卫,PM2.5,22.82
中卫,SO2,6.92
中山,AQI,32.21
中山,CO,0.47
中山,NO2,16.82
中山,O3,72.28
中山,PM10,27.21
中山,PM2.5,14.58
中山,SO2,3.97
临夏回族自治州,AQI,36.1
临夏回族自治州,CO,0.43
临夏回族自治州,NO2,11.66
临夏回族自治州,O3,61.29
临夏回族自治州,PM10,34.89
临夏回族自治州,PM2.5,18.32
临夏回族自治州,SO2,8.19
临汾,AQI,51.44
临汾,CO,0.77
临汾,NO2,18.25
临汾,O3,83.35
临汾,PM10,54.59
临汾,PM2.5,24.16
临汾,SO2,6.41
临沂,AQI,39.01
临沂,CO,0.55
临沂,NO2,18.08
临沂,O3,90.43
临沂,PM10,33.41
临沂,PM2.5,16.74
临沂,SO2,7.96
临沧,AQI,25.45
临沧,CO,0.44
临沧,NO2,9.99
临沧,O3,38.83
临沧,PM10,21.82
临沧,PM2.5,16.08
临沧,SO2,5.61
丹东,AQI,29.41
丹东,CO,0.66
丹东,NO2,13.65
丹东,O3,51.94
丹东,PM10,27.2
丹东,PM2.5,12.44
丹东,SO2,5.66
丽水,AQI,24.99
丽水,CO,0.44
丽水,NO2,12.3
丽水,O3,50.29
丽水,PM10,22.84
丽水,PM2.5,11.58
丽水,SO2,3.87
丽江,AQI,23.17
丽江,CO,0.64
丽江,NO2,11.48
丽江,O3,53.29
丽江,PM10,19.7
丽江,PM2.5,12.94
丽江,SO2,8.74
乌兰察布,AQI,32.33
乌兰察布,CO,0.46
乌兰察布,NO2,15.43
乌兰察布,O3,68.01
乌兰察布,PM10,30.14
乌兰察布,PM2.5,18.47
乌兰察布,SO2,7.7
乌海,AQI,49.41
乌海,CO,0.62
乌海,NO2,22.11
乌海,O3,63.6
乌海,PM10,56.82
乌海,PM2.5,21.66
乌海,SO2,13.28
乌鲁木齐,AQI,38.22
乌鲁木齐,CO,0.41
乌鲁木齐,NO2,23.18
乌鲁木齐,O3,65.38
乌鲁木齐,PM10,38.7
乌鲁木齐,PM2.5,13.73
乌鲁木齐,SO2,6.4
乐山,AQI,47.71
乐山,CO,0.62
乐山,NO2,17.75
乐山,O3,89.67
乐山,PM10,38.38
乐山,PM2.5,28.83
乐山,SO2,4.38
九江,AQI,40.64
九江,CO,0.71
九江,NO2,16.49
九江,O3,92.77
九江,PM10,37.26
九江,PM2.5,22.65
九江,SO2,10.65
云浮,AQI,32.1
云浮,CO,0.64
云浮,NO2,18.74
云浮,O3,52.05
云浮,PM10,30.06
云浮,PM2.5,13.58
云浮,SO2,8.72
五家渠,AQI,41.3
五家渠,CO,0.35
五家渠,NO2,17.14
五家渠,O3,59.88
五家渠,PM10,42.96
五家渠,PM2.5,14.81
五家渠,SO2,7.57
亳州,AQI,40.38
亳州,CO,0.52
亳州,NO2,11.06
亳州,O3,80.42
亳州,PM10,37.65
亳州,PM2.5,21.08
亳州,SO2,6.61
伊春,AQI,24.31
伊春,CO,0.58
伊春,NO2,10.63
伊春,O3,39.31
伊春,PM10,23.2
伊春,PM2.5,10.0
伊春,SO2,6.58
伊犁哈萨克州,AQI,43.25
伊犁哈萨克州,CO,0.56
伊犁哈萨克州,NO2,23.9
伊犁哈萨克州,O3,55.96
伊犁哈萨克州,PM10,46.52
伊犁哈萨克州,PM2.5,17.55
伊犁哈萨克州,SO2,7.88
佛山,AQI,36.58
佛山,CO,0.61
佛山,NO2,26.32
佛山,O3,69.08
佛山,PM10,30.86
佛山,PM2.5,18.38
佛山,SO2,7.37
佳木斯,AQI,24.48
佳木斯,CO,0.47
佳木斯,NO2,14.29
佳木斯,O3,46.02
佳木斯,PM10,22.65
佳木斯,PM2.5,9.36
佳木斯,SO2,6.52
保定,AQI,49.77
保定,CO,0.38
保定,NO2,20.74
保定,O3,72.67
保定,PM10,50.0
保定,PM2.5,25.55
保定,SO2,3.17
保山,AQI,30.69
保山,CO,0.43
保山,NO2,7.73
保山,O3,53.63
保山,PM10,29.83
保山,PM2.5,14.09
保山,SO2,6.0
信阳,AQI,45.88
信阳,CO,0.54
信阳,NO2,13.68
信阳,O3,88.9
信阳,PM10,45.23
信阳,PM2.5,23.06
信阳,SO2,3.93
儋州,AQI,21.03
儋州,CO,0.55
儋州,NO2,4.6
儋州,O3,53.3
儋州,PM10,17.34
儋州,PM2.5,9.07
儋州,SO2,4.71
克孜勒苏柯尔克孜自治州,AQI,98.54
克孜勒苏柯尔克孜自治州,CO,0.48
克孜勒苏柯尔克孜自治州,NO2,10.95
克孜勒苏柯尔克孜自治州,O3,89.22
克孜勒苏柯尔克孜自治州,PM10,142.03
克孜勒苏柯尔克孜自治州,PM2.5,46.1
克孜勒苏柯尔克孜自治州,SO2,7.7
克拉玛依,AQI,29.63
克拉玛依,CO,0.31
克拉玛依,NO2,11.62
克拉玛依,O3,68.28
克拉玛依,PM10,26.26
克拉玛依,PM2.5,8.92
克拉玛依,SO2,8.12
六安,AQI,40.32
六安,CO,0.45
六安,NO2,10.17
六安,O3,77.87
六安,PM10,37.68
六安,PM2.5,22.24
六安,SO2,3.92
六盘水,AQI,28.79
六盘水,CO,0.51
六盘水,NO2,11.43
六盘水,O3,69.39
六盘水,PM10,24.81
六盘水,PM2.5,14.88
六盘水,SO2,8.21
兰州,AQI,41.34
兰州,CO,0.52
兰州,NO2,24.42
兰州,O3,65.6
兰州,PM10,40.86
兰州,PM2.5,25.67
兰州,SO2,8.84
兰州新区,AQI,38.72
兰州新区,CO,0.48
兰州新区,NO2,12.71
兰州新区,O3,76.96
兰州新区,PM10,36.85
兰州新区,PM2.5,20.22
兰州新区,SO2,12.66
兴安盟,AQI,30.33
兴安盟,CO,0.4
兴安盟,NO2,11.25
兴安盟,O3,49.94
兴安盟,PM10,29.7
兴安盟,PM2.5,13.93
兴安盟,SO2,2.58
内江,AQI,50.69
内江,CO,0.61
内江,NO2,19.29
内江,O3,98.83
内江,PM10,37.59
内江,PM2.5,30.9
内江,SO2,5.98
凉山彝族自治州,AQI,24.95
凉山彝族自治州,CO,0.65
凉山彝族自治州,NO2,11.05
凉山彝族自治州,O3,65.39
凉山彝族自治州,PM10,21.29
凉山彝族自治州,PM2.5,13.1
凉山彝族自治州,SO2,9.12
包头,AQI,33.54
包头,CO,0.75
包头,NO2,25.58
包头,O3,56.83
包头,PM10,31.12
包头,PM2.5,16.19
包头,SO2,10.86
北京,AQI,33.89
北京,CO,0.48
北京,NO2,18.4
北京,O3,54.62
北京,PM10,31.41
北京,PM2.5,17.34
北京,SO2,3.11
北海,AQI,30.51
北海,CO,0.62
北海,NO2,9.2
北海,O3,66.77
北海,PM10,28.02
北海,PM2.5,16.91
北海,SO2,5.6
十堰,AQI,39.01
十堰,CO,0.74
十堰,NO2,12.95
十堰,O3,85.07
十堰,PM10,35.69
十堰,PM2.5,23.61
十堰,SO2,7.34
南京,AQI,32.56
南京,CO,0.49
南京,NO2,14.45
南京,O3,76.28
