city,type,value
七台河,AQI,38.17
七台河,CO,0.56
七台河,NO2,21.83
七台河,O3,38.17
七台河,PM10,38.0
七台河,PM2.5,15.54
七台河,SO2,8.96
三亚,AQI,29.54
三亚,CO,0.44
三亚,NO2,4.96
三亚,O3,87.62
三亚,PM10,27.21
三亚,PM2.5,13.08
三亚,SO2,3.5
三明,AQI,27.21
三明,CO,0.64
三明,NO2,14.04
三明,O3,40.46
三明,PM10,25.62
三明,PM2.5,17.79
三明,SO2,4.96
三门峡,AQI,27.54
三门峡,CO,0.47
三门峡,NO2,21.54
三门峡,O3,49.96
三门峡,PM10,23.92
三门峡,PM2.5,12.21
三门峡,SO2,3.08
上海,AQI,52.21
上海,CO,0.97
上海,NO2,32.54
上海,O3,35.71
上海,PM10,54.71
上海,PM2.5,36.46
上海,SO2,7.04
上饶,AQI,47.0
上饶,CO,0.77
上饶,NO2,23.83
上饶,O3,40.04
上饶,PM10,48.67
上饶,PM2.5,26.38
上饶,SO2,16.79
东莞,AQI,26.42
东莞,CO,0.61
东莞,NO2,16.08
东莞,O3,60.42
东莞,PM10,24.42
东莞,PM2.5,14.04
东莞,SO2,7.75
东营,AQI,44.5
东营,CO,0.61
东营,NO2,23.12
东营,O3,48.08
东营,PM10,43.62
东营,PM2.5,29.17
东营,SO2,5.08
中卫,AQI,36.42
中卫,CO,0.42
中卫,NO2,32.71
中卫,O3,36.79
中卫,PM10,37.46
中卫,PM2.5,18.38
中卫,SO2,7.71
中山,AQI,38.29
中山,CO,0.49
中山,NO2,23.08
中山,O3,72.0
中山,PM10,36.38
中山,PM2.5,17.25
中山,SO2,6.25
临夏回族自治州,AQI,36.29
临夏回族自治州,CO,0.54
临夏回族自治州,NO2,21.54
临夏回族自治州,O3,54.75
临夏回族自治州,PM10,37.67
临夏回族自治州,PM2.5,15.42
临夏回族自治州,SO2,3.38
临汾,AQI,32.17
临汾,CO,0.51
临汾,NO2,20.17
临汾,O3,59.42
临汾,PM10,29.54
临汾,PM2.5,12.5
临汾,SO2,4.33
临沂,AQI,49.46
临沂,CO,0.61
临沂,NO2,31.17
临沂,O3,36.71
临沂,PM10,47.71
临沂,PM2.5,34.5
临沂,SO2,3.54
临沧,AQI,22.58
临沧,CO,0.58
临沧,NO2,10.62
临沧,O3,25.12
临沧,PM10,20.78
临沧,PM2.5,14.04
临沧,SO2,6.92
丹东,AQI,17.12
丹东,CO,0.53
丹东,NO2,12.17
丹东,O3,36.38
丹东,PM10,16.21
丹东,PM2.5,11.08
丹东,SO2,5.83
丽水,AQI,39.58
丽水,CO,0.59
丽水,NO2,18.62
丽水,O3,59.83
丽水,PM10,39.62
丽水,PM2.5,24.38
丽水,SO2,3.58
丽江,AQI,26.38
丽江,CO,0.56
丽江,NO2,11.79
丽江,O3,51.12
丽江,PM10,25.46
丽江,PM2.5,15.42
丽江,SO2,8.25
乌兰察布,AQI,26.67
乌兰察布,CO,0.31
乌兰察布,NO2,13.83
乌兰察布,O3,67.5
乌兰察布,PM10,22.92
乌兰察布,PM2.5,13.54
乌兰察布,SO2,8.79
乌海,AQI,37.12
乌海,CO,0.61
乌海,NO2,20.54
乌海,O3,70.79
乌海,PM10,36.83
乌海,PM2.5,17.21
乌海,SO2,17.12
乌鲁木齐,AQI,43.71
乌鲁木齐,CO,0.6
乌鲁木齐,NO2,42.12
乌鲁木齐,O3,37.58
乌鲁木齐,PM10,46.42
乌鲁木齐,PM2.5,22.46
乌鲁木齐,SO2,5.75
乐山,AQI,26.12
乐山,CO,0.54
乐山,NO2,21.08
乐山,O3,45.83
乐山,PM10,25.67
乐山,PM2.5,13.54
乐山,SO2,4.17
九江,AQI,42.04
九江,CO,0.78
九江,NO2,25.42
九江,O3,30.83
九江,PM10,41.92
九江,PM2.5,27.79
九江,SO2,8.88
云浮,AQI,36.83
云浮,CO,0.53
云浮,NO2,20.79
云浮,O3,49.58
云浮,PM10,35.92
云浮,PM2.5,16.67
云浮,SO2,14.46
五家渠,AQI,48.42
五家渠,CO,0.55
五家渠,NO2,31.46
五家渠,O3,30.12
五家渠,PM10,52.08
五家渠,PM2.5,26.71
五家渠,SO2,8.33
亳州,AQI,65.08
亳州,CO,0.55
亳州,NO2,21.12
亳州,O3,48.25
亳州,PM10,73.79
亳州,PM2.5,46.46
亳州,SO2,4.0
伊春,AQI,38.58
伊春,CO,0.53
伊春,NO2,8.5
伊春,O3,36.58
伊春,PM10,36.67
伊春,PM2.5,24.71
伊春,SO2,4.83
伊犁哈萨克州,AQI,64.62
伊犁哈萨克州,CO,1.25
伊犁哈萨克州,NO2,42.67
伊犁哈萨克州,O3,25.83
伊犁哈萨克州,PM10,81.38
伊犁哈萨克州,PM2.5,33.04
伊犁哈萨克州,SO2,9.25
佛山,AQI,33.54
佛山,CO,0.61
佛山,NO2,24.62
佛山,O3,60.04
佛山,PM10,31.92
佛山,PM2.5,18.33
佛山,SO2,9.29
佳木斯,AQI,22.46
佳木斯,CO,0.41
佳木斯,NO2,10.79
佳木斯,O3,40.83
佳木斯,PM10,21.58
佳木斯,PM2.5,11.92
佳木斯,SO2,6.29
保定,AQI,67.92
保定,CO,0.47
保定,NO2,34.29
保定,O3,27.62
保定,PM10,63.71
保定,PM2.5,44.25
保定,SO2,3.17
保山,AQI,29.33
保山,CO,0.39
保山,NO2,7.67
保山,O3,32.0
保山,PM10,29.25
保山,PM2.5,14.46
保山,SO2,5.17
信阳,AQI,34.71
信阳,CO,0.45
信阳,NO2,22.21
信阳,O3,51.75
信阳,PM10,32.54
信阳,PM2.5,18.0
信阳,SO2,3.75
儋州,AQI,34.29
儋州,CO,0.5
儋州,NO2,4.29
儋州,O3,103.5
儋州,PM10,31.25
儋州,PM2.5,18.83
儋州,SO2,6.12
克孜勒苏柯尔克孜自治州,AQI,95.33
克孜勒苏柯尔克孜自治州,CO,0.7
克孜勒苏柯尔克孜自治州,NO2,21.71
克孜勒苏柯尔克孜自治州,O3,81.0
克孜勒苏柯尔克孜自治州,PM10,139.83
克孜勒苏柯尔克孜自治州,PM2.5,48.62
克孜勒苏柯尔克孜自治州,SO2,15.92
克拉玛依,AQI,27.92
克拉玛依,CO,0.38
克拉玛依,NO2,19.08
克拉玛依,O3,50.33
克拉玛依,PM10,26.83
克拉玛依,PM2.5,15.17
克拉玛依,SO2,6.25
六安,AQI,38.38
六安,CO,0.52
六安,NO2,20.33
六安,O3,40.38
六安,PM10,38.27
六安,PM2.5,26.08
六安,SO2,3.58
六盘水,AQI,19.67
六盘水,CO,0.48
六盘水,NO2,10.79
六盘水,O3,55.5
六盘水,PM10,15.5
六盘水,PM2.5,7.46
六盘水,SO2,8.08
兰州,AQI,50.71
兰州,CO,0.64
兰州,NO2,46.62
兰州,O3,45.12
兰州,PM10,57.0
兰州,PM2.5,28.25
兰州,SO2,11.17
兰州新区,AQI,38.92
兰州新区,CO,0.42
兰州新区,NO2,22.42
兰州新区,O3,64.33
兰州新区,PM10,42.38
兰州新区,PM2.5,18.42
兰州新区,SO2,13.62
兴安盟,AQI,32.17
兴安盟,CO,0.58
兴安盟,NO2,15.04
兴安盟,O3,45.29
兴安盟,PM10,32.46
兴安盟,PM2.5,21.5
兴安盟,SO2,2.42
内江,AQI,25.83
内江,CO,0.52
内江,NO2,21.42
内江,O3,42.62
内江,PM10,25.21
内江,PM2.5,12.04
内江,SO2,4.58
凉山彝族自治州,AQI,22.75
凉山彝族自治州,CO,0.7
凉山彝族自治州,NO2,13.08
凉山彝族自治州,O3,41.79
凉山彝族自治州,PM10,22.42
凉山彝族自治州,PM2.5,12.88
凉山彝族自治州,SO2,10.12
包头,AQI,31.38
包头,CO,0.76
包头,NO2,35.83
包头,O3,42.42
包头,PM10,29.62
包头,PM2.5,13.08
包头,SO2,11.75
北京,AQI,26.17
北京,CO,0.3
北京,NO2,20.58
北京,O3,39.79
北京,PM10,21.5
北京,PM2.5,12.12
北京,SO2,2.25
北海,AQI,47.33
北海,CO,0.76
北海,NO2,12.88
北海,O3,86.29
北海,PM10,45.96
北海,PM2.5,30.5
北海,SO2,9.92
十堰,AQI,24.33
十堰,CO,0.52
十堰,NO2,16.88
十堰,O3,40.58
十堰,PM10,21.5
十堰,PM2.5,12.42
十堰,SO2,6.38
南京,AQI,32.67
南京,CO,0.6
南京,NO2,20.62
南京,O3,43.46
南京,PM10,29.12
南京,PM2.5,23.04
南京,SO2,4.25
南充,AQI,32.79
南充,CO,0.41
南充,NO2,20.46
南充,O3,40.62
南充,PM10,34.12
南充,PM2.5,15.38
南充,SO2,3.08
南宁,AQI,45.38
南宁,CO,0.81
南宁,NO2,19.5
南宁,O3,72.92
南宁,PM10,46.17
南宁,PM2.5,29.08
南宁,SO2,8.62
南平,AQI,22.67
南平,CO,0.44
南平,NO2,13.29
南平,O3,40.71
南平,PM10,21.79
南平,PM2.5,14.29
南平,SO2,3.04
南昌,AQI,43.21
南昌,CO,0.7
南昌,NO2,22.38
南昌,O3,46.46
南昌,PM10,44.5
南昌,PM2.5,27.12
南昌,SO2,8.62
南通,AQI,30.12
南通,CO,0.61
南通,NO2,15.17
南通,O3,46.46
南通,PM10,28.17
南通,PM2.5,20.29
南通,SO2,4.25
南阳,AQI,46.88
南阳,CO,0.61
南阳,NO2,28.04
南阳,O3,39.42
南阳,PM10,39.0
南阳,PM2.5,31.88
南阳,SO2,4.58
博尔塔拉蒙古自治州,AQI,52.62
博尔塔拉蒙古自治州,CO,0.54
博尔塔拉蒙古自治州,NO2,19.12
博尔塔拉蒙古自治州,O3,37.21
博尔塔拉蒙古自治州,PM10,56.17
博尔塔拉蒙古自治州,PM2.5,28.33
博尔塔拉蒙古自治州,SO2,5.96
厦门,AQI,27.17
厦门,CO,0.41
厦门,NO2,9.38
厦门,O3,66.96
厦门,PM10,25.21
厦门,PM2.5,12.67
厦门,SO2,1.5
双鸭山,AQI,31.5
双鸭山,CO,0.44
双鸭山,NO2,12.83
双鸭山,O3,40.21
双鸭山,PM10,30.33
双鸭山,PM2.5,18.54
双鸭山,SO2,10.88
台州,AQI,37.75
台州,CO,0.55
台州,NO2,18.0
台州,O3,49.25
台州,PM10,37.71
台州,PM2.5,21.71
台州,SO2,8.92
合肥,AQI,41.0
合肥,CO,0.65
合肥,NO2,21.71
合肥,O3,47.12
合肥,PM10,42.04
合肥,PM2.5,29.0
合肥,SO2,4.54
吉安,AQI,43.88
吉安,CO,0.74
吉安,NO2,23.33
吉安,O3,44.46
吉安,PM10,44.0
吉安,PM2.5,26.08
吉安,SO2,16.42
吉林,AQI,46.75
吉林,CO,0.65
吉林,NO2,25.12
吉林,O3,44.25
吉林,PM10,48.83
吉林,PM2.5,25.88
吉林,SO2,11.12
吐鲁番地区,AQI,57.21
吐鲁番地区,CO,0.64
吐鲁番地区,NO2,29.5
吐鲁番地区,O3,55.04
吐鲁番地区,PM10,66.42
吐鲁番地区,PM2.5,19.58
吐鲁番地区,SO2,6.71
吕梁,AQI,38.83
吕梁,CO,0.27
吕梁,NO2,22.38
吕梁,O3,52.0
吕梁,PM10,40.29
吕梁,PM2.5,17.21
吕梁,SO2,2.0
吴忠,AQI,40.92
吴忠,CO,0.53
吴忠,NO2,28.83
吴忠,O3,50.71
吴忠,PM10,44.25
吴忠,PM2.5,19.5
吴忠,SO2,11.58
周口,AQI,73.0
周口,CO,0.59
周口,NO2,28.88
周口,O3,43.83
周口,PM10,63.41
周口,PM2.5,51.42
周口,SO2,6.12
呼伦贝尔,AQI,26.62
呼伦贝尔,CO,0.42
呼伦贝尔,NO2,6.83
呼伦贝尔,O3,54.83
呼伦贝尔,PM10,23.78
呼伦贝尔,PM2.5,16.67
呼伦贝尔,SO2,5.12
呼和浩特,AQI,30.58
呼和浩特,CO,0.42
呼和浩特,NO2,25.75
呼和浩特,O3,45.21
呼和浩特,PM10,29.5
呼和浩特,PM2.5,11.21
呼和浩特,SO2,6.25
和田地区,AQI,134.0
和田地区,CO,0.75
和田地区,NO2,22.88
和田地区,O3,62.58
和田地区,PM10,217.25
和田地区,PM2.5,57.42
和田地区,SO2,14.5
咸宁,AQI,30.33
咸宁,CO,0.67
咸宁,NO2,21.04
咸宁,O3,27.29
咸宁,PM10,29.08
咸宁,PM2.5,17.75
咸宁,SO2,6.96
咸阳,AQI,35.88
咸阳,CO,0.5
咸阳,NO2,31.21
咸阳,O3,43.54
咸阳,PM10,36.67
咸阳,PM2.5,17.21
咸阳,SO2,6.62
哈密地区,AQI,57.46
哈密地区,CO,0.55
哈密地区,NO2,43.79
哈密地区,O3,39.04
哈密地区,PM10,66.54
哈密地区,PM2.5,26.21
哈密地区,SO2,7.25
