city,type,value
七台河,AQI,24.69
七台河,CO,0.34
七台河,NO2,15.53
七台河,O3,58.71
七台河,PM10,20.49
七台河,PM2.5,12.11
七台河,SO2,8.83
三亚,AQI,21.37
三亚,CO,0.37
三亚,NO2,5.69
三亚,O3,52.51
三亚,PM10,19.58
三亚,PM2.5,8.05
三亚,SO2,2.28
三明,AQI,26.21
三明,CO,0.82
三明,NO2,14.86
三明,O3,37.19
三明,PM10,24.1
三明,PM2.5,13.49
三明,SO2,8.08
三门峡,AQI,60.55
三门峡,CO,0.57
三门峡,NO2,20.51
三门峡,O3,121.25
三门峡,PM10,61.64
三门峡,PM2.5,25.86
三门峡,SO2,11.98
上海,AQI,36.62
上海,CO,0.6
上海,NO2,24.38
上海,O3,81.92
上海,PM10,26.14
上海,PM2.5,20.41
上海,SO2,6.68
上饶,AQI,28.58
上饶,CO,0.66
上饶,NO2,11.54
上饶,O3,58.9
上饶,PM10,24.81
上饶,PM2.5,12.87
上饶,SO2,8.81
东莞,AQI,24.11
东莞,CO,0.67
东莞,NO2,15.36
东莞,O3,46.5
东莞,PM10,22.05
东莞,PM2.5,10.92
东莞,SO2,6.07
东营,AQI,63.95
东营,CO,0.5
东营,NO2,17.89
东营,O3,135.28
东营,PM10,57.93
东营,PM2.5,22.54
东营,SO2,11.33
中卫,AQI,59.69
中卫,CO,0.37
中卫,NO2,18.31
中卫,O3,101.15
中卫,PM10,68.15
中卫,PM2.5,23.97
中卫,SO2,7.36
中山,AQI,21.11
中山,CO,0.36
中山,NO2,10.96
中山,O3,48.02
中山,PM10,19.14
中山,PM2.5,8.84
中山,SO2,5.8
临夏回族自治州,AQI,39.38
临夏回族自治州,CO,0.33
临夏回族自治州,NO2,10.19
临夏回族自治州,O3,88.8
临夏回族自治州,PM10,30.67
临夏回族自治州,PM2.5,22.09
临夏回族自治州,SO2,6.54
临汾,AQI,77.67
临汾,CO,0.75
临汾,NO2,18.07
临汾,O3,135.88
临汾,PM10,85.03
临汾,PM2.5,31.86
临汾,SO2,7.96
临沂,AQI,62.75
临沂,CO,0.56
临沂,NO2,17.8
临沂,O3,125.1
临沂,PM10,60.6
临沂,PM2.5,24.37
临沂,SO2,9.67
临沧,AQI,29.86
临沧,CO,0.5
临沧,NO2,9.85
临沧,O3,45.41
临沧,PM10,27.04
临沧,PM2.5,19.04
临沧,SO2,6.27
丹东,AQI,32.64
丹东,CO,0.54
丹东,NO2,12.46
丹东,O3,84.91
丹东,PM10,26.91
丹东,PM2.5,14.5
丹东,SO2,8.78
丽水,AQI,25.25
丽水,CO,0.49
丽水,NO2,12.87
丽水,O3,45.14
丽水,PM10,21.64
丽水,PM2.5,10.21
丽水,SO2,2.95
丽江,AQI,23.47
丽江,CO,0.55
丽江,NO2,10.22
丽江,O3,65.22
丽江,PM10,19.94
丽江,PM2.5,11.65
丽江,SO2,7.28
乌兰察布,AQI,55.17
乌兰察布,CO,0.43
乌兰察布,NO2,14.18
乌兰察布,O3,108.95
乌兰察布,PM10,59.52
乌兰察布,PM2.5,24.42
乌兰察布,SO2,8.35
乌海,AQI,72.74
乌海,CO,0.61
乌海,NO2,21.1
乌海,O3,104.95
乌海,PM10,88.27
乌海,PM2.5,28.39
乌海,SO2,18.92
乌鲁木齐,AQI,39.36
乌鲁木齐,CO,0.33
乌鲁木齐,NO2,16.82
乌鲁木齐,O3,99.59
乌鲁木齐,PM10,33.41
乌鲁木齐,PM2.5,11.8
乌鲁木齐,SO2,6.16
乐山,AQI,36.15
乐山,CO,0.57
乐山,NO2,19.15
乐山,O3,71.72
乐山,PM10,31.39
乐山,PM2.5,21.45
乐山,SO2,5.29
九江,AQI,26.81
九江,CO,0.69
九江,NO2,20.35
九江,O3,69.43
九江,PM10,21.92
九江,PM2.5,13.98
九江,SO2,10.69
云浮,AQI,22.37
云浮,CO,0.52
云浮,NO2,14.42
云浮,O3,39.16
云浮,PM10,21.28
云浮,PM2.5,9.55
云浮,SO2,6.15
五家渠,AQI,47.32
五家渠,CO,0.3
五家渠,NO2,12.89
五家渠,O3,92.76
五家渠,PM10,45.99
五家渠,PM2.5,16.05
五家渠,SO2,6.61
亳州,AQI,61.95
亳州,CO,0.47
亳州,NO2,11.82
亳州,O3,133.01
亳州,PM10,57.03
亳州,PM2.5,24.18
亳州,SO2,4.72
伊春,AQI,23.68
伊春,CO,0.32
伊春,NO2,9.71
伊春,O3,55.37
伊春,PM10,20.69
伊春,PM2.5,11.03
伊春,SO2,7.23
