province,year_month,AQI,CO,NO2,O3,PM10,PM2.5,SO2,population,gdp,region,climate_type,is_coastal
Tibet,2016-04,51.71714285714285,0.6328571428571429,12.93142857142857,89.32714285714285,56.478571428571435,23.53142857142857,8.214285714285714,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2016-05,50.26428571428572,0.4585714285714286,13.902857142857142,99.32571428571428,47.11857142857143,21.509999999999998,8.778571428571428,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2016-06,41.105714285714285,0.4642857142857143,12.665714285714285,86.11571428571428,34.792857142857144,17.240000000000002,7.207142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2016-07,30.761428571428574,0.35714285714285715,10.197142857142856,55.965714285714284,29.08857142857143,14.737142857142857,8.394285714285713,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2016-08,34.07285714285714,0.37,15.517142857142858,63.794285714285714,30.169999999999998,14.722857142857142,9.185714285714285,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2016-09,38.065714285714286,0.4114285714285714,12.930000000000001,63.15571428571428,38.27428571428572,13.904285714285715,6.598571428571428,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2016-10,52.785714285714285,0.4557142857142857,16.242857142857144,58.69428571428572,61.94142857142857,23.330000000000002,7.08,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2016-11,64.21571428571428,0.76,27.735714285714288,51.61714285714286,76.84142857142857,33.12285714285714,11.421428571428569,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2016-12,69.44285714285714,0.88,27.794285714285714,47.97571428571428,82.34142857142857,38.13857142857143,12.70142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-01,45.19,0.7257142857142858,16.25857142857143,68.28999999999999,47.50571428571429,19.795714285714286,11.052857142857144,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-02,46.794285714285714,0.7714285714285715,13.624285714285715,77.56857142857143,49.24,18.16857142857143,10.392857142857142,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-03,45.387142857142855,0.7085714285714285,13.772857142857143,89.82857142857142,44.49285714285714,16.232857142857142,9.79142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-04,47.95142857142857,0.5885714285714286,12.418571428571429,100.2042857142857,47.90428571428571,16.24857142857143,9.34142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-05,44.114285714285714,0.5071428571428571,11.581428571428571,105.23142857142857,39.38,15.287142857142857,9.98,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-06,39.121428571428574,0.5128571428571428,12.218571428571428,98.27,31.02285714285714,11.9,7.365714285714286,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-07,29.564285714285717,0.4185714285714286,11.497142857142858,67.38285714285715,23.954285714285714,8.180000000000001,6.29,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-08,29.33857142857143,0.41285714285714287,11.40857142857143,66.04857142857144,23.36285714285714,7.841428571428572,6.137142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-09,32.16571428571429,0.45428571428571424,14.315714285714288,63.4,28.08857142857143,8.92,5.815714285714286,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-10,37.01,0.5242857142857142,16.42142857142857,64.75857142857143,36.135714285714286,12.102857142857143,7.057142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-11,43.07571428571429,0.7114285714285715,23.16142857142857,56.65714285714285,45.728571428571435,19.09857142857143,8.685714285714285,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2017-12,51.31857142857143,0.9657142857142856,24.555714285714288,50.46,58.10000000000001,26.65142857142857,10.069999999999999,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-01,50.47428571428571,0.7542857142857142,17.285714285714285,66.88,55.76857142857143,22.228571428571428,7.99,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-02,41.15857142857143,0.6471428571428571,9.572857142857142,79.96428571428571,41.49571428571429,15.65857142857143,8.072857142857142,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-03,40.699999999999996,0.5685714285714286,11.928571428571429,86.37428571428572,38.37285714285714,15.682857142857143,8.34142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-04,48.174285714285716,0.5414285714285715,12.167142857142858,103.61714285714287,47.798571428571435,17.215714285714288,6.47,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-05,49.13285714285714,0.5214285714285715,10.93857142857143,110.34,47.75428571428571,17.115714285714287,6.355714285714286,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-06,39.49428571428571,0.53,10.161428571428571,104.57571428571428,29.965714285714284,12.545714285714284,6.192857142857143,867500.0,747.6,Southwest China,High-Altitude Cold,No
